Id	Diff	UnlockScore	ReformEnemys[1]	ReformEnemys[2]	ExtraReformEnemys[1]	ExtraReformEnemys[2]	ReformEnv	ReformEnvMaxCount	ReformTimeEnv	ReformBuff	ReformBuffMaxCount	ReformMember
10010	0	0	10101				101	1				101
10020	0	0	10201		10202		102	1				102
10030	0	0	10301		10302		103	1				103
10040	0	0	10401		10402		104	1				104
10050	0	0	10501	10502	10503		105	2				105
10060	0	0	10601		10602		106	2				106
10070	0	0	10701		10702		107	2				107
10080	0	0	10801	10802	10803		108	2				108
10090	0	0	10901		10902		109	2				109
10100	0	0	11001		11002		110	2				110
10110	0	0	11101		11102		111	2				111
10120	0	0	11201	11202	11203		112	2				112
10130	0	0	11301		11302		113	2				113
10140	0	0	11401		11402		114	2				114
10150	0	0	11501		11502		115	3	15			115
10160	0	0	11601		11602	11603	116	3	16			116
10170	0	0	11701		11702	11703	117	2	17			117
10180	0	0	11801		11802		118	3	18			118
10190	0	0	11901				119	2	19			119
10200	0	0	12001		12002		120	2	20			120
