Id	StageTimeLimit	AddScore	Desc	Icon	TextIcon	PreviewIcon
1501	180	300	Challenge Time Limit: 180s	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1502	240	250	Challenge Time Limit: 240s	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1503	270	150	Challenge Time Limit: 270s	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1601	180	300	Challenge Time Limit: 180s	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1602	240	250	Challenge Time Limit: 240s	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1603	270	150	Challenge Time Limit: 270s	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1701	210	300	Challenge Time Limit: 210s	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1702	240	250	Challenge Time Limit: 240s	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1703	270	150	Challenge Time Limit: 270s	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1801	180	250	Challenge Time Limit: 180s	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1802	240	200	Challenge Time Limit: 240s	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1803	270	150	Challenge Time Limit: 270s	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
1901	180	300	Challenge Time Limit: 180s	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
1902	240	250	Challenge Time Limit: 240s	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
1903	270	150	Challenge Time Limit: 270s	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
2001	240	500	Challenge Time Limit: 240s	Assets/Product/Texture/Image/UiReform/UiReformHard.png	Assets/Product/Texture/Image/UiReform/UiReformScene29.png	Assets/Product/Texture/Image/UiReform/UiReformTimeHard.png
2002	260	400	Challenge Time Limit: 260s	Assets/Product/Texture/Image/UiReform/UiReformNormal.png	Assets/Product/Texture/Image/UiReform/UiReformScene28.png	Assets/Product/Texture/Image/UiReform/UiReformTimeNormal.png
2003	280	250	Challenge Time Limit: 280s	Assets/Product/Texture/Image/UiReform/UiReformEasy.png	Assets/Product/Texture/Image/UiReform/UiReformScene27.png	Assets/Product/Texture/Image/UiReform/UiReformTimeEasy.png
