Id	SubId[1]	SubId[2]	SubId[3]	SubId[4]	SubId[5]	SubId[6]
101	10101	10102	10103	10104		
102	10201	10202	10203	10204	10205	
103	10301	10302	10303	10304	10305	
104	10401	10402	10403	10404	10405	
105	10501	10502	10503	10504	10505	
106	10601	10602	10603	10604	10605	
107	10701	10702	10703	10704	10705	
108	10801	10802	10803	10804	10805	
109	10901	10902	10903	10904	10905	
110	11001	11002	11003	11004	11005	
111	11101	11102	11103	11104		
112	11201	11202	11203	11204		
113	11301	11302	11303	11304	11305	
114	11401	11402	11403	11404	11405	
115	11501	11502	11503	11504	11505	
116	11601	11602	11603	11604	11605	
117	11701	11702	11703	11704	11705	
118	11801	11802	11803	11804	11805	
119	11901	11902	11903	11904	11905	
120	12001	12002	12003	12004	12005	12006
