Id	NpcId	Level	AddScore	ShowLevel	AffixGroupId	AffixMaxCount	BuffIds[1]	BuffIds[2]	BuffIds[3]	BuffIds[4]	BuffIds[5]	BuffIds[6]	BuffIds[7]	BuffIds[8]	BuffIds[9]	HeadIcon	Name
1010111	90030	253	50	1	1010111	2	779450	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	Repairer A
1010112	90120	254	300	2	1010112	2	779451	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1BaohuzheMd000001.png	Protector A
1010113	90190	281	450	3	1010113	2	779452	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	Shieldbearer A
1010121	90030	253	50	1	1010121	2	779453	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1XiulijigongMd000001.png	Repairer B
1010122	90120	254	300	2	1010122	2	779454	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1BaohuzheMd000001.png	Protector B
1010123	90190	281	450	3	1010123	2	779455	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	Shieldbearer B
1010131	90090	345	150	2	1010131	2	779456	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1DimianjianshiqiMd000001.png	Ground Monitor C
1010132	90110	360	200	2	1010132	2	779457	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	Pilgrim C
1010211	90190	281	150	1	1010211	2	779458	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Mo1ShouhuzheMd000001.png	Shieldbearer D
1010212	90130	213	200	2	1010212	2	779459	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Me1XunshoushiMd000001.png	Tamer D
1010221	90110	360	150	1	1010221	2	779460	0	0	0	0	0	0	0	0	Assets/Product/Texture/Image/RoleCharacter/Me1XunjingzheMd000001.png	Pilgrim E
