Id	Name	RecommendScore	StageType	ShowNpcId	OpenTimeId	StageDiff[0]	StageDiff[1]	StageDiff[2]	StageDiff[3]	ShowFightEventIds[0]	ShowFightEventIds[1]	ShowFightEventIds[2]	ShowFightEventIds[3]	ShowFightEventIds[4]	RecommendCharacterIds[1]	RecommendCharacterIds[2]	RecommendCharacterIds[3]
30162501	Limit Break - 1	2200	1	90030		10010									1011002	1081003	1031001
30162502	Limit Break - 2	2400	1	90210		10020									1021002	1091002	1111002
30162503	Limit Break - 3	3000	1	90610		10030									1121003	1081002	1211002
30162504	Limit Break - 4	3000	1	90460		10040									1171003	1221002	1031001
30162505	Limit Break - 5	4000	1	90890		10050									1071004	1071002	1131002
30162506	Limit Break - 6	4200	1	90250		10060									1141003	1031001	1021003
30162507	Limit Break - 7	4400	1	90850		10070									1121003	1031002	1021004
30162508	Limit Break - 8	5300	1	90770		10080									1041003	1131003	1031002
30162509	Limit Break - 9	5300	1	90090		10090									1031004	1531004	1211002
30162510	Limit Break - 10	4800	1	90190		10100									1071002	1031004	1051004
30162511	Limit Break - 11	3200	1	93160		10110									1551003	1511003	1541003
30162512	Limit Break - 12	5000	1	836000		10120									1031002	1031003	1031004
30162513	Limit Break - 13	5300	1	90730		10130									1121003	1031004	1051004
30162514	Limit Break - Final	4000	1	90250		10140									1011002	1021002	1531004
30162515	Limit Beyond - 1	7000	2	93230		10150									1031003	1031002	1071002
30162516	Limit Beyond - 2	6200	2	90470		10160									1171003	1061003	1531004
30162517	Limit Beyond - 3	6000	2	90220		10170									1551003	1511003	1541003
30162518	Limit Beyond - 4	5500	2	83500		10180									1051004	1031004	1011003
30162519	Limit Beyond - 5	6700	2	84400		10190									1171003	1071004	1111002
30162520	Limit Beyond - Final	12500	2	84310		10200									1021004	1041003	1031004
