Id	SubId[1]	SubId[2]	SubId[3]	SubId[4]	SubId[5]	SubId[6]	SubId[7]	SubId[8]	SubId[9]	SubId[10]	SubId[11]	SubId[12]	SubId[13]	SubId[14]	SubId[15]	SubId[16]	SubId[17]	SubId[18]	SubId[19]	SubId[20]	SubId[21]	SubId[22]	SubId[23]	SubId[24]	SubId[25]
101	10101	10102																							
102	10201	10202	10203																						
103	10301	10302	10303																						
104	10401	10402	10403																						
105	10501	10502	10503	10504																					
106	10601	10602	10603	10604																					
107	10701	10702	10703	10704																					
108	10801	10802	10803	10804																					
109	10901	10902	10903	10904																					
110	11001	11002	11003	11004																					
111	11101	11102	11103	11104																					
112	11201	11202	11203	11204																					
113	11301	11302	11303	11304																					
114	11401	11402	11403	11404																					
115	11501	11502	11503	11504	11505																				
116	11601	11602	11603	11604	11605																				
117	11701	11702	11703																						
118	11801	11802	11803	11804	11805																				
119	11901	11902	11903																						
120	12001	12002	12003																						
