Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
1	10	11																																																						
2	12																																																							
24	240																																																							
27	270																																																							
201	2010																																																							
202	2020																																																							
203	2030																																																							
204	2040																																																							
205	2050																																																							
206	2060																																																							
208	2080																																																							
209	2090																																																							
210	2100																																																							
2001	2010																																																							
2002	2020																																																							
2003	2030																																																							
2004	2080																																																							
2005	2090																																																							
2006	2100																																																							
2007	2100																																																							
2008	2010																																																							
2009	2020																																																							
2010	2030																																																							
2011	2040																																																							
2012	2050																																																							
2013	2060																																																							
2014	2060																																																							
2015	2010																																																							
2016	2020																																																							
2017	2030																																																							
2018	2040																																																							
2019	2050																																																							
2020	2060																																																							
2021	2060																																																							
2022	2010																																																							
2023	2020																																																							
2024	2030																																																							
2025	2040																																																							
2026	2050																																																							
2027	2060																																																							
2028	2060																																																							
2029	2010																																																							
2030	2020																																																							
2031	2030																																																							
2032	2040																																																							
2033	2050																																																							
2034	2060																																																							
2035	2060																																																							
2036	2010																																																							
2037	2020																																																							
2038	2030																																																							
2039	2040																																																							
2040	2050																																																							
2041	2060																																																							
2042	2060																																																							
2043	2010																																																							
2044	2020																																																							
2045	2030																																																							
2046	2040																																																							
2047	2050																																																							
2048	2060																																																							
2049	2060																																																							
2101	2010																																																							
2102	2020																																																							
2103	2030																																																							
2104	2080	21042																																																						
2105	2090	21052																																																						
2106	2100	21062																																																						
2107	2100	21072																																																						
2108	2010																																																							
2109	2020																																																							
2110	2030																																																							
2111	2040	21113																																																						
2112	2050	21123																																																						
2113	2060	21133																																																						
2114	2060	21143																																																						
2115	2010																																																							
2116	2020																																																							
2117	2030																																																							
2118	2040	21183																																																						
2119	2050	21193																																																						
2120	2060	21203																																																						
2121	2060	21213																																																						
2122	2010																																																							
2123	2020																																																							
2124	2030																																																							
2125	2040	21253																																																						
2126	2050	21263																																																						
2127	2060	21273																																																						
2128	2060	21283																																																						
2129	2010																																																							
2130	2020																																																							
2131	2030																																																							
2132	2040	21323																																																						
2133	2050	21333																																																						
2134	2060	21343																																																						
2135	2060	21353																																																						
2136	2010																																																							
2137	2020																																																							
2138	2030																																																							
2139	2040	21393																																																						
2140	2050	21403																																																						
2141	2060	21413																																																						
2142	2060	21423																																																						
2143	2010																																																							
2144	2020																																																							
2145	2030																																																							
2146	2040	21463																																																						
2147	2050	21473																																																						
2148	2060	21483																																																						
2149	2060	21493																																																						
2201	2010																																																							
2202	2020																																																							
2203	2030																																																							
2204	2080	22041	22042	21042																																																				
2205	2090	22051	22052	21052																																																				
2206	2100	22061	22062	21062																																																				
2207	2100	22071	22072	21072																																																				
2208	2010																																																							
2209	2020																																																							
2210	2030																																																							
2211	2040	22111	22113	21113																																																				
2212	2050	22121	22123	21123																																																				
2213	2060	22131	22133	21133																																																				
2214	2060	22141	22143	21143																																																				
2215	2010																																																							
2216	2020																																																							
2217	2030																																																							
2218	2040	22181	22183	21183																																																				
2219	2050	22191	22193	21193																																																				
2220	2060	22201	22203	21203																																																				
2221	2060	22211	22213	21213																																																				
2222	2010																																																							
2223	2020																																																							
2224	2030																																																							
2225	2040	22251	22253	21253																																																				
2226	2050	22261	22263	21263																																																				
2227	2060	22271	22273	21273																																																				
2228	2060	22281	22283	21283																																																				
2229	2010																																																							
2230	2020																																																							
2231	2030																																																							
2232	2040	22321	22323	21323																																																				
2233	2050	22331	22333	21333																																																				
2234	2060	22341	22343	21343																																																				
2235	2060	22351	22353	21353																																																				
2236	2010																																																							
2237	2020																																																							
2238	2030																																																							
2239	2040	22391	22393	21393																																																				
2240	2050	22401	22403	21403																																																				
2241	2060	22411	22413	21413																																																				
2242	2060	22421	22423	21423																																																				
2243	2010																																																							
2244	2020																																																							
2245	2030																																																							
2246	2040	22461	22463	21463																																																				
2247	2050	22471	22473	21473																																																				
2248	2060	22481	22483	21483																																																				
2249	2060	22491	22493	21493																																																				
2301	2010																																																							
2302	2020																																																							
2303	2030																																																							
2304	2080	23041	23042	23043	23044	22041	22042	21042																																																
2305	2090	23051	23052	23053	23054	22051	22052	21052																																																
2306	2100	23061	23062	23063	23064	22061	22062	21062																																																
2307	2100	23071	23072	23073	23074	22071	22072	21072																																																
2308	2010																																																							
2309	2020																																																							
2310	2030																																																							
2311	2040	22111	22113	21113																																																				
2312	2050	23121	23123	23125	23127	22121	22123	21123																																																
2313	2060	23131	23133	23135	23137	22131	22133	21133																																																
2314	2060	23141	23143	23145	23147	22141	22143	21143																																																
2315	2010																																																							
2316	2020																																																							
2317	2030																																																							
2318	2040	22181	22183	21183																																																				
2319	2050	23191	23193	23195	23197	22191	22193	21193																																																
2320	2060	23201	23203	23205	23207	22201	22203	21203																																																
2321	2060	23211	23213	23215	23217	22211	22213	21213																																																
2322	2010																																																							
2323	2020																																																							
2324	2030																																																							
2325	2040	22251	22253	21253																																																				
2326	2050	23261	23263	23265	23267	22261	22263	21263																																																
2327	2060	23271	23273	23275	23277	22271	22273	21273																																																
2328	2060	23281	23283	23285	23287	22281	22283	21283																																																
2329	2010																																																							
2330	2020																																																							
2331	2030																																																							
2332	2040	22321	22323	21323																																																				
2333	2050	23331	23333	23335	23337	22331	22333	21333																																																
2334	2060	23341	23343	23345	23347	22341	22343	21343																																																
2335	2060	23351	23353	23355	23357	22351	22353	21353																																																
2336	2010																																																							
2337	2020																																																							
2338	2030																																																							
2339	2040	22391	22393	21393																																																				
2340	2050	23401	23403	23405	23407	22401	22403	21403																																																
2341	2060	23411	23413	23415	23417	22411	22413	21413																																																
2342	2060	23421	23423	23425	23427	22421	22423	21423																																																
2343	2010																																																							
2344	2020																																																							
2345	2030																																																							
2346	2040	22461	22463	21463																																																				
2347	2050	23471	23473	23475	23477	22471	22473	21473																																																
2348	2060	23481	23483	23485	23487	22481	22483	21483																																																
2349	2060	23491	23493	23495	23497	22491	22493	21493																																																
2401	2010																																																							
2402	2020																																																							
2403	2030																																																							
2404	2080	24041	24042	24043	24044	23041	23042	23043	23044	22041	22042	21042																																												
2405	2090	24051	24052	24053	24054	23051	23052	23043	23044	22051	22052	21052																																												
2406	2100	24061	24062	24063	24064	23061	23062	23043	23044	22061	22062	21062																																												
2407	2100	24071	24072	24073	24074	23071	23072	23043	23044	22071	22072	21072																																												
2408	2010																																																							
2409	2020																																																							
2410	2030																																																							
2411	2040	24111	24113	22111	22113	21113																																																		
2412	2050	24121	24123	24125	24127	23121	23123	23125	23127	22121	22123	21123																																												
2413	2060	24131	24133	24135	24137	23131	23133	23135	23137	22131	22133	21133																																												
2414	2060	24141	24143	24145	24147	23141	23143	23145	23147	22141	22143	21143																																												
2415	2010																																																							
2416	2020																																																							
2417	2030																																																							
2418	2040	24181	24183	22181	22183	21183																																																		
2419	2050	24191	24193	24195	24197	23191	23193	23195	23197	22191	22193	21193																																												
2420	2060	24201	24203	24205	24207	23201	23203	23205	23207	22201	22203	21203																																												
2421	2060	24211	24213	24215	24217	23211	23213	23215	23217	22211	22213	21213																																												
2422	2010																																																							
2423	2020																																																							
2424	2030																																																							
2425	2040	24251	24253	22251	22253	21253																																																		
2426	2050	24261	24263	24265	24267	23261	23263	23265	23267	22261	22263	21263																																												
2427	2060	24271	24273	24275	24277	23271	23273	23275	23277	22271	22273	21273																																												
2428	2060	24281	24283	24285	24287	23281	23283	23285	23287	22281	22283	21283																																												
2429	2010																																																							
2430	2020																																																							
2431	2030																																																							
2432	2040	24321	24323	22321	22323	21323																																																		
2433	2050	24331	24333	24335	24337	23331	23333	23335	23337	22331	22333	21333																																												
2434	2060	24341	24343	24345	24347	23341	23343	23345	23347	22341	22343	21343																																												
2435	2060	24351	24353	24355	24357	23351	23353	23355	23357	22351	22353	21353																																												
2436	2010																																																							
2437	2020																																																							
2438	2030																																																							
2439	2040	24391	24393	22391	22393	21393																																																		
2440	2050	24401	24403	24405	24407	23401	23403	23405	23407	22401	22403	21403																																												
2441	2060	24411	24413	24415	24417	23411	23413	23415	23417	22411	22413	21413																																												
2442	2060	24421	24423	24425	24427	23421	23423	23425	23427	22421	22423	21423																																												
2443	2010																																																							
2444	2020																																																							
2445	2030																																																							
2446	2040	24461	24463	22461	22463	21463																																																		
2447	2050	24471	24473	24475	24477	23471	23473	23475	23477	22471	22473	21473																																												
2448	2060	24481	24483	24485	24487	23481	23483	23485	23487	22481	22483	21483																																												
2449	2060	24491	24493	24495	24497	23491	23493	23495	23497	22491	22493	21493																																												
3100	31001	31002																																																						
501	5010																																																							
502	5020																																																							
503	5030																																																							
504	5040																																																							
505	5050																																																							
506	5060																																																							
507	5070																																																							
508	5080																																																							
512	5120																																																							
513	5130																																																							
801	8010																																																							
802	8020																																																							
803	8030																																																							
804	8040																																																							
805	8050																																																							
806	8060																																																							
810	8100																																																							
811	8110																																																							
812	8120																																																							
813	8130																																																							
814	8140																																																							
815	8150																																																							
816	8160																																																							
817	8170																																																							
818	8180																																																							
819	8190																																																							
820	8200																																																							
821	8210																																																							
822	8220																																																							
823	8230																																																							
824	8240																																																							
825	8250																																																							
826	8260																																																							
827	8270																																																							
828	8280																																																							
829	8290																																																							
830	8300																																																							
831	8310																																																							
832	8320																																																							
833	8330																																																							
834	8340																																																							
835	8350																																																							
836	8360																																																							
900	9000																																																							
901	9010	9011																																																						
902	9020																																																							
903	9030																																																							
904	9040																																																							
1001	10010	10011																																																						
1002	10020	10021																																																						
1003	10033	10030	10031																																																					
1004	10043	10040	10041																																																					
1005	10053	10050	10051																																																					
1008	10080	10081																																																						
1010	10100	10101																																																						
1011	10110	10111																																																						
1101	11010																																																							
1102	11020																																																							
1103	11030																																																							
1104	11040																																																							
1105	11050																																																							
1106	11060																																																							
1107	11070																																																							
1108	11080																																																							
1109	11090																																																							
1110	11100																																																							
1120	11200																																																							
1121	11210																																																							
1122	11220	11221																																																						
1123	11230	11231																																																						
1124	11240																																																							
1125	11250	11251	11252	11253	11254	11255	11256	11257	11258	11259	11260	11261	11262	11263	11264	11265																																								
1128	11280																																																							
1127	11270																																																							
1130	11300	11301	11302	11303	11305	11306																																																		
1131	11310	11311	11312	11313	11314																																																			
1132	11321	11322	11323	11324	11325	11326	11327	11328	11330	11331	11332	11333	11334	11335	11336	11337																																								
1134	11340	11341	11342	11343	11344	11345	11346	11347	11348	11349	11350	11351	11352	11353	11354	11355	11356	11357	11358																																					
1136	11360	11361	11362	11363	11364	11365	11366	11367	11368	11369	11370	11371	11372	11373	11374	11375	11376	11377	11378																																					
1138	11340	11341	11342	11343	11344	11345	11346	11347	11348	11349	11350	11351	11352	11353	11354	11355	11356	11357	11358																																					
1139	11390	11391	11392	11393	11394	11395	11396																																																	
1140	11400	11401	11402																																																					
1142	11420	11421	11422	11423	11424	11425	11426	11427	11428	11429	11430	11431	11432	11433	11434	11435	11436	11437																																						
1144	11440	11441	11442	11443	11444	11445	11446	11447	11448	11449	11450	11451	11452	11453	11454	11455	11456	11457																																						
1146	11460	11461	11462	11463	11464	11465	11466	11467	11468	11469	11470	11471	11472	11473	11474	11475	11476	11477																																						
1149	11490	11491	11492	11493																																																				
1150	11500	11501	11502	11503	11504																																																			
1151	11510	11511	11512																																																					
1152	11520	11521	11522	11523	11524	11525																																																		
1154	11540	11541	11542	11543	11544	11545	11546	11547	11548	11549	11550	11551	11552	11553	11554	11555	11556	11557	11558	11559	11560	11561	11562																																	
1160	11600	11601	11602	11603	11604	11605	11606	11607	11608	11609	11610	11611	11612	11613	11614	11615	11616	11617	11618	11619	11620	11621	11622																																	
1170	11540	11541	11542	11543	11544	11545	11546	11547	11548	11549	11550	11551	11552	11553	11554	11555	11556	11557	11558	11559	11560	11561	11562																																	
1163	11630	11631	11632	11633	11634	11635	11636	11637	11638	11639	11640	11641	11642	11643	11644																																									
1165	11650	11651	11652	11653	11654	11655	11656	11657	11658	11659	11660	11661	11662	11663	11664																																									
1167	11670	11671	11672	11673	11674	11675	11676	11677	11678	11679	11680	11681	11682	11683	11684																																									
1169	11690	11691	11692	11693	11694																																																			
1171	11710	11711	11712	11713	11714	11715	11716	11717	11718	11719	11720																																													
1173	11730	11731	11732																																																					
1174	11740	11741	11742	11743																																																				
1175	11750	11751	11752	11753	11754																																																			
1176	11760	11761	11762	11763	11764	11765																																																		
1177	11770	11771	11772	11773	11774	11775																																																		
1178	11780	11781	11782	11783	11784	11785	11786	11787	11788	11789	11790	11791																																												
1179	11792	11793	11794	11795	11796																																																			
1180	11800	11801	11802	11803	11804	11805	11806	11807	11808	11809	11810	11811	11812	11813	11814	11815																																								
1182	11820	11821	11822	11823	11824	11825	11826	11827	11828	11829	11830	11831	11832	11833	11834	11835																																								
1184	11800	11801	11802	11803	11804	11805	11806	11807	11808	11809	11810	11811	11812	11813	11814	11815																																								
1185	11850	11851	11852	11853	11854	11855	11856	11857	11858	11859	11860	11861	11862	11863	11864																																									
1187	11870	11871	11872	11873	11874	11875	11876	11877	11878	11879	11880	11881	11882	11883																																										
1189	11890	11891	11892	11893	11894	11895	11896	11897	11898	11899	11900	11901	11902	11903																																										
1190	11870	11871	11872	11873	11874	11875	11876	11877	11878	11879	11880	11881	11882	11883																																										
1191	11910	11911	11912	11913	11914	11915	11916	11917	11918	11919	11920	11921	11922																																											
1193	11930	11931	11932	11933	11934	11935	11936	11937	11938	11939	11940	11941	11942	11943	11944	11945	11946	11947	11948																																					
1195	11950	11951	11952	11953	11954	11955	11956	11957	11958	11959	11960	11961	11962	11963	11964	11965	11966	11967	11968																																					
1196	11930	11931	11932	11933	11934	11935	11936	11937	11938	11939	11940	11941	11942	11943	11944	11945	11946	11947	11948																																					
1197	11970																																																							
1198	11980																																																							
1199	11990	11991	11992	11993	11994																																																			
1201	12010																																																							
1202	12020																																																							
1203	12030																																																							
1204	12040																																																							
1205	12050																																																							
1206	12060																																																							
1207	12070																																																							
1211	12110																																																							
1212	12120	12121	12122	12123	12124	12125	12126	12127	12128	12129	12130	12131	12132	12133	12134	12135																																								
1214	12140	12141	12142	12143	12144	12145	12146	12147	12148	12149	12150	12151	12152	12153	12154	12155																																								
1215	12120	12121	12122	12123	12124	12125	12126	12127	12128	12129	12130	12131	12132	12133	12134	12135																																								
1216	12160	12161	12162	12163	12164	12165	12166	12167	12168																																															
1217	12170	12171	12172	12173	12174	12175	12176	12177	12178	12179	12180	12181	12182	12183	12184	12185	12186																																							
1219	12190	12191	12192	12193	12194	12195	12196	12197	12198	12199	12200	12201	12202	12203	12204	12205	12206																																							
1220	12170	12171	12172	12173	12174	12175	12176	12177	12178	12179	12180	12181	12182	12183	12184	12185	12186																																							
1221	12210	12211	12212	12213	12214	12215	12216	12217	12218	12219	12220	12221	12222	12223	12224																																									
1223	12230	12231	12232	12233	12234	12235	12236	12237	12238	12239																																														
1224	12240																																																							
1225	12250	12251	12252	12253	12254	12255	12256	12257	12258	12259	12260	12261	12262	12263	12264	12265	12266	12267	12268																																					
