Id	SubRoundDays[1]	SubRoundName[1]	SubRoundIcon[1]	SubRoundDays[2]	SubRoundName[2]	SubRoundIcon[2]	SubRoundDays[3]	SubRoundName[3]	SubRoundIcon[3]	SubRoundDays[4]	SubRoundName[4]	SubRoundIcon[4]	SubRoundDesc
101	7	Round 1	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC3Sp.png	7	Round 2	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC2Sp.png	7	Round 3	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC3Sp.png	7	Round 4	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC2Sp.png	Login everyday to claim the sign-in reward.\nThe rewards are refreshed after you have signed in for 28 days.
1001	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Login everyday to claim the sign-in reward.\nGet A-Rank Character "Bianca - Zero" after you have signed in for 7 days.\nAs well as Bianca's exclusive skin after 14 days.
1002	7	Round 2	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Login everyday to claim the sign-in reward.\nGet A-Rank Character "Bianca - Zero" after you have signed in for 7 days.\nAs well as Bianca's exclusive skin after 14 days.
1003	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Merry Christmas and Happy New Year, Commandant! \nBabylonia has prepared special gifts for you to celebrate! Login everyday to claim the sign-in reward. You can get generous special rewards such as Liv: Eclipse Limited Coating, 5★ Memories, Serum, and other items.
1004	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Collect sign-in rewards when you log into the game everyday.\nGet Yuanxiao Memory on the 3rd and 7th days.\nHappy Yuanxiao Festival, Commandant! The WGAA is hosting a quiz party with the theme of art history. Would you like to come with me? —Ayla
1005	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Login everyday to claim the sign-in rewards that Babylonia prepared for this special time.\nThe rewards includes Event R&D Tickets, Lantern Memory Set and other materials.
1006	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Login everyday to claim the sign-in reward.\nClaim Magnetic Ticket, Basic Construct R&D Tickets and other rewards.
1007	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Login everyday to claim the sign-in reward.\nYou can get generous rewards and exclusive 5★ Memory [Lucia: Summer Daze]!
1008	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Login everyday to claim the sign-in reward.\nYou can get generous rewards such as Exclusive Memory - Summer Daze (03 / 06), R&D Tickets, Enhance Materials, etc.
1009	7	Round 1	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png										Log in every day to claim sign-in rewards.\nThey include awakening materials, Basic Construct R&D Tickets, Vera Coating, etc.
