Id	RandomWeight	Name	SkipId
11010101	10000	Hidden 1-1	11010101
11010103	10000	Hidden 1-3	11010103
11010105	10000	Hidden 1-5	11010105
11020101	10000	Hidden 2-1	11020101
11020103	10000	Hidden 2-3	11020103
11020106	10000	Hidden 2-6	11020106
11030101	10000	Hidden 3-1	11030101
11030105	10000	Hidden 3-5	11030105
11030106	10000	Hidden 3-6	11030106
11040101	10000	Hidden 4-1	11040101
11040104	10000	Hidden 4-4	11040104
11040106	10000	Hidden 4-6	11040106
11050101	10000	Hidden 5-1	11050101
11050103	10000	Hidden 5-3	11050103
11050106	10000	Hidden 5-6	11050106
11060101	10000	Hidden 6-1	11060101
11060102	10000	Hidden 6-2	11060102
11060104	10000	Hidden 6-4	11060104
11060105	10000	Hidden 6-5	11060105
11060106	10000	Hidden 6-6	11060106
11070101	10000	Hidden 7-1	11070101
11070102	10000	Hidden 7-2	11070102
11070105	10000	Hidden 7-5	11070105
11070106	10000	Hidden 7-6	11070106
11080101	10000	Hidden 8-1	11080101
11080102	10000	Hidden 8-2	11080102
11080104	10000	Hidden 8-4	11080104
11080106	10000	Hidden 8-6	11080106
10010101	10000	Normal 1-1	10010101
10010102	10000	Normal 1-2	10010102
10010103	10000	Normal 1-3	10010103
10010104	10000	Normal 1-4	10010104
10010201	10000	Normal 1-5	10010201
10010202	10000	Normal 1-6	10010202
10010204	10000	Normal 1-8	10010204
10010301	10000	Normal 1-9	10010301
10010302	10000	Normal 1-10	10010302
10010303	10000	Normal 1-11	10010303
10010304	10000	Normal 1-12	10010304
10020101	10000	Normal 2-1	10020101
10020102	10000	Normal 2-2	10020102
10020103	10000	Normal 2-3	10020103
10020104	10000	Normal 2-4	10020104
10020201	10000	Normal 2-5	10020201
10020202	10000	Normal 2-6	10020202
10020203	10000	Normal 2-7	10020203
10020204	10000	Normal 2-8	10020204
10020301	10000	Normal 2-9	10020301
10020302	10000	Normal 2-10	10020302
10020303	10000	Normal 2-11	10020303
10020304	10000	Normal 2-12	10020304
10030102	10000	Normal 3-2	10030102
10030103	10000	Normal 3-3	10030103
10030104	10000	Normal 3-4	10030104
10030201	10000	Normal 3-5	10030201
10030202	10000	Normal 3-6	10030202
10030203	10000	Normal 3-7	10030203
10030204	10000	Normal 3-8	10030204
10030302	10000	Normal 3-10	10030302
10030303	10000	Normal 3-11	10030303
10030304	10000	Normal 3-12	10030304
10040101	10000	Normal 4-1	10040101
10040102	10000	Normal 4-2	10040102
10040103	10000	Normal 4-3	10040103
10040104	10000	Normal 4-4	10040104
10040201	10000	Normal 4-5	10040201
10040202	10000	Normal 4-6	10040202
10040203	10000	Normal 4-7	10040203
10040204	10000	Normal 4-8	10040204
10040301	10000	Normal 4-9	10040301
10040302	10000	Normal 4-10	10040302
10040303	10000	Normal 4-11	10040303
10040304	10000	Normal 4-12	10040304
10050101	10000	Normal 5-1	10050101
10050103	10000	Normal 5-3	10050103
10050201	10000	Normal 5-5	10050201
10050202	10000	Normal 5-6	10050202
10050203	10000	Normal 5-7	10050203
10050204	10000	Normal 5-8	10050204
10050301	10000	Normal 5-9	10050301
10050302	10000	Normal 5-10	10050302
10050303	10000	Normal 5-11	10050303
10050304	10000	Normal 5-12	10050304
10060101	10000	Normal 6-1	10060101
10060102	10000	Normal 6-2	10060102
10060103	10000	Normal 6-3	10060103
10060104	10000	Normal 6-4	10060104
10060201	10000	Normal 6-5	10060201
10060202	10000	Normal 6-6	10060202
10060203	10000	Normal 6-7	10060203
10060204	10000	Normal 6-8	10060204
10060301	10000	Normal 6-9	10060301
10060302	10000	Normal 6-10	10060302
10060303	10000	Normal 6-11	10060303
10060304	10000	Normal 6-12	10060304
10070101	10000	Normal 7-1	10070101
10070102	10000	Normal 7-2	10070102
10070103	10000	Normal 7-3	10070103
10070104	10000	Normal 7-4	10070104
10070201	10000	Normal 7-5	10070201
10070202	10000	Normal 7-6	10070202
10070204	10000	Normal 7-8	10070204
10070302	10000	Normal 7-10	10070302
10070303	10000	Normal 7-11	10070303
10070304	10000	Normal 7-12	10070304
10080101	10000	Normal 8-1	10080101
10080103	10000	Normal 8-3	10080103
10080104	10000	Normal 8-4	10080104
10080201	10000	Normal 8-5	10080201
10080202	10000	Normal 8-6	10080202
10080203	10000	Normal 8-7	10080203
10080204	10000	Normal 8-8	10080204
10080301	10000	Normal 8-9	10080301
10080302	10000	Normal 8-10	10080302
10080304	10000	Normal 8-12	10080304
