Id	StageId	Name	Desc	SmallRoleIcon	RoleIcon	StageIcon	EnterAnimation[1]	EnterAnimation[2]	EnterAnimation[3]	DifficultLevel	TextColor	DifficultLevelIcon	DifficultLevelIconX	RewardId	RandomWeightList[0]	RandomWeightList[1]	RandomWeightList[2]	RandomWeightList[3]
1	30060103	Sister	Constructs have gone missing in this area. Investigate the site.	Assets/Product/Texture/Image/Role/RoleHeadMoney02.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead02.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40000	0	0	275	275
2	30060203	Firefighter	Powerful Firefighter detected. Neutralize target.	Assets/Product/Texture/Image/Role/RoleHeadMoney11.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead11.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40001	0	0	275	275
3	30060302	Nozzle	Corrupted are gathering around an inactive Nozzle. Investigate the area.	Assets/Product/Texture/Image/Role/RoleHeadMoney01.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead01.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40002	0	268	268	268
4	30060303	Nozzle	Corrupted are gathering around an inactive Nozzle. Investigate the area.	Assets/Product/Texture/Image/Role/RoleHeadMoney01.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead01.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40003	0	165	275	275
5	30060402	Musashi IX	Uninfected Musashi IX detected. Recover it before the Corrupted can get to it.	Assets/Product/Texture/Image/Role/RoleHeadMoney07.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead07.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40004	0	268	268	268
6	30060403	Musashi IX	Uninfected Musashi IX detected. Recover it before the Corrupted can get to it.	Assets/Product/Texture/Image/Role/RoleHeadMoney07.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead07.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40005	0	165	275	275
7	30060601	Royal guard	Large numbers of Royal Guards have appeared. Neutralize them.	Assets/Product/Texture/Image/Role/RoleHeadMoney05.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead05.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40006	503	503	503	503
8	30060602	Royal guard	Large numbers of Royal Guards have appeared. Neutralize them.	Assets/Product/Texture/Image/Role/RoleHeadMoney05.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead05.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	2	<color=#a16dff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality2x.png	40007	335	268	268	268
9	30060603	Royal guard	Large numbers of Royal Guards have appeared. Neutralize them.	Assets/Product/Texture/Image/Role/RoleHeadMoney05.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead05.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	3	<color=#ffaa50>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality3x.png	40008	413	165	275	275
10	30061101	Ronin IV	A Ronin IV has appeared, seeking the thrill of a duel to the death. Neutralize it.	Assets/Product/Texture/Image/Role/RoleHeadMoney04.png	Assets/Product/Texture/Image/UiMoneyRoleHead/UiMoneyRoleHead04.png	Assets/Product/Texture/Image/IconType/IconTypeMoney.png	FightTipsBegan1	FightTipsBegan2	FightTipsBegan3	1	<color=#60c1ff>%s</color>	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1.png	Assets/Product/Texture/Atlas/UiMoneyRewardTask/MoneyTaskIconQuality1x.png	40009	503	503	503	503
