CharacterId	MaxCount	RecoveryTime	Lower[1]	Upper[1]	Lower[2]	Upper[2]	Lower[3]	Upper[3]
1011002	3	14400	600	1000	600	1000	600	1000
1021001	3	14400	600	1000	600	1000	600	1000
1031001	3	14400	600	1000	600	1000	600	1000
1041002	3	14400	600	1000	600	1000	600	1000
1051001	3	14400	600	1000	600	1000	600	1000
1061002	3	14400	600	1000	600	1000	600	1000
1071002	3	14400	600	1000	600	1000	600	1000
1081002	3	14400	600	1000	600	1000	600	1000
1021002	3	14400	600	1000	600	1000	600	1000
1031002	3	14400	600	1000	600	1000	600	1000
1061003	3	14400	600	1000	600	1000	600	1000
1031003	3	14400	600	1000	600	1000	600	1000
1011003	3	14400	600	1000	600	1000	600	1000
1071003	3	14400	600	1000	600	1000	600	1000
1051003	3	14400	600	1000	600	1000	600	1000
1021003	3	14400	600	1000	600	1000	600	1000
1081003	3	14400	600	1000	600	1000	600	1000
1091002	3	14400	600	1000	600	1000	600	1000
90370	3	14400	600	1000	600	1000	600	1000
90220	3	14400	600	1000	600	1000	600	1000
1041003	3	14400	600	1000	600	1000	600	1000
1111002	3	14400	600	1000	600	1000	600	1000
81600	3	14400	600	1000	600	1000	600	1000
81500	3	14400	600	1000	600	1000	600	1000
92030	3	14400	600	1000	600	1000	600	1000
1121002	3	14400	600	1000	600	1000	600	1000
92670	3	14400	600	1000	600	1000	600	1000
813000	3	14400	600	1000	600	1000	600	1000
1000000	3	14400	600	1000	600	1000	600	1000
1021004	3	14400	600	1000	600	1000	600	1000
1131002	3	14400	600	1000	600	1000	600	1000
1511003	3	14400	600	1000	600	1000	600	1000
1141003	3	14400	600	1000	600	1000	600	1000
1521003	3	14400	600	1000	600	1000	600	1000
1161002	3	14400	600	1000	600	1000	600	1000
837000	3	14400	600	1000	600	1000	600	1000
1171003	3	14400	600	1000	600	1000	600	1000
1181003	3	14400	600	1000	600	1000	600	1000
1191003	3	14400	600	1000	600	1000	600	1000
1201003	3	14400	600	1000	600	1000	600	1000
1211002	3	14400	600	1000	600	1000	600	1000
1531003	3	14400	600	1000	600	1000	600	1000
1221002	3	14400	600	1000	600	1000	600	1000
1121003	3	14400	600	1000	600	1000	600	1000
1131003	3	14400	600	1000	600	1000	600	1000
1541003	3	14400	600	1000	600	1000	600	1000
1031004	3	14400	600	1000	600	1000	600	1000
1531004	3	14400	600	1000	600	1000	600	1000
1551003	3	14400	600	1000	600	1000	600	1000
1051004	3	14400	600	1000	600	1000	600	1000
1561003	3	14400	600	1000	600	1000	600	1000
1071004	3	14400	600	1000	600	1000	600	1000
1571003	3	14400	600	1000	600	1000	600	1000
1041004	3	14400	600	1000	600	1000	600	1000
1231002	3	14400	600	1000	600	1000	600	1000
1011004	3	14400	600	1000	600	1000	600	1000
1091003	3	14400	600	1000	600	1000	600	1000
1021005	3	14400	600	1000	600	1000	600	1000
