Id	SkillType	CastTime	AfterTime	Animation	CastMagicIds	FinalMagicIds	SkillLookAtType	UseAnimeMove	SkillStopType	StopDistance
100201	1	0.5	1.2	Attack001				1	2	0.5
100202	1	0.8	1	Attack002				1	2	0.5
100203	1	0.5	0.9	Attack003				1	2	0.5
100204	1	0.6	0.9	Attack004				1	2	0.5
100205	1	0.6	0.9	Attack005				1	2	0.5
100206	1	0.7	0.8	Attack006				1	2	0.5
100207	1	0.5	1.2	Attack001				1	2	0.5
100208	1	0.65	1.1	Attack041				1	2	0.7
100209	1	0.65	1	Attack042				1	2	0.7
100210	1	1.15	0.85	Attack043				1	2	0.7
100211	1	0.5	0.85	Attack044				1	2	0.7
100212	1	0.65	1.1	Attack041				1		
100213	5	0.4	0.9	Move1	1000051			1		
100214	6	0.5	0.8	Move2	1000051			1		
100215	2	4	0.4	Attack051				1		
100216	2	4	0.4	Attack051				1		
100217	4	0	3.7	Born				1		
100218	8	100	0	Win	1002069			1		
100219	9	0	100	Save				1		
100220	11	0.6	1	Attack011				1		
100221	31	0.45	0.85	Attack031				1	2	0.5
100222	32	0.45	0.85	Attack031				1	2	0.5
100223	33	0.45	0.85	Attack031				1	2	0.5
100224	21	0.4	0.8	Attack021				1		
100225	22	0.4	0.8	Attack021				1		
100226	23	0.4	0.8	Attack021				1		
100227	7	1.9	0	Spearjump	1002082|1000027	1000050	4	1		
100228	7	0.2	0	Spearfall	1000067	1000041	2	1		
100229	7	9999	0	Spearfallloop		1000015	0	0		
100230	7	0.63	0	Spearout1		1002033|1000050|1002079	3	1		
100231	7	1.9	0.53	Spearjump0		1000015|1000021|1000050		1		
100232	11	0.6	1	Attack011				1	2	0.3
100233	12	0.6	1	Attack011				1	2	0.3
100234	13	0.6	1	Attack011				1	2	0.3
100235	1	0.5	1	SpearQte10				1		
100236	1	0.85	2.55	SpearQte11				1		
100237	1	0.4	0	SpearQte20				1		
100238	1	0.35	1	SpearQte21				1		
100239	1	0.4	0	SpearQte20				1		
100240	7	1.2	0.3	SpearQteIn	1000019|1000020	1000015|1000050		1		
100241	7	1.9	0	Spearjump			4	1		
100242	7	0.2	0	Spearfall		1000015|1000028|1000050		1		
100243	1	0.75	2.55	SpearQte12				1		
100244	1	0.6	1.4	SpearQte13				1		
100245	1	0.4	0	SpearQte20				1		
100246	1	0.35	1	SpearQte21				1		
100247	1	0.35	1	SpearQte21				1		
100248	1	0.5	0.8	SpearQte22				1		
100249	1	0.5	0.8	SpearQte22				1		
100250	1	0.5	0.8	SpearQte22				1		
100251	7	5.5	0	Spearout2	1002156|1000014|1000049|1002083	1000015|1002079|1000050		1		
100252	7	0.2	0	Spearfall			2	1		
100253	6	0.5	0.8	Move2				1		
100601	1	0.8	1.4	Attack01						
100602	1	1.2	1.2	Attack02						
100603	1	0.8	1.5	Attack03						
100604	1	1.25	0.95	Attack04						
100605	1	0.8	1.4	Attack01						
100606	5	0.6	0.5	Move1						
100607	6	0.6	0.7	Move2						
100608	2	3.7	0.7	Attack51						
100609	4	0	3.4	Born						
100610	8	100	0	Win						
100611	9	0	100	Save						
100612	11	1	1.4	Attack11						
100613	12	1	1.4	Attack11						
100614	31	1	1.1	Attack31						
100615	34	0.1	0.55	Attack32						
100616	34	0.1	0.55	Attack32						
100617	31	1	0.65	Attack41						
100618	31	1	0.65	Attack41						
100619	31	1.4	1.7	Attack42						
100620	31	1.4	1.7	Attack42						
100621	31	1.4	1.7	Attack42						
100622	31	1.4	1.7	Attack42						
100623	21	1.3	1	Attack21						
100624	21	1.3	1	Attack21						
100625	5	0.6	0.5	Move1						
100626	5	0.6	0.5	Move1						
100627	5	0.6	0.5	Move1						
100628	5	0.6	0.5	Move1						
100629	5	0.6	0.5	Move1						
100630	5	0.6	0.5	Move1						
100301	1	0.55	0.95	Attack01						
100302	1	0.7	0.9	Attack02						
100303	1	0.8	0.8	Attack03						
100304	1	0.7	0.8	Attack04						
100305	1	1.2	0.5	Attack05						
100306	41	1.2	0.5	Attack41						
100307	5	0.5	0.8	Move1						
100308	6	0.5	0.8	Move2						
100309	2	4.6	0.5	Attack51						
100310	4	0	3.2	Born						
100311	8	100	0	Win						
100312	9	0	100	Save						
100313	11	0.7	0.7	Attack11						
100314	13	0.7	0.7	Attack11						
100315	31	0.6	0.7	Attack31						
100316	32	0.6	0.7	Attack31						
100317	32	0.6	0.7	Attack31						
100318	21	0.6	1.1	Attack21						
100319	21	0.6	1.1	Attack21						
100320	21	0.6	1.1	Attack21						
100321	21	0.6	1.1	Attack21						
100322	21	0.6	1.1	Attack21						
100323	21	0.6	1.1	Attack21						
100324	5	0.5	0.8	Move1						
100325	5	0.5	0.8	Move1						
100326	5	0.5	0.8	Move1						
100327	5	0.5	0.8	Move1						
100328	5	0.5	0.8	Move1						
100329	5	0.5	0.8	Move1						
100330	5	0.5	0.8	Move1						
