Id	Name	Composer	Cover	Bg	CueId	Priority	ConditionId
1	Gray Raven	G.K/Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace5.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace5.png	1	99	
2	Revival	T-nymph	Assets/Product/Texture/Image/CdPlayer/CdFace6.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace6.png	26	98	
3	Narwhal Pt.1	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace1.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace1.png	10	97	
4	C.O.R.E. Pt.1	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace2.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace2.png	12	96	
5	Dust Pt.1	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace3.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace3.png	15	95	
6	Night Sailing	Anti-General	Assets/Product/Texture/Image/CdPlayer/CdFace4.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace4.png	18	94	
7	Huaxu	Anti-General	Assets/Product/Texture/Image/CdPlayer/CdFace7.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace7.png	27	93	
8	Waterland	RabbitJ	Assets/Product/Texture/Image/CdPlayer/CdFace8.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace8.png	32	92	
9	Narwhal-Abysm	Moto	Assets/Product/Texture/Image/CdPlayer/CdFace9.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace9.png	33	91	
10	Reverse	Moto	Assets/Product/Texture/Image/CdPlayer/CdFace10.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace10.png	37	90	
11	Dis┬rient	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace11.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace11.png	45	89	
12	Wraith Reborn	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace13.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace13.png	52	88	
13	Endless Trick	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace14.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace14.png	55	87	
14	Dancing tonight	Producer: Vanguard Sound  Composer: Rabbit J  Lyrics & Vocal: Xia Tongzi	Assets/Product/Texture/Image/CdPlayer/CdFace15.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace15.png	56	86	
15	In Scription Of Labyrinth	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace16.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace16.png	60	85	
16	LAMIA	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace17.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace17.png	62	84	
17	Edenis	MEI	Assets/Product/Texture/Image/CdPlayer/CdFace19.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace19.png	65	83	
18	Gaze of Wind	Composer: GhostFinal  Arranged by: MEI & GhostFinal  Lyrics: Mira.Z\nVocal: Miku Ito  Instrument: LCC & GhostFinal  Producer: Vanguard Sound	Assets/Product/Texture/Image/CdPlayer/CdFace20.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace20.png	71	82	
19	Sie liebten sich beide	Music Composer: LCC  Arranged by: LCC ＆ moto\nLyrics: Heinrich Heine  Vocal: Ji Yunhui	Assets/Product/Texture/Image/CdPlayer/CdFace22.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace22.png	83	80	
20	Longing	Manager: Pulao  Audio Engineer: Talic  Music Composer: Xin\nProducer: Vanguard Sound  Artist: Shan Kui You	Assets/Product/Texture/Image/CdPlayer/CdFace24.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace24.png	100	79	
21	Against the Current	Composer: Polyblue\nLyrics & Flow: Neko, Hideyo Noguchi  Vocal: Shogo Batori	Assets/Product/Texture/Image/CdPlayer/CdFace23.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace23.png	99	78	
22	NANAMI IKIMASU	Composer: Super.Yy & Polyblue\nProduction: Vanguard Sound & Kuro Games	Assets/Product/Texture/Image/CdPlayer/CdFace25.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace25.png	124	77	
23	Revelation	Composer & Lyrics: GhostFinal\nVocal: Kinoko Mogu	Assets/Product/Texture/Image/CdPlayer/CdFace28.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace28.png	144	76	
24	Last Resort	Written by GhostFinal\nPerformed by Kinoko	Assets/Product/Texture/Image/CdPlayer/CdFace29.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace29.png	149	75	
25	Firefly Lullaby	Composed & Arranged by: CoyDE	Assets/Product/Texture/Image/CdPlayer/CdFace33.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace33.png	152	74	
26	Above the Summer	Composed & Arranged by: ANK (Sugar&Co.)\nLyrics: Cream Kumako (Sugar&Co.) Vocal: Sawako	Assets/Product/Texture/Image/CdPlayer/CdFaceJP01.png	Assets/Product/Texture/Image/CdPlayer/BgCdFaceJP01.png	1700029	72	
27	Exorcism	Composer: Polyblue	Assets/Product/Texture/Image/CdPlayer/CdFace37.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace37.png	170	71	
28	Shattered Doll	Composer:Tony	Assets/Product/Texture/Image/CdPlayer/CdFace47.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace47.png	179	70	
29	Under Dimension	Composed by: CoyDe  Vocal: Kinoko	Assets/Product/Texture/Image/CdPlayer/CdFace49.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace49.png	182	69	
30	DIM LIGHT	Composed by: Vanguard Sound  Lyrics Editor: Kuroneko  Vocal: Yoshitsugu Matsuoka	Assets/Product/Texture/Image/CdPlayer/CdFace50.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace50.png	217	69	
31	Infinite Gallery	Composed by GhostFinal  Performed by Kinoko	Assets/Product/Texture/Image/CdPlayer/CdFace54.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace54.png	183	68	
32	For you I pray	Composed by Tony Yan	Assets/Product/Texture/Image/CdPlayer/CdFace55.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace55.png	230	67	775900
