HonorLevel	MaxExp	MaxActionPoint	RewardId	MaxFriendCount
1	5320	160	400300	50
2	5320	160	400300	50
3	5320	160	400300	50
4	5320	160	400300	50
5	5320	160	400300	50
6	5320	160	400300	50
7	5320	160	400300	50
8	5320	160	400300	50
9	5320	160	400300	50
10	5320	160	400300	50
11	5320	160	400300	50
12	5320	160	400300	50
13	5320	160	400300	50
14	5320	160	400300	50
15	5320	160	400300	50
16	5320	160	400300	50
17	5320	160	400300	50
18	5320	160	400300	50
19	5320	160	400300	50
20	5320	160	400300	50
21	5320	160	400300	50
22	5320	160	400300	50
23	5320	160	400300	50
24	5320	160	400300	50
25	5320	160	400300	50
26	5320	160	400300	50
27	5320	160	400300	50
28	5320	160	400300	50
29	5320	160	400300	50
30	5320	160	400300	50
31	5320	160	400300	50
32	5320	160	400300	50
33	5320	160	400300	50
34	5320	160	400300	50
35	5320	160	400300	50
36	5320	160	400300	50
37	5320	160	400300	50
38	5320	160	400300	50
39	5320	160	400300	50
40	5320	160	400300	50
41	5320	160	400300	50
42	5320	160	400300	50
43	5320	160	400300	50
44	5320	160	400300	50
45	5320	160	400300	50
46	5320	160	400300	50
47	5320	160	400300	50
48	5320	160	400300	50
49	5320	160	400300	50
50	5320	160	400300	50
51	5320	160	400300	50
52	5320	160	400300	50
53	5320	160	400300	50
54	5320	160	400300	50
55	5320	160	400300	50
56	5320	160	400300	50
57	5320	160	400300	50
58	5320	160	400300	50
59	5320	160	400300	50
60	5320	160	400300	50
61	5320	160	400300	50
62	5320	160	400300	50
63	5320	160	400300	50
64	5320	160	400300	50
65	5320	160	400300	50
66	5320	160	400300	50
67	5320	160	400300	50
68	5320	160	400300	50
69	5320	160	400300	50
70	5320	160	400300	50
71	5320	160	400300	50
72	5320	160	400300	50
73	5320	160	400300	50
74	5320	160	400300	50
75	5320	160	400300	50
76	5320	160	400300	50
77	5320	160	400300	50
78	5320	160	400300	50
79	5320	160	400300	50
80	5320	160	400300	50
81	5320	160	400300	50
82	5320	160	400300	50
83	5320	160	400300	50
84	5320	160	400300	50
85	5320	160	400300	50
86	5320	160	400300	50
87	5320	160	400300	50
88	5320	160	400300	50
89	5320	160	400300	50
90	5320	160	400300	50
91	5320	160	400300	50
92	5320	160	400300	50
93	5320	160	400300	50
94	5320	160	400300	50
95	5320	160	400300	50
96	5320	160	400300	50
97	5320	160	400300	50
98	5320	160	400300	50
99	5320	160	400300	50
100	5320	160	400300	50
101	5320	160	400300	50
102	5320	160	400300	50
103	5320	160	400300	50
104	5320	160	400300	50
105	5320	160	400300	50
106	5320	160	400300	50
107	5320	160	400300	50
108	5320	160	400300	50
109	5320	160	400300	50
110	5320	160	400300	50
111	5320	160	400300	50
112	5320	160	400300	50
113	5320	160	400300	50
114	5320	160	400300	50
115	5320	160	400300	50
116	5320	160	400300	50
117	5320	160	400300	50
118	5320	160	400300	50
119	5320	160	400300	50
120	5320	160	400300	50
121	5320	160	400300	50
122	5320	160	400300	50
123	5320	160	400300	50
124	5320	160	400300	50
125	5320	160	400300	50
126	5320	160	400300	50
127	5320	160	400300	50
128	5320	160	400300	50
129	5320	160	400300	50
130	5320	160	400300	50
131	5320	160	400300	50
132	5320	160	400300	50
133	5320	160	400300	50
134	5320	160	400300	50
135	5320	160	400300	50
136	5320	160	400300	50
137	5320	160	400300	50
138	5320	160	400300	50
139	5320	160	400300	50
140	5320	160	400300	50
141	5320	160	400300	50
142	5320	160	400300	50
143	5320	160	400300	50
144	5320	160	400300	50
145	5320	160	400300	50
146	5320	160	400300	50
147	5320	160	400300	50
148	5320	160	400300	50
149	5320	160	400300	50
150	5320	160	400300	50
151	5320	160	400300	50
152	5320	160	400300	50
153	5320	160	400300	50
154	5320	160	400300	50
155	5320	160	400300	50
156	5320	160	400300	50
157	5320	160	400300	50
158	5320	160	400300	50
159	5320	160	400300	50
160	5320	160	400300	50
161	5320	160	400300	50
162	5320	160	400300	50
163	5320	160	400300	50
164	5320	160	400300	50
165	5320	160	400300	50
166	5320	160	400300	50
167	5320	160	400300	50
168	5320	160	400300	50
169	5320	160	400300	50
170	5320	160	400300	50
171	5320	160	400300	50
172	5320	160	400300	50
173	5320	160	400300	50
174	5320	160	400300	50
175	5320	160	400300	50
176	5320	160	400300	50
177	5320	160	400300	50
178	5320	160	400300	50
179	5320	160	400300	50
180	5320	160	400300	50
181	5320	160	400300	50
182	5320	160	400300	50
183	5320	160	400300	50
184	5320	160	400300	50
185	5320	160	400300	50
186	5320	160	400300	50
187	5320	160	400300	50
188	5320	160	400300	50
189	5320	160	400300	50
190	5320	160	400300	50
191	5320	160	400300	50
192	5320	160	400300	50
193	5320	160	400300	50
194	5320	160	400300	50
195	5320	160	400300	50
196	5320	160	400300	50
197	5320	160	400300	50
198	5320	160	400300	50
199	5320	160	400300	50
200	5320	160	400300	50
201	5320	160	400300	50
202	5320	160	400300	50
203	5320	160	400300	50
204	5320	160	400300	50
205	5320	160	400300	50
206	5320	160	400300	50
207	5320	160	400300	50
208	5320	160	400300	50
209	5320	160	400300	50
210	5320	160	400300	50
211	5320	160	400300	50
212	5320	160	400300	50
213	5320	160	400300	50
214	5320	160	400300	50
215	5320	160	400300	50
216	5320	160	400300	50
217	5320	160	400300	50
218	5320	160	400300	50
219	5320	160	400300	50
220	5320	160	400300	50
221	5320	160	400300	50
222	5320	160	400300	50
223	5320	160	400300	50
224	5320	160	400300	50
225	5320	160	400300	50
226	5320	160	400300	50
227	5320	160	400300	50
228	5320	160	400300	50
229	5320	160	400300	50
230	5320	160	400300	50
231	5320	160	400300	50
232	5320	160	400300	50
233	5320	160	400300	50
234	5320	160	400300	50
235	5320	160	400300	50
236	5320	160	400300	50
237	5320	160	400300	50
238	5320	160	400300	50
239	5320	160	400300	50
240	5320	160	400300	50
241	5320	160	400300	50
242	5320	160	400300	50
243	5320	160	400300	50
244	5320	160	400300	50
245	5320	160	400300	50
246	5320	160	400300	50
247	5320	160	400300	50
248	5320	160	400300	50
249	5320	160	400300	50
250	5320	160	400300	50
251	5320	160	400300	50
252	5320	160	400300	50
253	5320	160	400300	50
254	5320	160	400300	50
255	5320	160	400300	50
256	5320	160	400300	50
257	5320	160	400300	50
258	5320	160	400300	50
259	5320	160	400300	50
260	5320	160	400300	50
261	5320	160	400300	50
262	5320	160	400300	50
263	5320	160	400300	50
264	5320	160	400300	50
265	5320	160	400300	50
266	5320	160	400300	50
267	5320	160	400300	50
268	5320	160	400300	50
269	5320	160	400300	50
270	5320	160	400300	50
271	5320	160	400300	50
272	5320	160	400300	50
273	5320	160	400300	50
274	5320	160	400300	50
275	5320	160	400300	50
276	5320	160	400300	50
277	5320	160	400300	50
278	5320	160	400300	50
279	5320	160	400300	50
280	5320	160	400300	50
281	5320	160	400300	50
282	5320	160	400300	50
283	5320	160	400300	50
284	5320	160	400300	50
285	5320	160	400300	50
286	5320	160	400300	50
287	5320	160	400300	50
288	5320	160	400300	50
289	5320	160	400300	50
290	5320	160	400300	50
291	5320	160	400300	50
292	5320	160	400300	50
293	5320	160	400300	50
294	5320	160	400300	50
295	5320	160	400300	50
296	5320	160	400300	50
297	5320	160	400300	50
298	5320	160	400300	50
299	5320	160	400300	50
300	5320	160	400300	50
301	5320	160	400300	50
302	5320	160	400300	50
303	5320	160	400300	50
304	5320	160	400300	50
305	5320	160	400300	50
306	5320	160	400300	50
307	5320	160	400300	50
308	5320	160	400300	50
309	5320	160	400300	50
310	5320	160	400300	50
311	5320	160	400300	50
312	5320	160	400300	50
313	5320	160	400300	50
314	5320	160	400300	50
315	5320	160	400300	50
316	5320	160	400300	50
317	5320	160	400300	50
318	5320	160	400300	50
319	5320	160	400300	50
320	5320	160	400300	50
321	5320	160	400300	50
322	5320	160	400300	50
323	5320	160	400300	50
324	5320	160	400300	50
325	5320	160	400300	50
326	5320	160	400300	50
327	5320	160	400300	50
328	5320	160	400300	50
329	5320	160	400300	50
330	5320	160	400300	50
331	5320	160	400300	50
332	5320	160	400300	50
333	5320	160	400300	50
334	5320	160	400300	50
335	5320	160	400300	50
336	5320	160	400300	50
337	5320	160	400300	50
338	5320	160	400300	50
339	5320	160	400300	50
340	5320	160	400300	50
341	5320	160	400300	50
342	5320	160	400300	50
343	5320	160	400300	50
344	5320	160	400300	50
345	5320	160	400300	50
346	5320	160	400300	50
347	5320	160	400300	50
348	5320	160	400300	50
349	5320	160	400300	50
350	5320	160	400300	50
351	5320	160	400300	50
352	5320	160	400300	50
353	5320	160	400300	50
354	5320	160	400300	50
355	5320	160	400300	50
356	5320	160	400300	50
357	5320	160	400300	50
358	5320	160	400300	50
359	5320	160	400300	50
360	5320	160	400300	50
361	5320	160	400300	50
362	5320	160	400300	50
363	5320	160	400300	50
364	5320	160	400300	50
365	5320	160	400300	50
366	5320	160	400300	50
367	5320	160	400300	50
368	5320	160	400300	50
369	5320	160	400300	50
370	5320	160	400300	50
371	5320	160	400300	50
372	5320	160	400300	50
373	5320	160	400300	50
374	5320	160	400300	50
375	5320	160	400300	50
376	5320	160	400300	50
377	5320	160	400300	50
378	5320	160	400300	50
379	5320	160	400300	50
380	5320	160	400300	50
381	5320	160	400300	50
382	5320	160	400300	50
383	5320	160	400300	50
384	5320	160	400300	50
385	5320	160	400300	50
386	5320	160	400300	50
387	5320	160	400300	50
388	5320	160	400300	50
389	5320	160	400300	50
390	5320	160	400300	50
391	5320	160	400300	50
392	5320	160	400300	50
393	5320	160	400300	50
394	5320	160	400300	50
395	5320	160	400300	50
396	5320	160	400300	50
397	5320	160	400300	50
398	5320	160	400300	50
399	5320	160	400300	50
400	5320	160	400300	50
401	5320	160	400300	50
402	5320	160	400300	50
403	5320	160	400300	50
404	5320	160	400300	50
405	5320	160	400300	50
406	5320	160	400300	50
407	5320	160	400300	50
408	5320	160	400300	50
409	5320	160	400300	50
410	5320	160	400300	50
411	5320	160	400300	50
412	5320	160	400300	50
413	5320	160	400300	50
414	5320	160	400300	50
415	5320	160	400300	50
416	5320	160	400300	50
