Id	Node[1]	Node[2]	Node[3]	Node[4]	Node[5]	Node[6]	Node[7]	Node[8]	Node[9]	Node[10]	Node[11]	Node[12]	Node[13]	Node[14]	Node[15]	Node[16]	Node[17]	Node[18]	Node[19]	Node[20]	Node[21]	Node[22]	Node[23]	Node[24]	Node[25]	Node[26]	Node[27]	Node[28]	Node[29]	Node[30]	Node[31]	Node[32]	Node[33]	Node[34]	Node[35]	Node[36]	Node[37]	Node[38]	Node[39]	Node[40]	Node[41]	Node[42]	Node[43]	Node[44]	Node[45]	Node[46]	Node[47]	Node[48]	Node[49]	Node[50]	Node[51]	Node[52]	Node[53]	Node[54]	Node[55]	Node[56]	Node[57]	Node[58]	Node[59]	Node[60]	Node[61]	Node[62]	Node[63]	Node[64]	Node[65]	Node[66]	Node[67]	Node[68]	Node[69]	Node[70]	Node[71]	Node[72]	Node[73]	Node[74]	Node[75]	Node[76]	Node[77]	Node[78]	Node[79]	Node[80]	Node[81]	Node[82]	Node[83]	Node[84]	Node[85]	Node[86]	Node[87]	Node[88]	Node[89]	Node[90]	Node[91]	Node[92]	Node[93]	Node[94]	Node[95]	Node[96]	Node[97]	Node[98]	Node[99]	Node[100]
1	0|12|0	0|10|0	0|10|0	0|8|0	0|10|0	0|10|0	0|0|0	12|0|0	10|0|0	10|0|0	7|0|0	10|0|0	10|0|0	0|0|0	12|12|12	0|0|0	1|0|3	1|0|3	1|0|3	0|0|0	12|2|3	0|2|3	0|2|3	0|0|0	1|12|3	1|0|3	1|0|3	0|0|0	1|2|12	1|2|0	1|2|0	0|0|0	1|12|3	1|0|3	0|0|3	11|0|3	1|0|3	1|0|3	0|0|0	1|2|12	1|2|0	1|0|0	1|11|0	1|2|0	1|2|0																																																							
2																																																																																																				
3																																																																																																				
4																																																																																																				
5																																																																																																				
6	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	0|0|0	1|0|3	0|10|0	1|8|3	0|11|0	0|0|0	9|2|3	11|0|0	0|0|0	1|8|3	0|11|0	0|0|0	1|2|9	0|0|11	0|0|0	1|8|3	0|11|0	0|0|0	7|2|3	0|0|0	0|0|0	7|7|7	0|0|0	0|10|0	8|8|8	0|0|0	0|10|0	4|4|4	0|0|0	10|0|0	4|4|4	0|0|0	0|10|0	9|9|9	0|0|0	0|0|10	4|4|4	0|0|0	0|10|0	7|7|7	0|0|0	10|0|0	0|0|0	0|2|0	10|2|0	0|2|0	0|0|0	1|0|0	1|10|0	1|0|0	0|0|0	0|2|0	0|2|10	0|2|0	0|0|0																																			
11	0|0|3	0|10|3	0|0|3	0|0|0	0|2|0	10|2|0	0|2|0	0|0|0	1|0|0	1|10|0	1|0|0	0|0|0	0|12|0	0|0|0	0|10|0	0|0|0	0|10|0	0|8|0	0|0|0	0|2|10	0|2|0	0|2|10	0|2|0	0|2|9	0|0|0	0|0|0	10|0|3	0|0|3	10|0|3	0|0|3	7|0|3	0|0|0																																																																				
12	0|12|0	0|10|0	0|10|0	0|10|0	0|10|0	0|10|0	0|0|0	12|0|0	10|0|0	10|0|0	10|0|0	10|0|0	10|0|0	0|0|0	0|12|0	0|10|0	0|10|0	0|10|0	0|10|0	0|10|0	0|0|0	0|0|12	0|0|10	0|0|10	0|0|10	0|0|10	0|0|10	0|0|0	0|12|0	0|10|0	0|10|0	0|8|0	0|10|0	0|10|0	0|0|0	12|0|0	10|0|0	10|0|0	7|0|0	10|0|0	10|0|0	0|0|0	12|12|12	0|0|0	1|0|3	1|0|3	1|0|3	0|0|0																																																				
13	0|0|8	0|0|0	0|0|10	0|2|10	0|2|0	0|2|10	0|2|0	0|2|9	0|0|0	0|0|0	10|0|3	0|0|3	10|0|3	0|0|3	7|0|3	0|0|0	0|10|0	0|10|0	0|10|0	7|7|7	0|10|0	0|10|0	8|8|8	0|10|0	0|10|0	9|9|9	0|0|0	0|0|11	0|0|0	7|7|7	0|0|0	0|11|0	0|0|0	8|8|8	0|0|0	11|0|0	0|0|0	9|9|9																																																														
14	12|0|0	10|0|0	10|0|0	10|0|0	0|0|0	0|12|0	0|10|0	0|10|0	0|10|0	0|0|0	0|0|12	0|0|10	0|0|10	0|0|10	0|0|0	0|11|0	0|0|0	0|0|11	0|0|0	0|11|0	0|0|0	11|0|0	0|0|0	0|11|0	0|0|0	0|10|3	0|0|0	10|2|0	0|0|0	1|10|0	0|0|0	0|2|10	0|0|0	0|10|3	0|0|0	10|2|0	0|0|0	11|0|3	0|0|0	1|10|3	0|0|0	10|2|3	0|0|0	1|2|10																																																								
