Id	Name	Type	Content	Quality	Announcer	MemberCount	NeedTime	RecommendAttrib[1]	RecommendAttrib[2]	RecommendAttrib[3]	RecommendAttrib[4]	PreQuestId[1]	PreQuestId[2]	Condition[1]	Condition[2]	FinishReward	ExtraReward	FilePoolId	IsRepeatedly
1001	Eliminate All Corrupted Around Oasis	1	As the number of the Corrupted on Earth has been rising, so too has the number of refugees flocking to the base of the Forsaken. Due to insufficient soldiers there, Babylonia has received a request to eliminate the Corrupted around the Oasis base.	1	8	1	14400	1								8501	8507		1
1002	Abnormal Situation Reconnaissance	2	Abnormalities have been detected on Earth, presumably associated with the Corrupted. Assistance is requested for the recon operation.	1	2	1	14400	2								8501	8508	20201	1
1003	Rescue Operation on Earth	3	The invasion of the Corrupted has caused quite a number of casualties. Reinforcements are requested for immediate aid.	1	7	1	14400	3								8501	8509	70301	1
1004	Provisions Transportation	4	A batch of provisions is to be transported from Babylonia to a conservation area on Earth. Constructs experienced in piloting are requested to escort the transportation.	1	4	1	14400	4								8501	8510	40401	1
1005	Emergency Maintenance	5	Power deficiency has been detected in Babylonia's Weather Engine Group B. Deployment of Constructs for cooperative maintenance is requested.	1	3	1	14400	5								8501	8511	30501	1
1006	Ancient Ruins Expedition	6	New ancient ruins have been discovered on Earth. Constructs are requested to take on an investigation into the ruins.	1	5	1	14400	6								8501	8512	50601	1
1007	Diplomatic Negotiation	7	A new season of goods trade has kicked off. This time, Babylonia will be sitting at the negotiation table with Kowloong. Constructs with exceptional bargaining skills are requested to help the two parties reach an ideal reciprocal agreement.	1	1	1	14400	7								8501	8507		1
1008	Fend Off Raging Corrupted	1	The Arctic Route Union is under savage attack from the Corrupted. Babylonia is requested to deploy Constructs for reinforcements.	1	9	1	14400	1								8501	8508	90101	1
1009	New Ancient Ruins Discovered	2	It appears that new ancient ruins have been discovered on Earth. Assistance is requested for a cooperative investigation. Once its danger level has been identified, the WGAA will lay out a follow-up operation.	1	5	1	14400	2								8501	8509		1
1010	Rescue Request From Oasis	3	Because of a lack of manpower in the Oasis base, the invasion of the Hetero-Creatures has caused severe casualties. Timely aid is requested before casualties further increase.	1	8	1	14400	3								8501	8510		1
1011	Valuables Transportation	4	The WGAA has again unearthed a batch of cultural and artistic artifacts. Constructs are requested to escort the transportation of these valuables back to Babylonia.	1	5	1	14400	4								8501	8511	50401	1
1012	Central Purification Filter Emergency Maintenance	5	The concentration of the Punishing Virus in a conservation area is gradually increasing due to a malfunction in the Central Purification Filter. Assistance is requested to repair the Central Purification Filter.	1	4	1	14400	5								8501	8512		1
1013	Explore the Kowloong Ruins	6	After wiping out a horde of Corrupted, new Koloong ruins were discovered inland. Babylonia is requested to deploy Constructs for a cooperative investigation into the ruins.	1	12	1	14400	6								8501	8507	120601	1
1014	Negotiation With Scavengers	7	A group of Scavengers has occupied a small base on the outskirts of the Oasis. Due to a manpower shortage, the Forsaken have requested Constructs with outstanding bargaining skills from Babylonia to talk this out with Scavengers.	1	8	1	14400	7								8501	8508		1
1015	Eliminate the Corrupted for Asslam	1	A station along Asslam's railway has been occupied by the Corrupted. As it will impose potential risks on the transportation, Babylonia is requested to deploy Constructs to eliminate all the Corrupted there.	1	10	1	14400	1								8501	8509	100101	1
1016	Reconnaissance of New City	2	Babylonia has discovered a new city on Earth. Constructs are requested to identify the location details of its Central Purification Filter and assess its danger level there.	1	1	1	14400	2								8501	8510	10201	1
1017	Medical Assistance Request	3	The invasion of the Corrupted has nearly exhausted the medical materials in the conservation area. Immediate medical assistance is requested.	1	7	1	14400	3								8501	8511	70301	1
1018	Goods Trade With Akdilek	4	The goods that the Kowloong Corp ordered are ready for transportation. However, given the considerable distance between Akdilek and Kowloong, Babylonia is requested, with rewards offered, to deploy escorts for the transportation.	1	10	1	14400	4								8501	8512	100401	1
1019	Simulation Hall Malfunctions	5	The scene-switch function in the simulation hall is currently not operating normally. Constructs are requested to investigate and join the cooperative maintenance.	1	5	1	14400	5								8501	8509	50501	1
1020	Research Center Ruins Expedition	6	A site of ruins from a Golden Age research center was discovered near a conservation area. Constructs are requested by the Science Council for an investigation into the ruins.	1	6	1	14400	6								8501	8510		1
1021	Archives Management	7	The military is currently reorganizing its archives from the last few years. Constructs experienced in handling confidential information are requested for assistance.	1	1	1	14400	7								8501	8507	10701	1
1022	Retrieval of Lost Materials	1	The Engineering Force lost a batch of materials due to an assault from the Corrupted. Reinforcements are requested to eliminate the Corrupted and retrieve the materials.	1	3	1	14400	1								8501	8508	30101	1
1023	Conservation Area Routine Patrol	2	As certain guards from the conservation area are reassigned to other missions, assistance is requested for the routine patrols.	1	1	1	14400	2								8501	8509	10201	1
1024	Combat Medical Assistance	3	A combat has erupted in a city on Earth. Medical assistance is requested for the wounded.	1	7	1	14400	3								8501	8510	70301	1
1025	Transportation of the Forsaken's Materials	4	A batch of medical materials has to be transported to a base. However, Due to a manpower shortage, the Forsaken have requested escorts, with rewards offered.	1	8	1	14400	4								8501	8511		1
