Id	QuestId[1]	Weight[1]	QuestId[2]	Weight[2]	QuestId[3]	Weight[3]	QuestId[4]	Weight[4]	QuestId[5]	Weight[5]	QuestId[6]	Weight[6]	QuestId[7]	Weight[7]	QuestId[8]	Weight[8]	QuestId[9]	Weight[9]	QuestId[10]	Weight[10]	QuestId[11]	Weight[11]	QuestId[12]	Weight[12]	QuestId[13]	Weight[13]	QuestId[14]	Weight[14]	QuestId[15]	Weight[15]	QuestId[16]	Weight[16]	QuestId[17]	Weight[17]	QuestId[18]	Weight[18]	QuestId[19]	Weight[19]	QuestId[20]	Weight[20]	QuestId[21]	Weight[21]	QuestId[22]	Weight[22]	QuestId[23]	Weight[23]	QuestId[24]	Weight[24]	QuestId[25]	Weight[25]	QuestId[26]	Weight[26]	QuestId[27]	Weight[27]	QuestId[28]	Weight[28]	QuestId[29]	Weight[29]	QuestId[30]	Weight[30]	QuestId[31]	Weight[31]	QuestId[32]	Weight[32]	QuestId[33]	Weight[33]	QuestId[34]	Weight[34]	QuestId[35]	Weight[35]
101	1001	100	1002	100	1003	100	1004	100	1005	100	1006	100	1007	100	1008	100	1009	100	1010	100	1011	100	1012	100	1013	100	1014	100	1015	100	1016	100	1017	100	1018	100	1019	100	1020	100																														
102	1021	100	1022	100	1023	100	1024	100	1025	100	1026	100	1027	100	1028	100	1029	100	1030	100																																																		
103	1001	100	1002	100	1003	100	1004	100	1005	100	1006	100	1007	100	1008	100	1009	100	1010	100	1011	100	1012	100	1013	100	1014	100	1015	100	1016	100	1017	100	1018	100	1019	100	1020	100	1021	100	1022	100	1023	100	1024	100	1025	100	1026	100	1027	100	1028	100	1029	100	1030	100										
201	2001	100	2002	100	2003	100	2004	100	2005	100	2006	100	2007	100	2008	100	2009	100	2010	100	2011	100	2012	100	2013	100	2014	100	2015	100	2016	100	2017	100	2018	100	2019	100	2020	100																														
202	2021	100	2022	100	2023	100	2024	100	2025	100	2026	100	2027	100	2028	100	2029	100	2030	100																																																		
203	2001	100	2002	100	2003	100	2004	100	2005	100	2006	100	2007	100	2008	100	2009	100	2010	100	2011	100	2012	100	2013	100	2014	100	2015	100	2016	100	2017	100	2018	100	2019	100	2020	100	2021	100	2022	100	2023	100	2024	100	2025	100	2026	100	2027	100	2028	100	2029	100	2030	100										
301	3001	100	3002	100	3003	100	3004	100	3005	100	3006	100	3007	100	3008	100	3009	100	3010	100	3011	100	3012	100	3013	100	3014	100	3015	100	3016	100	3017	100	3018	100	3019	100	3020	100	3021	100	3022	100	3023	100	3024	100	3025	100																				
302	3026	100	3027	100	3028	100	3029	100	3030	100	3031	100	3032	100	3033	100	3034	100	3035	100																																																		
303	3001	100	3002	100	3003	100	3004	100	3005	100	3006	100	3007	100	3008	100	3009	100	3010	100	3011	100	3012	100	3013	100	3014	100	3015	100	3016	100	3017	100	3018	100	3019	100	3020	100	3021	100	3022	100	3023	100	3024	100	3025	100	3026	100	3027	100	3028	100	3029	100	3030	100	3031	100	3032	100	3033	100	3034	100	3035	100
401	4001	100	4002	100	4003	100	4004	100	4005	100	4006	100	4007	100	4008	100	4009	100	4010	100	4011	100	4012	100	4013	100	4014	100	4015	100	4016	100	4017	100	4018	100	4019	100	4020	100	4021	100	4022	100	4023	100	4024	100	4025	100																				
402	4026	100	4027	100	4028	100	4029	100	4030	100	4031	100	4032	100	4033	100	4034	100	4035	100																																																		
403	4001	100	4002	100	4003	100	4004	100	4005	100	4006	100	4007	100	4008	100	4009	100	4010	100	4011	100	4012	100	4013	100	4014	100	4015	100	4016	100	4017	100	4018	100	4019	100	4020	100	4021	100	4022	100	4023	100	4024	100	4025	100	4026	100	4027	100	4028	100	4029	100	4030	100	4031	100	4032	100	4033	100	4034	100	4035	100
500	5001	100	5002	100	5003	100	5004	100	5005	100																																																												
