Id	Desc	Type	Args[0]	Args[1]	Args[2]	Args[3]	Args[4]	Args[5]
102130	Location Unlock Requirement: Complete choice [The Way Home] (Select agree to unlock the location)	601	10211	1				
10214	Event Unlock Requirement: Complete the exploration of location [Rocky Riverbank] and then unlock The Way Home - 2)	401	10213					
10221	Event Unlock Requirement: Complete choice [The Way Home - 2: Inform] (Select	601	10214	1				
10223	Event Unlock Requirement: Complete choice [The Way Home - 2: Hide]	601	10214	2				
103140	Location Unlock Requirement: Complete choice [Father - I'll Do My Best]	601	10311	1				
103150	Location Unlock Requirement: Complete event [Father - Two Bullets]	601	10321					
103160	Location Unlock Requirement: Complete event [Father - Thread]	601	10325					
10316	Event Unlock Requirement: Complete the exploration of location [Riverside Camp]	401	10314					
10321	Event Unlock Requirement: Complete event [Father - White Lie]	601	10319					
10323	Event Unlock Requirement: Complete the exploration of location ["Orchard"]	401	10315					
10327	Event Unlock Requirement: Complete the exploration of location ["Orchard"]	401	10316					
10418	Event Unlock Requirement: Complete choice [Mother: Refuse]	601	10415	1				
10420	Event Unlock Requirement: Complete choice [Mother: Agree to Her Request]	601	10415	2				
10423	Event Unlock Requirement: Complete choice [Mother - 2: Refuse]	601	10420	1				
10425	Event Unlock Requirement: Complete choice [Mother - 2: Agree to Her Request]	601	10420	2				
10428	Event Unlock Requirement: Complete choice [Mother - 3: Refuse]	601	10425	1				
10430	Event Unlock Requirement: Complete choice [Mother - 3: Agree to Her Request]	601	10425	2				
10520	Event Unlock Requirement: Complete the exploration of location [Overlook Point]	401	10502					
10522	Event Unlock Requirement: Complete the exploration of location [Experiment Building]	401	10503					
10524	Event Unlock Requirement: Complete the exploration of location [Underground Lab]	401	10508					
10526	Event Unlock Requirement: Complete the exploration of location [Hidden Room]	401	10509					
10528	Event Unlock Requirement: Complete the exploration of location [Outer City]	401	10510					
1010	Common Failure Requirement: Death of all members	205	1	0				
1020	Common Failure Requirement: Death of all members	205	3	0				
2010	Have more than 24 members in camp	801	24					
20109	Location Requirement: Complete the event option of Location 2	701	201091	201092	201093			
201091	Complete Location 2 Option 1	601	2010200	1				
201092	Complete Location 2 Option 2	601	2010200	2				
201093	Complete Location 2 Option 3	601	2010200	3				
1214	Weather Event Requirement: Spirit lower than 30	201	3	30				
1215	Weather Option Requirement: Medicine no less than 15	102	3	15				
1217	Weather Event Requirement: Spirit lower than 30	201	3	30				
1218	Weather Option Requirement: Medicine no less than 20	102	3	20				
1320	Weather Event Requirement: Spirit lower than 30	201	3	30				
1321	Weather Option Requirement: Food no less than 15	102	4	15				
1323	Weather Event Requirement: Spirit lower than 30	201	3	30				
1324	Weather Option Requirement: Food no less than 20	102	4	20				
1420	Weather Event Requirement: Spirit lower than 30	201	3	30				
1421	Weather Option Requirement: Medicine no less than 15	102	3	15				
1423	Weather Event Requirement: Spirit lower than 30	201	3	30				
1424	Weather Option Requirement: Medicine no less than 20	102	3	20				
1426	Weather Event Requirement: Spirit lower than 30	201	3	30				
1427	Weather Option Requirement: Food no less than 15	102	4	15				
1429	Weather Event Requirement: Spirit lower than 30	201	3	30				
1430	Weather Option Requirement: Food no less than 20	102	4	20				
