Id	Type	Threshold	ResourceId	DailyRequireResourceCount	DailyRecoveryRatio	DailyChangeValue	DailyChangeValueWhenNoHome	DailyChangeValueWhenHungery	DailyChangeValueWhenSick
101	1	30	3	1	10	-10	0	0	-10
102	2	30	4	1	10	-10	0	-10	
103	3	30					-10	-10	-10
104	1	30	3	2	10	-15	-10	0	-10
105	2	30	4	2	10	-15	-10	-10	
106	3	30					-10	-10	-10
107	1	30	3	3	10	-30	-15	0	-10
108	2	30	4	3	10	-30	-15	-10	
109	3	30					-10	-10	-10
201	1	30	3	1	10	-10	0	0	-10
202	2	30	4	1	10	-10	0	-10	
203	3	30				10	-10	-10	-10
204	1	30	3	2	10	-15	-10	0	-10
205	2	30	4	2	10	-15	-10	-10	
206	3	30					-10	-10	-10
207	1	30	3	3	10	-30	-15	0	-10
208	2	30	4	3	10	-30	-15	-10	
209	3	30					-10	-10	-10
210	1	30	3	4	10	-40	-20	0	-10
211	2	30	4	4	10	-40	-20	-10	
212	3	30					-10	-10	-10
30101	1	30	3	1	10	-5	0	0	-10
30102	2	30	4	1	10	-5	0	-10	
30103	3	30				10	-10	-10	-10
30201	1	30	3	1	10	-10	0	0	-10
30202	2	30	4	1	10	-10	0	-10	
30203	3	30					-10	-10	-10
30301	1	30	3	2	10	-15	-10	0	-10
30302	2	30	4	2	10	-15	-10	-10	
30303	3	30					-10	-10	-10
30401	1	30	3	2	10	-20	-10	0	-10
30402	2	30	4	2	10	-20	-10	-10	
30403	3	30					-10	-10	-10
30501	1	30	3	3	10	-30	-15	0	-10
30502	2	30	4	3	10	-30	-15	-10	
30503	3	30					-10	-10	-10
40101	1	30	3	1	10	-5	0	0	-10
40102	2	30	4	1	10	-5	0	-10	
40103	3	30				10	-10	-10	-10
40201	1	30	3	1	10	-10	0	0	-10
40202	2	30	4	1	10	-10	0	-10	
40203	3	30					-10	-10	-10
40301	1	30	3	2	10	-15	-10	0	-10
40302	2	30	4	2	10	-15	-10	-10	
40303	3	30					-10	-10	-10
40401	1	30	3	2	10	-20	-10	0	-10
40402	2	30	4	2	10	-20	-10	-10	
40403	3	30					-10	-10	-10
601	1	30	3	1	10	-10	0	0	-10
602	2	30	4	1	10	-10	0	-10	
603	3	30					-10	-10	-10
604	1	30	3	2	10	-15	-10	0	-10
605	2	30	4	2	10	-15	-10	-10	
606	3	30					-10	-10	-10
607	1	30	3	3	10	-30	-15	0	-10
608	2	30	4	3	10	-30	-15	-10	
609	3	30					-10	-10	-10
610	1	30	3	4	10	-40	-20	0	-10
611	2	30	4	4	10	-40	-20	-10	
612	3	30					-10	-10	-10
613	1	30	3	2	10	-5	0	0	-10
614	2	30	4	2	10	-5	0	-10	
615	3	30				10	-10	-10	-10
