Id	Priority	Ignore	Desc	GuideType	ConditionId[1]	ConditionId[2]	ConditionId[3]	CompleteId	ActiveUi	RewardId	GroupId
100001	1	0	Novice Stage 1	2	850000			100001	UiMain	0	1
100002	2	0	Novice Stage 2	2	850000			100002	UiMain	0	1
100003	3	0	Novice Stage 3	2	850000			100003	UiMain	0	1
50000	50000	0	Guide to 1-1	1	850000			50000	UiMain	0	50000
50101	50101	1	(Abandoned) Claim Mission 1-2 reward	1	200000			50101	UiMain	0	50101
50102	50102	1	(Abandoned) Equip your 1st Memory	1	200000			50102	UiMain	0	50101
50103	50103	1	(Abandoned) Equip your 2nd Memory	1	200000			50103	UiEquipAwarenessReplace|UiMain	0	50101
50201	50201	0	Complete 1-3 Claim Reward Liv	1	850201			50201	UiMain	0	50201
50202	50202	1	(Abandoned) Guide to upgrade Liv	1	200000			50202	UiMain	0	50201
50203	50203	0	Complete 1-3 Guide: Deploy Liv	1	850203			50203	UiMain	0	50201
50301	50301	0	Complete 1-4 Guide: Lucia Upgrade (Originally Lucia Skill Upgrade)	1	850301			50301	UiMain	0	50301
50401	50401	0	Complete 1-6 Guide: Beginner Target	1	850401			50401	UiMain	0	50401
50501	50402	0	Complete 1-6 Guide: Memory Equipment (Originally 1-8 Guide: Promotion)	1	850401			50501	UiMain	0	50401
50701	50701	0	Complete 1-8 Unlock Research to get R&D Tickets	1	770402			50701	UiMain	1300	50701
50800	50800	0	Complete 1-8 Draw Nanami	1	770402			50800	UiMain|UiNewDrawMain	0	50800
50801	50801	0	Complete 1-8 Guide: Weapon Research	1	770402			50801	UiNewDrawMain	0	50801
50803	50803	1	(Abandoned) Deploy Nanami	1	200000			50803	UiBattleRoleRoom	0	50801
50901	50901	0	Complete 1-8 Guide: Member Info (Originally 2-1 Return to Main Story Guide)	1	770402			50901	UiMain	0	50800
51101	51101	0	Complete 1-8 Guide: Celica's Class	1	774501			51101	UiMain|UiFubenPractice	0	51101
50602	50602	0	Complete 1-9 Equip 4★ Blade	1	850602			50602	UiMain	0	50602
50603	50603	0	Complete 1-9 Upgrade 4★ Blade	1	850603			50603	UiEquipReplaceNew|UiMain	0	50602
50931	50931	0	Complete 2-2 Guide: Daily Mission (Originally Single Daily Mission)	1	772800			50931	UiMain	0	50931
