Id	AchievementTypeId	TaskId	Quality	IsHiddenMode	ShowTips
11010001	1	3000	1		
11010002	1	3001	1		
11010003	1	3002	1		
11010004	1	3003	1		
11040001	2	3040	1		
11040002	2	3041	1		
11040003	2	3042	1		
11040004	2	3043	2		
11060101	2	11060101	1		
11060102	2	11060102	1		
11060103	2	11060103	1		
11060104	2	11060104	2		
11060105	2	11060105	2		
11060201	2	11060201	1		
11060202	2	11060202	1		
11060203	2	11060203	1		
11060204	2	11060204	2		
11060205	2	11060205	2		
11060301	2	11060301	1		
11060302	2	11060302	1		
11060303	2	11060303	1		
11060304	2	11060304	2		
11060305	2	11060305	2		
11060401	2	11060401	1		
11060402	2	11060402	1		
11060403	2	11060403	1		
11060404	2	11060404	2		
11060405	2	11060405	2		
11060501	2	11060501	1		
11060502	2	11060502	1		
11060503	2	11060503	1		
11060504	2	11060504	2		
11060505	2	11060505	2		
11060601	2	11060601	1		
11060602	2	11060602	1		
11060603	2	11060603	1		
11060604	2	11060604	2		
11060605	2	11060605	2		
11060701	2	11060701	1		
11060702	2	11060702	1		
11060703	2	11060703	1		
11060704	2	11060704	2		
11060705	2	11060705	2		
11060801	2	11060801	1		
11060802	2	11060802	1		
11060803	2	11060803	1		
11060804	2	11060804	2		
11060805	2	11060805	2		
11060901	2	11060901	1		
11060902	2	11060902	1		
11060903	2	11060903	1		
11060904	2	11060904	2		
11060905	2	11060905	2		
11061001	2	11061001	1		
11061002	2	11061002	1		
11061003	2	11061003	1		
11061004	2	11061004	2		
11061005	2	11061005	2		
11061101	2	11061101	1		
11061102	2	11061102	1		
11061103	2	11061103	1		
11061104	2	11061104	2		
11061105	2	11061105	2		
11061201	2	11061201	1		
11061202	2	11061202	1		
11061203	2	11061203	1		
11061204	2	11061204	2		
11061205	2	11061205	2		
11061301	2	11061301	1		
11061302	2	11061302	1		
11061303	2	11061303	1		
11061304	2	11061304	2		
11061305	2	11061305	2		
11061401	2	11061401	1		
11061402	2	11061402	1		
11061403	2	11061403	1		
11061404	2	11061404	2		
11061405	2	11061405	2		
11061501	2	11061501	1		
