Id	IsFree	SceneId	Width	Height	CharCapacity	BigFurnitureCapacity	SmallFurnitureCapacity	DecorateCapacity	PetCapacity	ShieldCapacity	ConsumeItemId	ConsumeItemCount	InitNumber	InitName	InitFurniture[1]	InitFurniturePos[1]	InitFurnitureAttr[1]	InitFurniture[2]	InitFurniturePos[2]	InitFurnitureAttr[2]	InitFurniture[3]	InitFurniturePos[3]	InitFurnitureAttr[3]	InitFurniture[4]	InitFurniturePos[4]	InitFurnitureAttr[4]	InitFurniture[5]	InitFurniturePos[5]	InitFurnitureAttr[5]	InitFurniture[6]	InitFurniturePos[6]	InitFurnitureAttr[6]
21001	1	1	38	38	3	0	0	0	1	0	0	0	1	Dormitory 1	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21002		1	38	38	3	0	0	0	1	0	36	5	2	Dormitory 2	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21003		1	38	38	3	0	0	0	1	0	36	5	3	Dormitory 3	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21004		1	38	38	3	0	0	0	1	0	36	5	4	Dormitory 4	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21005		1	38	38	3	0	0	0	1	0	36	5	5	Dormitory 5	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21006		1	38	38	3	0	0	0	1	0	36	5	6	Dormitory 6	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21007		2	38	38	3	0	0	0	1	0	36	5	7	Dormitory 7	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21008		2	38	38	3	0	0	0	1	0	36	5	8	Dormitory 8	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21009		2	38	38	3	0	0	0	1	0	36	5	9	Dormitory 9	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21010		2	38	38	3	0	0	0	1	0	36	5	10	Dormitory 10	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21011		2	38	38	3	0	0	0	1	0	36	5	11	Dormitory 11	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21012		2	38	38	3	0	0	0	1	0	36	5	12	Dormitory 12	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21013		3	38	38	3	0	0	0	1	0	36	5	13	Dormitory 13	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21014		3	38	38	3	0	0	0	1	0	36	5	14	Dormitory 14	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21015		3	38	38	3	0	0	0	1	0	36	5	15	Dormitory 15	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21016		3	38	38	3	0	0	0	1	0	36	5	16	Dormitory 16	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21017		3	38	38	3	0	0	0	1	0	36	5	17	Dormitory 17	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
21018		3	38	38	3	0	0	0	1	0	36	5	18	Dormitory 18	8101004	0|0|0	100001	8301004	0|0|0	100001	8201004	0|0|0	100001	8404002	0|30|3	100001	8405002	20|20|7	100001	8406005	20|0|6	100001
