Id	Name	Order	IsShow	PicturePath	FurnitureId[1]	FurniturePos[1]	FurnitureId[2]	FurniturePos[2]	FurnitureId[3]	FurniturePos[3]	FurnitureId[4]	FurniturePos[4]	FurnitureId[5]	FurniturePos[5]	FurnitureId[6]	FurniturePos[6]	FurnitureId[7]	FurniturePos[7]	FurnitureId[8]	FurniturePos[8]	FurnitureId[9]	FurniturePos[9]	FurnitureId[10]	FurniturePos[10]	FurnitureId[11]	FurniturePos[11]	FurnitureId[12]	FurniturePos[12]	FurnitureId[13]	FurniturePos[13]	FurnitureId[14]	FurniturePos[14]	FurnitureId[15]	FurniturePos[15]	FurnitureId[16]	FurniturePos[16]	FurnitureId[17]	FurniturePos[17]	FurnitureId[18]	FurniturePos[18]	FurnitureId[19]	FurniturePos[19]	FurnitureId[20]	FurniturePos[20]	FurnitureId[21]	FurniturePos[21]	FurnitureId[22]	FurniturePos[22]	FurnitureId[23]	FurniturePos[23]	FurnitureId[24]	FurniturePos[24]	FurnitureId[25]	FurniturePos[25]	FurnitureId[26]	FurniturePos[26]	FurnitureId[27]	FurniturePos[27]	FurnitureId[28]	FurniturePos[28]	FurnitureId[29]	FurniturePos[29]	FurnitureId[30]	FurniturePos[30]	FurnitureId[31]	FurniturePos[31]	FurnitureId[32]	FurniturePos[32]	FurnitureId[33]	FurniturePos[33]	FurnitureId[34]	FurniturePos[34]	FurnitureId[35]	FurniturePos[35]	FurnitureId[36]	FurniturePos[36]	FurnitureId[37]	FurniturePos[37]	FurnitureId[38]	FurniturePos[38]	FurnitureId[39]	FurniturePos[39]	FurnitureId[40]	FurniturePos[40]	FurnitureId[41]	FurniturePos[41]	FurnitureId[42]	FurniturePos[42]	FurnitureId[43]	FurniturePos[43]	FurnitureId[44]	FurniturePos[44]	FurnitureId[45]	FurniturePos[45]	FurnitureId[46]	FurniturePos[46]	FurnitureId[47]	FurniturePos[47]	FurnitureId[48]	FurniturePos[48]	FurnitureId[49]	FurniturePos[49]	FurnitureId[50]	FurniturePos[50]	FurnitureId[51]	FurniturePos[51]	FurnitureId[52]	FurniturePos[52]	FurnitureId[53]	FurniturePos[53]	FurnitureId[54]	FurniturePos[54]	FurnitureId[55]	FurniturePos[55]	FurnitureId[56]	FurniturePos[56]	FurnitureId[57]	FurniturePos[57]	FurnitureId[58]	FurniturePos[58]	FurnitureId[59]	FurniturePos[59]	FurnitureId[60]	FurniturePos[60]	FurnitureId[61]	FurniturePos[61]	FurnitureId[62]	FurniturePos[62]	FurnitureId[63]	FurniturePos[63]	FurnitureId[64]	FurniturePos[64]	FurnitureId[65]	FurniturePos[65]	FurnitureId[66]	FurniturePos[66]	FurnitureId[67]	FurniturePos[67]	FurnitureId[68]	FurniturePos[68]	FurnitureId[69]	FurniturePos[69]	FurnitureId[70]	FurniturePos[70]	FurnitureId[71]	FurniturePos[71]	FurnitureId[72]	FurniturePos[72]	FurnitureId[73]	FurniturePos[73]	FurnitureId[74]	FurniturePos[74]	FurnitureId[75]	FurniturePos[75]	FurnitureId[76]	FurniturePos[76]	FurnitureId[77]	FurniturePos[77]	FurnitureId[78]	FurniturePos[78]	FurnitureId[79]	FurniturePos[79]	FurnitureId[80]	FurniturePos[80]	FurnitureId[81]	FurniturePos[81]	FurnitureId[82]	FurniturePos[82]	FurnitureId[83]	FurniturePos[83]	FurnitureId[84]	FurniturePos[84]	FurnitureId[85]	FurniturePos[85]	FurnitureId[86]	FurniturePos[86]	FurnitureId[87]	FurniturePos[87]	FurnitureId[88]	FurniturePos[88]	FurnitureId[89]	FurniturePos[89]	FurnitureId[90]	FurniturePos[90]	FurnitureId[91]	FurniturePos[91]	FurnitureId[92]	FurniturePos[92]	FurnitureId[93]	FurniturePos[93]	FurnitureId[94]	FurniturePos[94]	FurnitureId[95]	FurniturePos[95]	FurnitureId[96]	FurniturePos[96]	FurnitureId[97]	FurniturePos[97]	FurnitureId[98]	FurniturePos[98]	FurnitureId[99]	FurniturePos[99]	FurnitureId[100]	FurniturePos[100]	FurnitureId[101]	FurniturePos[101]	FurnitureId[102]	FurniturePos[102]	FurnitureId[103]	FurniturePos[103]	FurnitureId[104]	FurniturePos[104]	FurnitureId[105]	FurniturePos[105]	FurnitureId[106]	FurniturePos[106]	FurnitureId[107]	FurniturePos[107]	FurnitureId[108]	FurniturePos[108]	FurnitureId[109]	FurniturePos[109]	FurnitureId[110]	FurniturePos[110]	FurnitureId[111]	FurniturePos[111]	FurnitureId[112]	FurniturePos[112]	FurnitureId[113]	FurniturePos[113]	FurnitureId[114]	FurniturePos[114]	FurnitureId[115]	FurniturePos[115]	FurnitureId[116]	FurniturePos[116]	FurnitureId[117]	FurniturePos[117]	FurnitureId[118]	FurniturePos[118]	FurnitureId[119]	FurniturePos[119]	FurnitureId[120]	FurniturePos[120]	FurnitureId[121]	FurniturePos[121]	FurnitureId[122]	FurniturePos[122]	FurnitureId[123]	FurniturePos[123]	FurnitureId[124]	FurniturePos[124]	FurnitureId[125]	FurniturePos[125]	FurnitureId[126]	FurniturePos[126]	FurnitureId[127]	FurniturePos[127]	FurnitureId[128]	FurniturePos[128]	FurnitureId[129]	FurniturePos[129]	FurnitureId[130]	FurniturePos[130]	FurnitureId[131]	FurniturePos[131]	FurnitureId[132]	FurniturePos[132]	FurnitureId[133]	FurniturePos[133]	FurnitureId[134]	FurniturePos[134]	FurnitureId[135]	FurniturePos[135]	FurnitureId[136]	FurniturePos[136]	FurnitureId[137]	FurniturePos[137]	FurnitureId[138]	FurniturePos[138]	FurnitureId[139]	FurniturePos[139]	FurnitureId[140]	FurniturePos[140]	FurnitureId[141]	FurniturePos[141]	FurnitureId[142]	FurniturePos[142]	FurnitureId[143]	FurniturePos[143]	FurnitureId[144]	FurniturePos[144]	FurnitureId[145]	FurniturePos[145]	FurnitureId[146]	FurniturePos[146]	FurnitureId[147]	FurniturePos[147]	FurnitureId[148]	FurniturePos[148]	FurnitureId[149]	FurniturePos[149]	FurnitureId[150]	FurniturePos[150]	FurnitureId[151]	FurniturePos[151]	FurnitureId[152]	FurniturePos[152]	FurnitureId[153]	FurniturePos[153]	FurnitureId[154]	FurniturePos[154]	FurnitureId[155]	FurniturePos[155]	FurnitureId[156]	FurniturePos[156]	FurnitureId[157]	FurniturePos[157]	FurnitureId[158]	FurniturePos[158]	FurnitureId[159]	FurniturePos[159]	FurnitureId[160]	FurniturePos[160]	FurnitureId[161]	FurniturePos[161]	FurnitureId[162]	FurniturePos[162]	FurnitureId[163]	FurniturePos[163]	FurnitureId[164]	FurniturePos[164]	FurnitureId[165]	FurniturePos[165]	FurnitureId[166]	FurniturePos[166]	FurnitureId[167]	FurniturePos[167]	FurnitureId[168]	FurniturePos[168]	FurnitureId[169]	FurniturePos[169]	FurnitureId[170]	FurniturePos[170]	FurnitureId[171]	FurniturePos[171]	FurnitureId[172]	FurniturePos[172]	FurnitureId[173]	FurniturePos[173]	FurnitureId[174]	FurniturePos[174]	FurnitureId[175]	FurniturePos[175]	FurnitureId[176]	FurniturePos[176]	FurnitureId[177]	FurniturePos[177]	FurnitureId[178]	FurniturePos[178]	FurnitureId[179]	FurniturePos[179]	FurnitureId[180]	FurniturePos[180]	FurnitureId[181]	FurniturePos[181]	FurnitureId[182]	FurniturePos[182]	FurnitureId[183]	FurniturePos[183]	FurnitureId[184]	FurniturePos[184]	FurnitureId[185]	FurniturePos[185]	FurnitureId[186]	FurniturePos[186]	FurnitureId[187]	FurniturePos[187]	FurnitureId[188]	FurniturePos[188]	FurnitureId[189]	FurniturePos[189]	FurnitureId[190]	FurniturePos[190]	FurnitureId[191]	FurniturePos[191]	FurnitureId[192]	FurniturePos[192]	FurnitureId[193]	FurniturePos[193]	FurnitureId[194]	FurniturePos[194]	FurnitureId[195]	FurniturePos[195]	FurnitureId[196]	FurniturePos[196]	FurnitureId[197]	FurniturePos[197]	FurnitureId[198]	FurniturePos[198]	FurnitureId[199]	FurniturePos[199]	FurnitureId[200]	FurniturePos[200]
20	Empty Dormitory	20	0	Assets/Product/Texture/Image/IconDorm/2108.png	8101004	0|0|0	8301004	0|0|0	8201004	0|0|0																																																																																																																																																																																																																																																																																																																																																																																																										
201	Cafe	201	1	Assets/Product/Texture/Image/IconDorm/201.png	8612002	16|6|0	8612002	15|6|2	8612002	35|6|0	8404001	20|1|2	8612002	5|6|3	8612002	35|6|3	8511001	31|1|0	8406001	9|36|0	8407003	3|21|1	8508001	6|25|1	8612001	3|5|1	8612001	12|5|2	8201003	0|0|0	8612004	10|5|1	8301003	0|0|0	8101003	0|0|0	8407004	13|2|2	8407004	5|3|1	8511001	34|26|2	8511001	1|2|0	8511001	16|36|1	8612003	18|0|3	8612003	19|0|0	8612003	22|0|2	8407003	11|21|1	8508001	9|22|3	8508001	14|28|1	8407002	30|32|0	8407002	20|32|0	8508001	9|28|3	8508001	14|25|1	8407002	24|26|0	8612002	8|6|2	8508005	28|33|3	8407001	27|9|1	8612017	32|0|1	8508005	25|34|1	8508005	22|28|3	8508001	1|25|3	8508001	1|22|3	8508001	6|28|1	8508001	6|22|1	8508001	1|28|3	8508005	30|28|1	8406001	2|36|0	8508001	9|25|3	8508005	35|32|1	8508005	18|34|3	8511002	22|6|0	8508001	14|22|1																																																																																																																																																																																																																																																																																																												
202	Christmas Cabin	202	1	Assets/Product/Texture/Image/IconDorm/202.png	8511026	12|18|0	8511026	20|23|0	8101007	0|0|0	8407010	31|15|0	8508008	15|32|0	8511026	20|13|0	8511027	15|35|1	8511028	17|18|1	8511025	0|36|0	8404005	1|10|0	8406010	28|36|1	8406010	23|36|1	8406009	35|0|2	8405004	0|29|0	8508007	0|25|0	8511026	23|18|0	8510006	15|0|3	8612022	27|4|3	8612023	21|4|1	8612024	19|5|2	8511027	0|22|0	8612025	11|0|3	8612023	12|4|1	8612026	21|4|3	8612025	3|0|3	8406010	33|36|1	8612025	28|0|2	8201007	0|0|0	8612022	8|3|1	8612022	24|3|1	8612022	23|4|2	8612022	14|4|2	8612022	33|4|3	8511026	14|13|0	8511026	13|24|1	8301007	0|0|0																																																																																																																																																																																																																																																																																																																																								
203	Chess Game	203	1	Assets/Product/Texture/Image/IconDorm/203.png	8700006	25|0|3	8700006	32|0|3	8700007	0|25|2	8700007	0|9|2	8700008	7|5|0	8700008	28|5|0	8700009	7|30|2	8700009	28|30|2	8700010	19|30|2	8700011	10|30|2	8700012	13|30|2	8700015	25|30|2	8700021	13|5|0	8700014	16|30|2	8700016	22|5|0	8700017	19|5|0	8700018	10|5|0	8700019	25|5|0	8700013	22|30|2	8700023	27|2|2	8700023	21|2|2	8700023	16|3|1	8700020	16|5|0	8700022	16|3|0	8700022	29|3|0	8700022	31|3|3	8700022	3|3|3	8700001	0|0|0	8700002	0|0|0	8700003	0|0|0	8700004	2|17|0	8700005	30|17|3																																																																																																																																																																																																																																																																																																																																																
204	Cyberpunk	204	1	Assets/Product/Texture/Image/IconDorm/204.png	8101005	0|0|0	8301005	0|0|0	8612012	17|1|0	8612012	15|1|3	8612017	0|4|1	8612013	17|4|2	8406006	31|0|2	8407006	15|0|2	8508005	30|5|1	8508005	30|8|1	8508005	18|4|0	8508004	8|0|2	8612010	22|3|3	8612010	18|3|3	8612010	26|3|2	8612010	29|3|2	8612016	25|2|1	8612016	6|2|0	8612014	9|5|1	8612009	8|8|2	8612009	25|8|3	8201005	0|0|0	8612009	14|8|2	8511006	6|0|1	8406007	0|33|3	8405003	10|31|2	8407007	26|0|1	8404003	22|34|0	8406007	0|27|3	8404003	34|26|1	8612009	31|8|3	8612015	9|4|2																																																																																																																																																																																																																																																																																																																																																
205	Sakura Romance	205	1	Assets/Product/Texture/Image/IconDorm/205.png	8407009	30|5|0	8511012	32|27|1	8612019	19|2|2	8101006	0|0|0	8301006	0|0|0	8201006	0|0|0	8612020	11|0|2	8508006	33|11|0	8511008	6|0|0	8612021	6|5|1	8612018	25|0|1	8406008	0|20|3	8511009	3|27|2	8511010	11|24|1	8511011	11|2|0	8407008	16|25|2																																																																																																																																																																																																																																																																																																																																																																																
206	Teatime	206	1	Assets/Product/Texture/Image/IconDorm/206.png	8511038	0|14|0	8508010	13|16|3	8407012	9|2|0	8508010	15|3|2	8405005	30|6|1	8508011	31|3|1	8406011	0|30|0	8510007	23|1|3	8511037	20|1|0	8511038	0|4|0	8508010	29|24|1	8508010	0|26|0	8407013	5|30|0	8511039	21|34|0	8511040	11|34|1	8404008	25|33|1	8101008	0|0|0	8201008	0|0|0	8301008	0|0|0	8612027	19|0|0	8612027	29|0|3	8612027	8|0|1	8612027	9|0|0	8406011	30|0|3	8612027	28|0|2	8612027	18|0|2	8612027	18|0|1	8612027	29|0|0	8612027	19|0|3	8612027	28|0|1	8508010	5|3|0	8612029	21|4|3	8508010	29|16|3	8612030	25|3|3	8612027	8|0|2	8508010	21|16|3	8508010	13|24|1	8511038	34|34|0	8508010	0|22|0	8612030	24|3|1	8508010	21|24|1	8612030	24|3|2	8612030	10|3|0	8612030	25|3|0	8612030	20|3|0	8407012	28|19|0	8407012	12|19|0	8612030	9|3|1	8407012	20|19|0	8612030	9|3|2	8612030	14|3|2	8511039	9|34|0	8511038	0|24|0																																																																																																																																																																																																																																																																																																						
207	Snowy Church	207	1	Assets/Product/Texture/Image/IconDorm/207.png	8404009	24|26|1	8404009	24|21|1	8508013	36|10|2	8508013	28|16|1	8406012	28|36|1	8406012	3|37|1	8301009	0|0|0	8101010	0|0|0	8201009	0|0|0	8404009	24|31|1	8405006	17|14|0	8508012	4|15|3	8511042	24|14|0	8511044	2|8|3	8511045	29|4|1	8511046	3|31|0	8612031	33|0|2	8612031	6|0|1	8612031	16|0|3	8612031	22|0|3	8612031	12|0|1	8612031	18|0|1	8612031	28|0|3	8612031	0|0|2	8612033	10|3|3	8612033	13|3|3	8612032	24|3|1	8612034	13|0|2	8612034	13|0|0	8511046	34|19|0	8511046	34|31|0	8511046	3|19|0	8511045	2|4|3	8511043	16|2|1	8404009	5|31|1	8404009	5|21|1	8404009	5|26|1																																																																																																																																																																																																																																																																																																																																						
208	Island Holiday	208	1	Assets/Product/Texture/Image/IconDorm/208.png	8800003	0|0|0	8800004	0|0|0	8800005	35|13|2	8800006	16|18|0	8800006	27|18|0	8800007	3|0|2	8800007	7|0|1	8800008	30|1|3	8800001	12|32|2	8800010	35|2|2	8800011	5|4|3	8800012	15|4|0	8800012	29|4|0	8800012	1|4|0	8800013	21|19|2	8800013	24|19|0	8800013	28|15|3	8800013	13|19|0	8800013	28|23|1	8800008	30|2|2	8800013	17|15|3	8800013	32|19|2	8800014	28|5|1	8800014	33|5|1	8800015	15|3|2	8800013	17|23|1	8800009	5|2|0	8800002	0|0|0																																																																																																																																																																																																																																																																																																																																																								
209	Frost Cottage	209	1	Assets/Product/Texture/Image/IconDorm/209.png	8900016	17|6|1	8900007	2|0|2	8900007	22|0|2	8900013	31|5|1	8900013	5|5|1	8900013	23|5|3	8900013	14|5|0	8900010	25|26|0	8900005	0|5|3	8900005	0|33|3	8900015	25|0|1	8900001	21|15|1	8900002	0|0|0	8900003	0|0|0	8900004	0|0|0	8900006	0|28|1	8900007	18|0|0	8900008	16|5|3	8900009	27|17|0	8900010	24|8|2	8900011	0|14|1	8900012	4|30|0	8900013	12|5|3	8900014	0|16|0	8900015	9|0|1																																																																																																																																																																																																																																																																																																																																																														
