Id	EventId	NeedDecoration	StepId	NextStepId	Type	StageId	StepRewardItemId	StepRewardItemCount	StoryId	OptionDesc[1]	OptionDownDesc[1]	OptionIcon[1]	OptionType[1]	OptionItemId[1]	OptionItemCount[1]	OptionNextStepId[1]	OptionNeedDecoration[1]	OptionDesc[2]	OptionDownDesc[2]	OptionIcon[2]	OptionType[2]	OptionItemId[2]	OptionItemCount[2]	OptionNextStepId[2]	OptionNeedDecoration[2]	OptionDesc[3]	OptionDownDesc[3]	OptionIcon[3]	OptionType[3]	OptionItemId[3]	OptionItemCount[3]	OptionNextStepId[3]	OptionNeedDecoration[3]	OptionDesc[4]	OptionDownDesc[4]	OptionIcon[4]	OptionType[4]	OptionItemId[4]	OptionItemCount[4]	OptionNextStepId[4]	OptionNeedDecoration[4]	Title	TitleContent	RoleIcon	RoleName	RoleContent	EventDesc	ConfirmContent	BgAsset
1	101		10101		2					Find a place to rest			3			10102																										Place to Sleep	Something Mysterious Is About to Happen				Night falls. Humidity rises from the ground. And the air feels cold. The entire forest seems to be deprived of light. Strange shadows bend their bodies into different shapes, silently dissolving into the darkness. Howls of wolves and bears seem to be coming from a distance. There is still a long way to go. And it seems you have to find a place for the night before you can move on after the sun rises and lights the way.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
2	101		10102		2					On the huge tree with a spider web			3			10103		On the short tree that is easier to climb			3			10104																		Place to Sleep	Something Mysterious Is About to Happen				You think for a moment and decide to stay here for the night.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
3	101		10103		1																																					Place to Sleep	Something Mysterious Is About to Happen				You fall into a deep sleep. The three spiders on the web are weaving your dream. You dream of fire, crying, endless fields of flowers, a hovering dragon, a girl standing on a balcony up high... And now you wake up in the morning sunlight. The road ahead feels just as unpredictable as the dream you had.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
4	101		10104		5	30061911																																				Place to Sleep	Something Mysterious Is About to Happen				You grab the lowest branch of the tree, but the tree suddenly starts to shake violently right when you begin to climb...	Prepare for Battle	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
5	102		10201		2					Go ahead			3			10202																										Campfire					A white-gray smoke rises above the forest. You decide to go in the direction of the smoke.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
6	102		10202		2					Go through the ashes			3			10203		Stay and wait			3			10204		Move on			3			10205										Campfire					There are only campfire remnants and ashes. There are no people or other living beings around. Looking at the remnants and ashes, you...	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
7	102		10203		4		96110	1																																		Campfire					You pick up a branch and start to go through the remnants and ashes. There are some burnt bones that you can't tell their original shape. You move away a broken bone and find a bright gem in the ashes.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
8	102		10204		5	30061910																																				Campfire					You sit down by the extinguished campfire, hoping someone will come back here. Time passes through the branches of the trees and casts a spell that gently closes your eyes. And the moment you open your eyes, sparks are flying out from the campfire...	Prepare for Battle	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
9	102		10205		1																																					Campfire					You move forward carefully in the opposite direction from where you came from and away from the campfire, but there is still no traces of other people. Fortunately, you come across a bush full of winter strawberries.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
10	103		10301		2					Follow the guidance of the feather			3			10302		Follow the direction of the sunrise			3			10303																		Flower and Feather					You wander around in the forest. You listen to the sound of the wind. You travel after sunrise and rest after sunset. You gargle with the sweet stream water and eat the fruits on the trees. Gradually, you master the survival skills in the forest but also lose your way.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
11	103		10302		1																																					Flower and Feather					You pick up a feather dropped from some kind of gray bird and figure out the direction to go through divination. Following the guidance of the feather, you arrive at the source of the water. You move forward along the stream.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
12	103		10303		1																																					Flower and Feather					Based on some shallow knowledge that appears in your mind, you decide to determine a direction to go. You walk slowly in the direction of the sunrise.	Next	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
13	104		10401		2					Hand out the gem	Item %s required		2	96110	1	10402		I can be a helper on board			3			10406		Be honest and ask for help			3			10407										Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	This is not a toy ship bound for Debussy's Joyous Island.	After a brief talk, you tell the sailor that you want to join their voyage to the distant kingdom. The sailor's description of the city capital is exactly what you remember about Naples. However, you search all your pockets and can't find any money.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
14	104		10402	10403	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	You...	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
15	104		10403	10404	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Where did you get this?	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
16	104		10404	10405	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Do you know a traveler with purple eyes?	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
17	104		10405		1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Nothing... Forget it.	The sailor looks at you. He says something, but it doesn't answer your question. He agrees to let you get on the ship but refuses to take the gem.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
18	104		10406		1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		The sailor gives you a glance with a faint smile without saying anything. He allows you to get on board but doesn't respond to your proposal.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
19	104		10407	10408	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor		The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
20	104		10408	10409	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	Have you seen a dragon before?	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
21	104		10409	10410	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	We haven't seen a dragon for a very long time.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
22	104		10410	10411	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	'The dragon comes with the pipe music.'	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
23	104		10411	10412	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	But at the very beginning, the dragon came without warning.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
24	104		10412	10413	1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	The only thing we knew was it always targeted at a crowd.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Talk	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
25	104		10413		1																																					Board		Assets/Product/Texture/Image/RoleStory/YufunanNormal01.png	Sailor	It would bring the crowd from the ground and let them fall from above. It attacked villages and people, destroying everything in its sight.	The sailor looks at you as if he recalls a distant memory. He allows you to board without saying anything.	Next	Assets/Product/Texture/Image/BgStory/Bgstory537.jpg
