Id	PowerId	Lv	UpgradeCost	RewardType[1]	RewardParam[1]	RewardType[2]	RewardParam[2]	RewardDesc
1	1	0	100					Reward Description 0
2	1	1	150	5	101			Unlock Impressionism Work: Pelleas et Melisande
3	1	2	200	2	20			Unlock Impressionism Skill: Color Combination
4	1	3	250	3	2			All Impressionism main abilities have higher initial ranks.
5	1	4	300	2	26			Unlock Impressionism Skill: Subjective Depiction
6	1	5	350	2	22			Unlock Impressionism Skill: Instant Impression
7	1	6	400	4	1			All Impressionism main abilities will have their effects improved upon each level up.
8	1	7	450	2	19			Unlock Impressionism Skill: Color Perception
9	1	8	500	2	21			Unlock Impressionism Skill: Color Expansion
10	1	9	550	1	550018			Obtain Neume x200
11	1	10	0	1	550019			Obtain Neume x200
12	2	0	100					Reward Description 0
13	2	1	150	5	102			Unlock Nationalism Work: I Lombardi
14	2	2	200	2	47			Unlock Nationalism Skill: Structure Enhancement
15	2	3	250	3	2			All Nationalism main abilities have higher initial ranks.
16	2	4	300	2	52			Unlock Nationalism Skill: Consensus
17	2	5	350	2	48			Unlock Nationalism Skill: Imagined Community
18	2	6	400	4	1			All Nationalism main abilities will have their effects improved upon each level up.
19	2	7	450	2	45			Unlock Nationalism Skill: United Will
20	2	8	500	2	49			Unlock Nationalism Skill: Self-Determination
21	2	9	550	1	550020			Obtain Neume x200
22	2	10	0	1	550021			Obtain Neume x200
23	3	0	100					Reward Description 0
24	3	1	150	5	103			Unlock Realism Work: Madama Butterfly
25	3	2	200	2	72			Unlock Realism Skill: Natural Beauty
26	3	3	250	3	2			All Realism main abilities have higher initial ranks.
27	3	4	300	2	75			Unlock Realism Skill: True Nature
28	3	5	350	2	73			Unlock Realism Skill: Touch of Nature
29	3	6	400	4	1			All Realism main abilities will have their effects doubled upon each level up.
30	3	7	450	2	71			Unlock Realism Skill: Portrayal of Collapse
31	3	8	500	2	74			Unlock Realism Skill: Natural Integrity
32	3	9	550	1	550022			Obtain Neume x200
33	3	10	0	1	550023			Obtain Neume x200
34	4	0	100					Reward Description 0
35	4	1	150	5	104			Unlock Romanticism Work: Der Ring Des Nibelungen
36	4	2	200	2	99			Unlock Romanticism Skill: Depiction of History
37	4	3	250	3	2			All Romanticism main abilities have higher initial ranks.
38	4	4	300	2	98			Unlock Romanticism Skill: Enlightenment Rebound
39	4	5	350	2	103			Unlock Romanticism Skill: Fabulous Depiction
40	4	6	400	4	1			All Romanticism main abilities will have their effects doubled upon each level up.
41	4	7	450	2	97			Unlock Romanticism Skill: Outburst of Passion
42	4	8	500	2	100			Unlock Romanticism Skill: Intuitive Imagination
43	4	9	550	1	550024			Obtain Neume x200
44	4	10	0	1	550025			Obtain Neume x200
45	5	0	100					Reward Description 0
46	5	1	150	5	105			Unlock Expressionism Work: Salome
47	5	2	200	2	125			Unlock Expressionism Skill: Revelation of Evil
48	5	3	250	3	2			All Expressionism main abilities have higher initial ranks.
49	5	4	300	2	124			Unlock Expressionism Skill: Wild Expression
50	5	5	350	2	127			Unlock Expressionism Skill: Silent Monologue
51	5	6	400	4	1			All Expressionism main abilities will have their effects doubled upon each level up.
52	5	7	450	2	123			Unlock Expressionism Skill: Moment of Abandonment
53	5	8	500	2	126			Unlock Expressionism Skill: Twisted Reality
54	5	9	550	1	550026			Obtain Neume x200
55	5	10	0	1	550027			Obtain Neume x200
56	6	0	100					Reward Description 0
57	6	1	150	5	106			Unlock Classicism Work: Don Giovanni
58	6	2	200	2	151			Unlock Classicism Skill: Creation Specification
59	6	3	250	3	2			All Classicism main abilities have higher initial ranks.
60	6	4	300	2	150			Unlock Classicism Skill: Compromised Absorption
61	6	5	350	2	152			Unlock Classicism Skill: Pure Metamorphosis
62	6	6	400	4	1			All Classicism main abilities will have their effects doubled upon each level up.
63	6	7	450	2	149			Unlock Classicism Skill: Support for Centralization
64	6	8	500	2	153			Unlock Classicism Skill: Historical Reference
65	6	9	550	1	550028			Obtain Neume x200
66	6	10	0	1	550029			Obtain Neume x200
67	7	0	100					Reward Description 0
68	7	1	150	5	107			Unlock Baroque Work: L'incoronazione di Poppea
69	7	2	200	2	179			Unlock Baroque Skill: Space Enhancement
70	7	3	250	3	2			All Baroque main abilities have higher initial ranks.
71	7	4	300	2	176			Unlock Baroque Skill: Soul Vibration
72	7	5	350	2	178			Unlock Baroque Skill: Passion Overload
73	7	6	400	4	1			All Baroque main abilities will have their effects doubled upon each level up.
74	7	7	450	2	175			Unlock Baroque Skill: Passionate Creation
75	7	8	500	2	177			Unlock Baroque Skill: Rebellious Spirit
76	7	9	550	1	550030			Obtain Neume x200
77	7	10	0	1	550031			Obtain Neume x200
