Id	ChapterId	NodeId	IsRandom	Type[1]	Param[1]	Type[2]	Param[2]	Type[3]	Param[3]	MaxRandom	LvExpect	LvWeight	SkillExpect	SkillWeight	DecorationExpect	DecorationWeight	FavorExpect	FavorWeight
1	1	1	1								20	0	3	4500	1	600	0	300
2	1	1	0	1	102						0	0	0	0	0	0	0	0
3	1	1	1								20	0	3	4500	1	600	0	300
4	1	1	1								20	0	3	4500	1	600	0	300
5	1	1	1								20	0	3	4500	1	600	0	300
6	1	1	1								20	0	3	4500	1	600	0	300
7	1	1	0	1	101						0	0	0	0	0	0	0	0
8	1	1	0	2	1						20	0	3	4500	1	600	0	300
9	1	1	0	3	15					1	20	0	4	4500	1	600	0	300
10	1	1	0	1	103						0	0	0	0	0	0	0	0
11	2	2	0	1	104						0	0	0	0	0	0	0	0
12	2	2	0	1	105						0	0	0	0	0	0	0	0
13	2	2	0	6	ZX02406BA						0	0	0	0	0	0	0	0
14	2	2	0	1	107						0	0	0	0	0	0	0	0
15	2	2	0	6	ZX02411BA						0	0	0	0	0	0	0	0
16	2	2	1								40	0	7	4500	1	600	1	300
17	2	2	0	6	ZX02409BA						0	0	0	0	0	0	0	0
18	2	2	1								40	0	7	4500	1	600	1	300
19	2	2	1								40	0	7	4500	1	600	1	300
20	2	2	1								40	0	7	4500	1	600	1	300
21	2	2	1								40	0	7	4500	1	600	1	300
22	2	2	1								40	0	7	4500	1	600	1	300
23	2	2	0	2	2						40	0	7	4500	1	600	1	300
24	2	2	0	6	ZX02409EA						0	0	0	0	0	0	0	0
25	2	2	0	3	30					1	40	0	8	4500	1	600	1	300
26	3	3	0	1	108						0	0	0	0	0	0	0	0
27	3	3	0	6	ZX02410BA						0	0	0	0	0	0	0	0
28	3	3	1								60	0	10	4500	1	600	1	300
29	3	3	1								60	0	10	4500	1	600	1	300
30	3	3	1								60	0	10	4500	1	600	1	300
31	3	3	1								60	0	10	4500	1	600	1	300
32	3	3	1								60	0	10	4500	1	600	1	300
33	3	3	0	2	3						60	0	10	4500	1	600	1	300
34	3	3	0	3	44					1	60	0	11	4500	1	600	1	300
35	3	3	0	6	ZX02401BA						0	0	0	0	0	0	0	0
36	3	3	0	5	45						60	0	11	4500	1	600	1	300
37	4	1	1								20	0	3	4500	1	600	0	300
38	4	1	1								20	0	3	4500	1	600	0	300
39	4	1	0	1	201						0	0	0	0	0	0	0	0
40	4	1	1								20	0	3	4500	1	600	0	300
41	4	1	1								20	0	3	4500	1	600	0	300
42	4	1	0	1	202						0	0	0	0	0	0	0	0
43	4	1	1								20	0	3	4500	1	600	0	300
44	4	1	0	2	1						20	0	3	4500	1	600	0	300
45	4	1	0	3	60					1	20	0	4	4500	1	600	0	300
46	4	1	0	1	203						0	0	0	0	0	0	0	0
47	5	2	0	1	204						0	0	0	0	0	0	0	0
48	5	2	0	1	205						0	0	0	0	0	0	0	0
49	5	2	0	6	ZX02407BB						0	0	0	0	0	0	0	0
50	5	2	0	1	207						0	0	0	0	0	0	0	0
51	5	2	0	6	ZX02411BB						0	0	0	0	0	0	0	0
52	5	2	1								40	0	7	4500	1	600	1	300
53	5	2	1								40	0	7	4500	1	600	1	300
54	5	2	1								40	0	7	4500	1	600	1	300
55	5	2	1								40	0	7	4500	1	600	1	300
56	5	2	1								40	0	7	4500	1	600	1	300
57	5	2	1								40	0	7	4500	1	600	1	300
