Id	RoleId	Lv	RobotId	FightAbility
1	1001	5	121001	1794
2	1001	20	121003	2621
3	1001	40	121005	3525
4	1001	60	121007	4698
5	1001	80	121009	5918
6	1002	5	121011	1794
7	1002	20	121013	2621
8	1002	40	121015	3525
9	1002	60	121017	4698
10	1002	80	121019	5918
11	1003	5	121021	1794
12	1003	20	121023	2621
13	1003	40	121025	3525
14	1003	60	121027	4698
15	1003	80	121029	5918
16	1004	5	121091	1794
17	1004	20	121093	2621
18	1004	40	121095	3525
19	1004	60	121097	4698
20	1004	80	121099	5918
21	1005	5	121151	1794
22	1005	20	121153	2621
23	1005	40	121155	3525
24	1005	60	121157	4698
25	1005	80	121159	5918
26	1006	5	121211	1794
27	1006	20	121213	2621
28	1006	40	121215	3525
29	1006	60	121217	4698
30	1006	80	121219	5918
31	1007	5	121041	1794
32	1007	20	121043	2621
33	1007	40	121045	3525
34	1007	60	121047	4698
35	1007	80	121049	5918
36	1008	5	121181	1794
37	1008	20	121183	2621
38	1008	40	121185	3525
39	1008	60	121187	4698
40	1008	80	121189	5918
41	1009	5	121071	1794
42	1009	20	121073	2621
43	1009	40	121075	3525
44	1009	60	121077	4698
45	1009	80	121079	5918
46	1010	5	121131	1794
47	1010	20	121133	2621
48	1010	40	121135	3525
49	1010	60	121137	4698
50	1010	80	121139	5918
51	1011	5	121081	1794
52	1011	20	121083	2621
53	1011	40	121085	3525
54	1011	60	121087	4698
55	1011	80	121089	5918
56	1012	5	121161	1794
57	1012	20	121163	2621
58	1012	40	121165	3525
59	1012	60	121167	4698
60	1012	80	121169	5918
61	1013	5	121251	1794
62	1013	20	121253	2621
63	1013	40	121255	3525
64	1013	60	121257	4698
65	1013	80	121259	5918
66	1014	5	121311	1794
67	1014	20	121313	2621
68	1014	40	121315	3525
69	1014	60	121317	4698
70	1014	80	121319	5918
71	1015	5	121321	1794
72	1015	20	121323	2621
73	1015	40	121325	3525
74	1015	60	121327	4698
75	1015	80	121329	5918
76	1016	5	121331	1794
77	1016	20	121333	2621
78	1016	40	121335	3525
79	1016	60	121337	4698
80	1016	80	121339	5918
81	1017	5	121341	1794
82	1017	20	121343	2621
83	1017	40	121345	3525
84	1017	60	121347	4698
85	1017	80	121349	5918
86	1018	5	121051	1794
87	1018	20	121053	2621
88	1018	40	121055	3525
89	1018	60	121057	4698
90	1018	80	121059	5918
91	1019	5	121141	1794
92	1019	20	121143	2621
93	1019	40	121145	3525
94	1019	60	121147	4698
95	1019	80	121149	5918
96	1020	5	121061	1794
97	1020	20	121063	2621
98	1020	40	121065	3525
99	1020	60	121067	4698
100	1020	80	121069	5918
101	1021	5	121121	1794
102	1021	20	121123	2621
103	1021	40	121125	3525
104	1021	60	121127	4698
105	1021	80	121129	5918
106	1022	5	121171	1794
107	1022	20	121173	2621
108	1022	40	121175	3525
109	1022	60	121177	4698
110	1022	80	121179	5918
111	1023	5	121201	1794
112	1023	20	121203	2621
113	1023	40	121205	3525
114	1023	60	121207	4698
115	1023	80	121209	5918
116	1025	5	121271	1794
117	1025	20	121273	2621
118	1025	40	121275	3525
119	1025	60	121277	4698
120	1025	80	121279	5918
121	1026	5	121291	1794
122	1026	20	121293	2621
123	1026	40	121295	3525
124	1026	60	121297	4698
125	1026	80	121299	5918
126	1027	5	121231	1794
127	1027	20	121233	2621
128	1027	40	121235	3525
129	1027	60	121237	4698
130	1027	80	121239	5918
131	1028	5	121241	1794
132	1028	20	121243	2621
133	1028	40	121245	3525
134	1028	60	121247	4698
135	1028	80	121249	5918
136	1029	5	121281	1794
137	1029	20	121283	2621
138	1029	40	121285	3525
139	1029	60	121287	4698
140	1029	80	121289	5918
141	1030	5	121031	1794
142	1030	20	121033	2621
143	1030	40	121035	3525
144	1030	60	121037	4698
145	1030	80	121039	5918
146	1031	5	121101	1794
147	1031	20	121103	2621
148	1031	40	121105	3525
149	1031	60	121107	4698
150	1031	80	121109	5918
151	1032	5	121111	1794
152	1032	20	121113	2621
153	1032	40	121115	3525
154	1032	60	121117	4698
155	1032	80	121119	5918
156	1033	5	121301	1794
157	1033	20	121303	2621
158	1033	40	121305	3525
159	1033	60	121307	4698
160	1033	80	121309	5918
161	1034	5	121221	1794
162	1034	20	121223	2621
163	1034	40	121225	3525
164	1034	60	121227	4698
165	1034	80	121229	5918
166	1035	5	121261	1794
167	1035	20	121263	2621
168	1035	40	121265	3525
169	1035	60	121267	4698
170	1035	80	121269	5918
171	1036	5	121191	1794
172	1036	20	121193	2621
173	1036	40	121195	3525
174	1036	60	121197	4698
175	1036	80	121199	5918
176	1037	5	121351	1794
177	1037	20	121353	2621
178	1037	40	121355	3525
179	1037	60	121357	4698
180	1037	80	121359	5918
