Id	PowerExpect[1]	PowerExpect[2]	PowerExpect[3]	PowerExpect[4]	PowerExpect[5]	PowerExpect[6]	PowerExpect[7]	PowerBasicWeight	LvExpect[1]	LvExpect[2]	LvExpect[3]	LvExpect[4]	SkillBasicWeight
1	5	5	5	5	5	5	5	1000	5	5	5	5	100
2	5	5	5	5	5	5	5	1000	10	10	10	10	100
3	5	5	5	5	5	5	5	1000	10	10	10	10	100
4	5	5	5	5	5	5	5	1000	5	5	5	5	100
5	5	5	5	5	5	5	5	1000	10	10	10	10	100
6	5	5	5	5	5	5	5	1000	10	10	10	10	100
7	5	5	5	5	5	5	5	1000	15	15	15	15	100
8	5	5	5	5	5	5	5	1000	15	15	15	15	100
9	5	5	5	5	5	5	5	1000	5	5	5	5	100
10	5	5	5	5	5	5	5	1000	10	10	10	10	100
11	5	5	5	5	5	5	5	1000	10	10	10	10	100
12	5	5	5	5	5	5	5	1000	15	15	15	15	100
13	5	5	5	5	5	5	5	1000	15	15	15	15	100
14	5	5	5	5	5	5	5	1000	18	18	18	18	100
15	5	5	5	5	5	5	5	1000	5	5	5	5	100
16	5	5	5	5	5	5	5	1000	10	10	10	10	100
17	5	5	5	5	5	5	5	1000	10	10	10	10	100
18	5	5	5	5	5	5	5	1000	15	15	15	15	100
19	5	5	5	5	5	5	5	1000	15	15	15	15	100
20	5	5	5	5	5	5	5	1000	18	18	18	18	100
21	5	5	5	5	5	5	5	1000	5	5	5	5	100
22	5	5	5	5	5	5	5	1000	10	10	10	10	100
23	5	5	5	5	5	5	5	1000	10	10	10	10	100
24	5	5	5	5	5	5	5	1000	15	15	15	15	100
25	5	5	5	5	5	5	5	1000	15	15	15	15	100
26	5	5	5	5	5	5	5	1000	18	18	18	18	100
