Id	ModelPath	LowModelPath	ControllerPath
Mb1BengyuehtMd010001	Assets/Product/Role/DlcCharacterPrefab/Mb1BengyuehtMd010001.prefab		Assets/Product/Role/Animation/Mb1BengyuehtMd010001/Mb1BengyuehtMd010001/Mb1BengyuehtMd010001.controller
Mb1JueanhtMd010001	Assets/Product/Role/DlcCharacterPrefab/Mb1JueanhtMd010001.prefab		Assets/Product/Role/Animation/Mb1JueanhtMd010001/Mb1JueanhtMd010001/Mb1JueanhtMd010001.controller
Me1ToudanniaohtMd000001	Assets/Product/Role/DlcCharacterPrefab/Me1ToudanniaohtMd000001.prefab		Assets/Product/Role/Animation/Me1ToudanniaohtMd000001/Me1ToudanniaohtMd000001/Me1ToudanniaohtMd000001.controller
Mo1ChongzhuanghtMd010001	Assets/Product/Role/DlcCharacterPrefab/Mo1ChongzhuanghtMd010001.prefab		Assets/Product/Role/Animation/Mo1ChongzhuanghtMd010001/Mo1ChongzhuanghtMd010001/Mo1ChongzhuanghtMd010001.controller
Mo1XiulijigongMd000001	Assets/Product/Role/DlcCharacterPrefab/Mo1XiulijigongMd000001.prefab		Assets/Product/Role/Animation/Mo1XiulijigongMd000001/Mo1XiulijigongMd000001/Mo1XiulijigongMd000001.controller
R1LifuMd010011	Assets/Product/Role/DlcCharacterPrefab/R1LifuMd010011.prefab		Assets/Product/Role/Animation/R1LifuMd010011/R1LifuMd010011/R1LifuMd010011.controller
R1LuxiyaMd010011	Assets/Product/Role/DlcCharacterPrefab/R1LuxiyaMd010011.prefab		Assets/Product/Role/Animation/R1LuxiyaMd010011/R1LuxiyaMd010011/R1LuxiyaMd010011.controller
R1LuxiyaMd010011Cgs	Assets/Product/Role/DlcCharacterPrefab/R1LuxiyaMd010011Cgs.prefab		
R1LuxiyaMd010011RM	Assets/Product/Role/DlcCharacterPrefab/R1LuxiyaMd010011RM.prefab	Assets/Product/Role/DlcCharacterPrefab/R1LuxiyaMd010011RMLow.prefab	Assets/Product/Role/Animation/R1LuxiyaMd010011RM/R1LuxiyaMd010011RM/R1LuxiyaMd010011RM.controller
R2KalieninaMd010031RM	Assets/Product/Role/DlcCharacterPrefab/R2KalieninaMd010031RM.prefab		Assets/Product/Role/Animation/R2KalieninaMd010031RM/R2KalieninaMd010031RM/R2KalieninaMd010031RM.controller
R2ShenweiMd010011	Assets/Product/Role/DlcCharacterPrefab/R2ShenweiMd010011.prefab		Assets/Product/Role/Animation/R2ShenweiMd010011/R2ShenweiMd010011/R2ShenweiMd010011.controller
R3BiankaMd010031RM	Assets/Product/Role/DlcCharacterPrefab/R3BiankaMd010031RM.prefab		Assets/Product/Role/Animation/R3BiankaMd010031RM/R3BiankaMd010031RM/R3BiankaMd010031RM.controller
S1BiankaMd010031RM	Assets/Product/Role/DlcCharacterPrefab/S1BiankaMd010031RM.prefab		
S1LuxiyaMd010011RM	Assets/Product/Role/DlcCharacterPrefab/S1LuxiyaMd010011RM.prefab		
S1R2KalieninaMd010031RM	Assets/Product/Role/DlcCharacterPrefab/S1R2KalieninaMd010031RM.prefab		
S1SpearMd010011RM	Assets/Product/Role/DlcCharacterPrefab/S1SpearMd010011RM.prefab		
S1SpearMd010031RM	Assets/Product/Role/DlcCharacterPrefab/S1SpearMd010031RM.prefab		
S1SpearR2KalieninaMd010001	Assets/Product/Role/DlcCharacterPrefab/S1SpearR2KalieninaMd010001.prefab		
