Id	ModelPath	LowModelPath	ControllerPath
E3BowMd080001P04	Assets/Product/Role/DlcEquipPrefab/E3BowMd080001P04.prefab		
E3SleeveMd070011	Assets/Product/Role/DlcEquipPrefab/E3SleeveMd070011.prefab		
E3SwordMd070011	Assets/Product/Role/DlcEquipPrefab/E3SwordMd070011.prefab		
Mb1JueanhtDroneMd010001	Assets/Product/Role/DlcEquipPrefab/Mb1JueanhtDroneMd010001.prefab		Assets/Product/Role/DlcEquipAnimation/Mb1JueanhtDroneMd010001/Mb1JueanhtDroneMd010001/Mb1JueanhtDroneMd010001.controller
Mb1JueanhtMissleaMd010001	Assets/Product/Role/DlcEquipPrefab/Mb1JueanhtMissleaMd010001.prefab		Assets/Product/Role/DlcEquipAnimation/Mb1JueanhtMissleaMd010001/Mb1JueanhtMissleaMd010001/Mb1JueanhtMissleaMd010001.controller
Mb1JueanhtMisslebMd010001	Assets/Product/Role/DlcEquipPrefab/Mb1JueanhtMisslebMd010001.prefab		Assets/Product/Role/DlcEquipAnimation/Mb1JueanhtMisslebMd010001/Mb1JueanhtMisslebMd010001/Mb1JueanhtMisslebMd010001.controller
S1BiankaMd010031RM	Assets/Product/Role/DlcEquipPrefab/S1BiankaMd010031RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1BiankaMd010031RM/S1BiankaMd010031RM/S1BiankaMd010031RM.controller
S1LuxiyaMd010011RM	Assets/Product/Role/DlcEquipPrefab/S1LuxiyaMd010011RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1LuxiyaMd010011RM/S1LuxiyaMd010011RM/S1LuxiyaMd010011RM.controller
S1R2KalieninaMd010031RM	Assets/Product/Role/DlcEquipPrefab/S1R2KalieninaMd010031RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1R2KalieninaMd010031RM/S1R2KalieninaMd010031RM/S1R2KalieninaMd010031RM.controller
S1SpearMd010011RM	Assets/Product/Role/DlcEquipPrefab/S1SpearMd010011RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1SpearMd010011RM/S1SpearMd010011RM/S1SpearMd010011RM.controller
S1SpearMd010031RM	Assets/Product/Role/DlcEquipPrefab/S1SpearMd010031RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1SpearMd010031RM/S1SpearMd010031RM/S1SpearMd010031RM.controller
S1SpearR2KalieninaMd010001	Assets/Product/Role/DlcEquipPrefab/S1SpearR2KalieninaMd010001.prefab		
