Id	CharacterId	State	BehaviorId
1	1011002	IDLE	
2	1011003	IDLE	
3	1021001	IDLE	
4	1021002	IDLE	
5	1021003	IDLE	
6	1021004	IDLE	
7	1031001	IDLE	
8	1031002	IDLE	
9	1031003	IDLE	
10	1031004	IDLE	
11	1041002	IDLE	
12	1041003	IDLE	
13	1051001	IDLE	
14	1051003	IDLE	
15	1051004	IDLE	
16	1061002	IDLE	
17	1061003	IDLE	
18	1071002	IDLE	
19	1071003	IDLE	
20	1071004	IDLE	
21	1081002	IDLE	
22	1081003	IDLE	
23	1091002	IDLE	
24	1111002	IDLE	
25	1121002	IDLE	
26	1121003	IDLE	
27	1131002	IDLE	
28	1131003	IDLE	
29	1141003	IDLE	
30	1161002	IDLE	
31	1171003	IDLE	
32	1181003	IDLE	
33	1191003	IDLE	
34	1201003	IDLE	
35	1211002	IDLE	
36	1221002	IDLE	
37	1511003	IDLE	
38	1521003	IDLE	
39	1531003	IDLE	
40	1531004	IDLE	
41	1541003	IDLE	
42	1551003	IDLE	
43	1561003	IDLE	
44	1071004	IDLE	
45	1571003	IDLE	
46	1041004	IDLE	
