Id	ThemeId	FurnitureId
1	1	1
2	1	2
3	1	3
4	1	4
5	1	5
6	1	6
7	1	7
8	1	8
9	1	9
10	1	10
11	1	11
12	1	12
13	1	13
14	1	14
15	1	15
16	1	16
17	1	17
18	1	18
19	1	19
20	1	20
21	1	21
22	1	22
23	1	23
24	1	24
25	1	25
26	1	26
27	1	27
28	1	28
29	1	29
30	1	30
31	1	31
32	1	32
33	1	33
34	1	34
35	1	35
36	1	36
37	1	37
1000	2	1000
1001	2	1001
1002	2	1002
1003	2	1003
1004	2	1004
1005	2	1005
1006	2	1006
1007	2	1007
1008	2	1008
1009	2	1009
1010	2	1010
1011	2	1011
1012	2	1012
1013	2	1013
1014	2	1014
1015	2	1015
1016	2	1016
1017	2	1017
1018	2	1018
1019	2	1019
1020	2	1020
1021	2	1021
1022	2	1022
1023	2	1023
1024	2	1024
1025	2	1025
1026	2	1026
1027	2	1027
1028	2	1028
2000	3	2000
2001	3	2001
2002	3	2002
2003	3	2003
2004	3	2004
2005	3	2005
2006	3	2006
2007	3	2007
2008	3	2008
2009	3	2009
2010	3	2010
2011	3	2011
2012	3	2012
2013	3	2013
2014	3	2014
