Id	NpcId	InitPos	ThemeId	RefreshTimeId	InteractName	IdleBehaviorId	TalkBehaviorId	AnimControllerPath	ColliderRadius
1	10201	NpcPosLuxiya	2		Lucia	SummerNpc_Luxiya_Idle	SummerNpc_Luxiya_Talk	Assets/Product/Role/Room/Animation/QR4LuxiyaMd010011/QR4LuxiyaMd010011/QR4LuxiyaMd010011GuildDormNpc.controller	0.8
2	10202	NpcPosLifu	2		Liv	SummerNpc_Lifu_Idle	SummerNpc_Lifu_Talk	Assets/Product/Role/Room/Animation/QR1LifuMd010011/QR1LifuMd010011/QR1LifuMd010011GuildDormNpc.controller	0.8
3	10203	NpcPosNuoan	2		Noan	SummerNpc_Nuoan_Idle	SummerNpc_Nuoan_Talk	Assets/Product/Role/Room/Animation/QR2NuoanMd010011/QR2NuoanMd010011/QR2NuoanMd010011GuildDormNpc.controller	0.8
4	10204	NpcPosWanshi	2		Wanshi	SummerNpc_Wanshi_Idle	SummerNpc_Wanshi_Talk	Assets/Product/Role/Room/Animation/QR2WanshiMd010011/QR2WanshiMd010011/QR2WanshiMd010011GuildDormNpc.controller	0.8
5	10205	NpcPosBianka	2		Bianca	SummerNpc_Bianka_Idle	SummerNpc_Bianka_Talk	Assets/Product/Role/Room/Animation/QR3BiankaMd010011/QR3BiankaMd010011/QR3BiankaMd010011GuildDormNpc.controller	0.8
6	10206	NpcPosPulao	2		Pulao	SummerNpc_Pulao_Idle	SummerNpc_Pulao_Talk	Assets/Product/Role/Room/Animation/QR2PulaoMd010011/QR2PulaoMd010011/QR2PulaoMd010011GuildDormNpc.controller	0.8
7	10207	NpcPosWeila	2		Vera	SummerNpc_Weila_Idle	SummerNpc_Weila_Talk	Assets/Product/Role/Room/Animation/QR3WeilaMd010011/QR3WeilaMd010011/QR3WeilaMd010011GuildDormNpc.controller	0.8
8	10208	NpcPosSailinna	2		Selena	SummerNpc_Sailinna_Idle	SummerNpc_Sailinna_Talk	Assets/Product/Role/Room/Animation/QR3SailinnaMd010011/QR3SailinnaMd010011/QR3SailinnaMd010011GuildDormNpc.controller	0.8
9	10209	NpcPosKuluomu	2		Chrome	SummerNpc_Kuluomu_Idle	SummerNpc_Kuluomu_Talk	Assets/Product/Role/Room/Animation/QR3KuluomuMd010011/QR3KuluomuMd010011/QR3KuluomuMd010011GuildDormNpc.controller	0.8
10	10210	NpcPosLi	2		Lee	SummerNpc_Li_Idle	SummerNpc_Li_Talk	Assets/Product/Role/Room/Animation/QR3LiangMd010011/QR3LiangMd010011/QR3LiangMd010011GuildDorm.controller	0.8
11	10201	NpcPosLuxiya1	3		Lucia	SummerNpc_Luxiya_Idle	SummerNpc_Luxiya_Talk	Assets/Product/Role/Room/Animation/QR4LuxiyaMd010011/QR4LuxiyaMd010011/QR4LuxiyaMd010011GuildDormNpc.controller	0.8
12	10202	NpcPosLifu1	3		Liv	SummerNpc_Lifu_Idle	SummerNpc_Lifu_Talk	Assets/Product/Role/Room/Animation/QR1LifuMd010011/QR1LifuMd010011/QR1LifuMd010011GuildDormNpc.controller	0.8
13	10203	NpcPosNuoan1	3		Noan	SummerNpc_Nuoan_Idle	SummerNpc_Nuoan_Talk	Assets/Product/Role/Room/Animation/QR2NuoanMd010011/QR2NuoanMd010011/QR2NuoanMd010011GuildDormNpc.controller	0.8
14	10204	NpcPosWanshi1	3		Wanshi	SummerNpc_Wanshi_Idle	SummerNpc_Wanshi_Talk	Assets/Product/Role/Room/Animation/QR2WanshiMd010011/QR2WanshiMd010011/QR2WanshiMd010011GuildDormNpc.controller	0.8
15	10205	NpcPosBianka1	3		Bianca	SummerNpc_Bianka_Idle	SummerNpc_Bianka_Talk	Assets/Product/Role/Room/Animation/QR3BiankaMd010011/QR3BiankaMd010011/QR3BiankaMd010011GuildDormNpc.controller	0.8
16	10206	NpcPosPulao1	3		Pulao	SummerNpc_Pulao_Idle	SummerNpc_Pulao_Talk	Assets/Product/Role/Room/Animation/QR2PulaoMd010011/QR2PulaoMd010011/QR2PulaoMd010011GuildDormNpc.controller	0.8
17	10207	NpcPosWeila1	3		Vera	SummerNpc_Weila_Idle	SummerNpc_Weila_Talk	Assets/Product/Role/Room/Animation/QR3WeilaMd010011/QR3WeilaMd010011/QR3WeilaMd010011GuildDormNpc.controller	0.8
18	10208	NpcPosSailinna1	3		Selena	SummerNpc_Sailinna_Idle	SummerNpc_Sailinna_Talk	Assets/Product/Role/Room/Animation/QR3SailinnaMd010011/QR3SailinnaMd010011/QR3SailinnaMd010011GuildDormNpc.controller	0.8
19	10209	NpcPosKuluomu1	3		Chrome	SummerNpc_Kuluomu_Idle	SummerNpc_Kuluomu_Talk	Assets/Product/Role/Room/Animation/QR3KuluomuMd010011/QR3KuluomuMd010011/QR3KuluomuMd010011GuildDormNpc.controller	0.8
20	10210	NpcPosLi1	3		Lee	SummerNpc_Li_Idle	SummerNpc_Li_Talk	Assets/Product/Role/Room/Animation/QR3LiangMd010011/QR3LiangMd010011/QR3LiangMd010011GuildDorm.controller	0.8
21	10201	NpcPosLuxiya1	3		Lucia	SummerNpc_Luxiya_Idle	SummerNpc_Luxiya_Talk	Assets/Product/Role/Room/Animation/QR4LuxiyaMd010011/QR4LuxiyaMd010011/QR4LuxiyaMd010011GuildDormNpc.controller	0.8
22	10202	NpcPosLifu1	3		Liv	SummerNpc_Lifu_Idle	SummerNpc_Lifu_Talk	Assets/Product/Role/Room/Animation/QR1LifuMd010011/QR1LifuMd010011/QR1LifuMd010011GuildDormNpc.controller	0.8
23	10203	NpcPosNuoan1	3		Noan	SummerNpc_Nuoan_Idle	SummerNpc_Nuoan_Talk	Assets/Product/Role/Room/Animation/QR2NuoanMd010011/QR2NuoanMd010011/QR2NuoanMd010011GuildDormNpc.controller	0.8
24	10204	NpcPosWanshi1	3		Wanshi	SummerNpc_Wanshi_Idle	SummerNpc_Wanshi_Talk	Assets/Product/Role/Room/Animation/QR2WanshiMd010011/QR2WanshiMd010011/QR2WanshiMd010011GuildDormNpc.controller	0.8
25	10205	NpcPosBianka1	3		Bianca	SummerNpc_Bianka_Idle	SummerNpc_Bianka_Talk	Assets/Product/Role/Room/Animation/QR3BiankaMd010011/QR3BiankaMd010011/QR3BiankaMd010011GuildDormNpc.controller	0.8
26	10206	NpcPosPulao1	3		Pulao	SummerNpc_Pulao_Idle	SummerNpc_Pulao_Talk	Assets/Product/Role/Room/Animation/QR2PulaoMd010011/QR2PulaoMd010011/QR2PulaoMd010011GuildDormNpc.controller	0.8
27	10207	NpcPosWeila1	3		Vera	SummerNpc_Weila_Idle	SummerNpc_Weila_Talk	Assets/Product/Role/Room/Animation/QR3WeilaMd010011/QR3WeilaMd010011/QR3WeilaMd010011GuildDormNpc.controller	0.8
28	10208	NpcPosSailinna1	3		Selena	SummerNpc_Sailinna_Idle	SummerNpc_Sailinna_Talk	Assets/Product/Role/Room/Animation/QR3SailinnaMd010011/QR3SailinnaMd010011/QR3SailinnaMd010011GuildDormNpc.controller	0.8
29	10209	NpcPosKuluomu1	3		Chrome	SummerNpc_Kuluomu_Idle	SummerNpc_Kuluomu_Talk	Assets/Product/Role/Room/Animation/QR3KuluomuMd010011/QR3KuluomuMd010011/QR3KuluomuMd010011GuildDormNpc.controller	0.8
30	10210	NpcPosLi1	3		Lee	SummerNpc_Li_Idle	SummerNpc_Li_Talk	Assets/Product/Role/Room/Animation/QR3LiangMd010011/QR3LiangMd010011/QR3LiangMd010011GuildDorm.controller	0.8
31	10300	NpcPosSailika	3		Celica	CommonNpc_Sailika_Idle	CommonNpc_Sailika_Talk	Assets/Product/Role/Room/Animation/QR1SailikaMd010011/QR1SailikaMd010011/QR1SailikaMd010011GuildDormNpc.controller	0.8
32	10301	NpcPosLuxiya	3	15411	Lucia	SpringNpc_Luxiya_Idle	SpringNpc_Luxiya_Talk	Assets/Product/Role/Room/Animation/QR4LuxiyaMd010011/QR4LuxiyaMd010011/QR4LuxiyaMd010011GuildDormNpc.controller	0.8
33	10302	NpcPosLi	3	15412	Lee	SpringNpc_Li_Idle	SpringNpc_Li_Talk	Assets/Product/Role/Room/Animation/QR4LiangMd010011/QR4LiangMd010011/QR4LiangMd010011GuildDormNpc.controller	0.8
34	10303	NpcPosLifu	3	15413	Liv	SpringNpc_Lifu_Idle	SpringNpc_Lifu_Talk	Assets/Product/Role/Room/Animation/QR1LifuMd010011/QR1LifuMd010011/QR1LifuMd010011GuildDormNpc.controller	0.8
35	10305	NpcPosBianka	3	15415	Bianca	SpringNpc_Bianka_Idle	SpringNpc_Bianka_Talk	Assets/Product/Role/Room/Animation/QR3BiankaMd010011/QR3BiankaMd010011/QR3BiankaMd010011GuildDormNpc.controller	0.8
36	10306	NpcPosPulao	3	15416	Pulao	SpringNpc_Pulao_Idle	SpringNpc_Pulao_Talk	Assets/Product/Role/Room/Animation/QR2PulaoMd010011/QR2PulaoMd010011/QR2PulaoMd010011GuildDormNpc.controller	0.8
37	10307	NpcPosSufeiya	3	15417	Sophia	SpringNpc_Sufeiya_Idle	SpringNpc_Sufeiya_Talk	Assets/Product/Role/Room/Animation/QR2SufeiyaMd010011/QR2SufeiyaMd010011/QR2SufeiyaMd010011GuildDormNpc.controller	0.8
