Id	CharacterId	Name
10201	1021004	<color=#50F1FF>Lucia: Plume</color>
10202	1031001	<color=#50F1FF>Liv: Eclipse</color>
10203	1571003	<color=#50F1FF>Noan: Arca</color>
10204	1211002	<color=#50F1FF>Wanshi: Hypnos</color>
10205	1041003	<color=#50F1FF>Bianca: Veritas</color>
10206	1551003	<color=#50F1FF>Pulao: Dragontoll</color>
10207	1131003	<color=#50F1FF>Vera: Garnet</color>
10208	1531003	<color=#50F1FF>Selena: Tempest</color>
10209	1121003	<color=#50F1FF>Chrome: Glory</color>
10210	1011003	<color=#50F1FF>Lee: Entropy</color>
10300	1000000	<color=#50F1FF>Celica</color>
10301	1021004	<color=#50F1FF>Lucia: Plume</color>
10302	1011004	<color=#50F1FF>Lee: Hyperreal</color>
10303	1031001	<color=#50F1FF>Liv: Eclipse</color>
10305	1041003	<color=#50F1FF>Bianca: Veritas</color>
10306	1551003	<color=#50F1FF>Pulao: Dragontoll</color>
10307	1111002	<color=#50F1FF>Sophia: Silverfang</color>
