ChapterId	ChapterName	ChapterEn	OpenTimeStr	Bg	Cover	OrderId	GroupId[1]	GroupId[2]	GroupId[3]	GroupId[4]	GroupId[5]	GroupId[6]	GroupId[7]	GroupId[8]	GroupId[9]	GroupId[10]	GroupId[11]	GroupId[12]	GroupId[13]	GroupId[14]	GroupId[15]	GroupId[16]	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	PrefabName	ActivityCondition
1001	1	City 015 Outer		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner01.png	1	101	102	103														700					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh01.prefab	30405
1002	2	City 015 Center		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner02.png	2	201	202	203														710					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh02.prefab	30405
1003	3	Estate Museum		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner03.png	3	301	302	303														720					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh03.prefab	30405
1004	4	North African Desert		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner04.png	4	401	402	403														730					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh04.prefab	30405
1005	5	M.I.N.D. Test Area		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner05.png	5	501	502	503														740					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh05.prefab	30405
1006	6	Mediterranean Factory		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner06.png	6	601	602	603														750					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh06.prefab	30405
1007	7	Underground Ruins		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner07.png	7	701	702	703														760					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh07.prefab	30405
1008	8	Sicilian Energy Station		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner08.png	8	801	802	803														770					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh08.prefab	30405
1009	9	International Space Station		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner09.png	9	901	902	903														780					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh08.prefab	30405
1010	10	Asslam		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner10.png	10	1001	1002	1003														790					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1011	11	The Nighter		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner11.png	11	1101	1102	1103														800					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1012	12	Kowloong Metropolis		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner12.png	12	1201	1202	1203														810					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1013	13	City 075		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner13.png	13	1301	1302	1303														820					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1014	14	Underground Waterway		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner14.png	14	1401	1402	1403														830					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1015	15	Atlantis		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner15.png	15	1501	1502	1503														840					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1016	16	Church Square		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner16.png	16	1601	1602	1603														850					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1017	17	WGAA Stage		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner17.png	17	1701	1702	1703														860					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
1018	18	"Gray Tower" Core		UiFubenMainMapTab.ChapterBg01A	Assets/Product/Texture/Image/UiFubenJudianBanner/UiFubenJudianBanner18.png	18	1801	1802	1803														870					Assets/Product/Ui/ComponentPrefab/FuBenStrongSh/FuBenStrongSh11.prefab	30405
