GroupId	GroupName	Icon	Desc	PreGroupId	ChallengeNum	BaseStage	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	FightInfoId[1]	FightInfoId[2]	FightInfoId[3]	FightInfoId[4]	FightInfoId[5]	TeamFightSeq	LogisticsInfoId[1]	LogisticsInfoId[2]	LogisticsInfoId[3]	GroupOrderId
101	1st		Description		3	12010102	12010101	12010102				12010101	12010102				1|2				1
102	2nd		Description	101	3	12010202	12010201	12010202				12010201	12010202				1|2				2
103	3rd		Description	102	3	12010302	12010301	12010302				12010301	12010302				1|2				3
201	1st		Description	103	3	12020103	12020101	12020102	12020103			12020101	12020102	12020103			1|2|3				1
202	2nd		Description	201	3	12020203	12020201	12020202	12020203			12020201	12020202	12020203			1|2|3				2
203	3rd		Description	202	3	12020303	12020301	12020302	12020303			12020301	12020302	12020303			1|2|3				3
301	1st		Description	203	3	12030103	12030101	12030102	12030103			12030101	12030102	12030103			1|2|3				1
302	2nd		Description	301	3	12030203	12030201	12030202	12030203			12030201	12030202	12030203			1|2|3				2
303	3rd		Description	302	3	12030303	12030301	12030302	12030303			12030301	12030302	12030303			1|2|3				3
401	1st		Description	303	3	12040103	12040101	12040102	12040103			12040101	12040102	12040103			1|2|3				1
402	2nd		Description	401	3	12040203	12040201	12040202	12040203			12040201	12040202	12040203			1|2|3				2
403	3rd		Description	402	3	12040303	12040301	12040302	12040303			12040301	12040302	12040303			1|2|3				3
501	1st		Description	403	3	12050103	12050101	12050102	12050103			12050101	12050102	12050103			1|2|3				1
502	2nd		Description	501	3	12050203	12050201	12050202	12050203			12050201	12050202	12050203			1|2|3				2
503	3rd		Description	502	3	12050303	12050301	12050302	12050303			12050301	12050302	12050303			1|2|3				3
601	1st		Description	503	3	12060103	12060101	12060102	12060103			12060101	12060102	12060103			1|2|3				1
602	2nd		Description	601	3	12060203	12060201	12060202	12060203			12060201	12060202	12060203			1|2|3				2
603	3rd		Description	602	3	12060303	12060301	12060302	12060303			12060301	12060302	12060303			1|2|3				3
701	1st		Description	603	3	12070103	12070101	12070102	12070103			12070101	12070102	12070103			1|2|3				1
702	2nd		Description	701	3	12070203	12070201	12070202	12070203			12070201	12070202	12070203			1|2|3				2
703	3rd		Description	702	3	12070303	12070301	12070302	12070303			12070301	12070302	12070303			1|2|3				3
801	1st		Description	703	3	12080103	12080101	12080102	12080103			12080101	12080102	12080103			1|2|3				1
802	2nd		Description	801	3	12080203	12080201	12080202	12080203			12080201	12080202	12080203			1|2|3				2
803	3rd		Description	802	3	12080303	12080301	12080302	12080303			12080301	12080302	12080303			1|2|3				3
901	1st		Description	803	3	12090103	12090101	12090102	12090103			12090101	12090102	12090103			1|2|3				1
902	2nd		Description	901	3	12090203	12090201	12090202	12090203			12090201	12090202	12090203			1|2|3				2
903	3rd		Description	902	3	12090303	12090301	12090302	12090303			12090301	12090302	12090303			1|2|3				3
1001	1st		Description	903	3	12100104	12100101	12100102	12100103	12100104		12100101	12100102	12100103	12100104		1|2|3|4				1
1002	2nd		Description	1001	3	12100204	12100201	12100202	12100203	12100204		12100201	12100202	12100203	12100204		1|2|3|4				2
1003	3rd		Description	1002	3	12100304	12100301	12100302	12100303	12100304		12100301	12100302	12100303	12100304		1|2|3|4				3
1101	1st		Description	1003	3	12110104	12110101	12110102	12110103	12110104		12110101	12110102	12110103	12110104		1|2|3|4				1
1102	2nd		Description	1101	3	12110204	12110201	12110202	12110203	12110204		12110201	12110202	12110203	12110204		1|2|3|4				2
1103	3rd		Description	1102	3	12110304	12110301	12110302	12110303	12110304		12110301	12110302	12110303	12110304		1|2|3|4				3
