Id	MissileId	BornPosition	BornHeight	OffsetX	OffsetY	OffsetZ	BornCoordinates	DestinationPosition	DestinationHeight	DestinationOffsetX	DestinationOffsetY	DestinationOffsetZ	DestinationCoordinates	Rotation	EulerX	EulerY	EulerZ	RotationLimit	RotationLimitCoordinates	TransformOrder	LaunchBoneName
10020101	10020101	1	1	0	2	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020104	10020104	1	1	0	0	5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10020201	10020201	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020202	10020202	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020205	10020205	1	1	-0.3	1.7	-0.5	1	2	2	0	0	0	1	1	-50	310	0	0	1	1	
10020301	10020301	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020303	10020303	1	1	-0.3	1.7	-0.5	1	2	2	0	0	0	1	1	-50	310	0	0	1	1	
10020401	10020401	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020403	10020403	1	1	-0.3	1.7	-0.5	1	2	2	0	0	0	1	1	-50	310	0	0	1	1	
10020501	10020501	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020502	10020502	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020505	10020505	1	1	-0.3	1.7	-0.5	1	2	2	0	0	0	1	1	-50	310	0	0	1	1	
10020601	10020601	1	1	0	0	0	1	1	2	0	0	0	1	1	90	0	0	0	1	1	
10020603	10020603	1	1	-0.3	1.7	-0.5	1	2	2	0	0	0	1	1	-50	310	0	0	1	1	
10020701	10020701	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020801	10020801	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020802	10020802	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020901	10020901	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10020902	10020902	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021001	10021001	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021002	10021002	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021003	10021003	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021004	10021004	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021101	10021101	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021102	10021102	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021201	10021201	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021202	10021202	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021203	10021203	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021204	10021204	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021304	10021304	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021501	10021501	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021502	10021502	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021504	10021504	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021505	10021505	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021601	10021601	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021602	10021602	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10021603	10021603	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10022101	10022101	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10022103	10022103	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10022201	10022201	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10022203	10022203	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10022301	10022301	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10022303	10022303	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10022401	10022401	1	1	0	0	0	1	1	2	0	2	0	1	1	0	0	0	0	1	1	
10022402	10022402	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10022501	10022501	1	1	0	0	0	1	1	2	0	2	0	1	1	0	0	0	0	1	1	
10022502	10022502	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10022601	10022601	1	1	0	0	0	1	1	2	0	2	0	1	1	0	0	0	0	1	1	
10022602	10022602	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10022711	10022711	1	1	0.2	-0.3	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10022805	10022805	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10022808	10022808	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10022903	10022903	2	2	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10023201	10023201	1	1	0	0	0	1	1	2	0	0	1	1	1	0	0	0	0	1	1	
10023202	10023202	1	1	0	0	0	1	1	2	0	0	1	1	1	0	0	0	0	1	1	
10023301	10023301	1	1	0	0	0	1	1	2	0	0	1	1	1	0	0	0	0	1	1	
10023302	10023302	1	1	0	0	0	1	1	2	0	0	1	1	1	0	0	0	0	1	1	
10023401	10023401	1	1	0	0	0	1	1	2	0	0	1	1	1	0	0	0	0	1	1	
10023402	10023402	1	1	0	0	0	1	1	2	0	0	1	1	1	0	0	0	0	1	1	
10023501	10023501	1	1	-0.8	0.2	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10023502	10023502	1	1	-0.8	0.2	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10023503	10023503	1	1	-0.8	0.2	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase2
10023504	10023504	1	1	-0.8	0.2	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase2
10023601	10023601	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10023602	10023602	1	1	0.8	0.8	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase2
10023603	10023603	1	1	0.8	0.8	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase2
10023604	10023604	1	1	-0.8	0.5	0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase1
10023605	10023605	1	1	-0.8	0.5	0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase1
10023610	10023610	1	1	0.4	1.1	0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase1
10023611	10023611	1	1	0.4	1.1	0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase1
10024005	10024005	2	2	0	0	0	1	2	4	0	0	0	1	1	0	0	0	0	1	1	
10024104	10024104	1	1	0.2	-0.3	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024205	10024205	1	1	0	0	0	1	1	2	0	0	0	1	1	270	0	0	0	1	1	
10024301	10024301	1	1	-1.5	1.7	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024302	10024302	1	1	-1.1	1.2	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024303	10024303	1	1	0	0	0	1	2	2	0	0	0	1	1	0	0	0	0	1	1	WeaponCase1
10024304	10024304	1	1	0	-0.3	0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024305	10024305	1	1	0.1	-0.3	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024306	10024306	1	1	0.5	-0.8	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024307	10024307	1	1	0.9	-1.3	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024401	10023501	1	1	-0.3	1.7	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024402	10023501	1	1	-0.7	1.2	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024403	10023501	1	1	-1.1	0.7	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024404	10023501	1	1	0.3	1.7	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024405	10023501	1	1	0.7	1.2	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024406	10023501	1	1	1.1	0.7	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024407	10023501	1	1	-0.3	1.7	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024408	10023501	1	1	-0.7	1.2	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024409	10023501	1	1	-1.1	0.7	-0.5	1	2	2	0	0	0	1	1	0	0	0	0	1	1	
10024801	10024801	1	1	0	-1	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024802	10024802	1	1	0	-1	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024803	10024803	1	1	0	-1	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024804	10024804	1	1	0	-1	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024805	10024805	1	1	0	-1	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024806	10024806	1	1	0	-1	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024807	10024807	1	1	0	-1	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024901	10024901	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024902	10024902	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024903	10024903	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024904	10024904	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024905	10024905	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024906	10024906	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10024907	10024907	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025001	10025001	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025002	10025002	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025003	10025003	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025004	10025004	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025005	10025005	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025006	10025006	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025007	10025007	1	1	0	0	2	1	2	2	0	0	0	1	1	45	0	0	0	1	1	
10025103	10025103	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10025104	10025104	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10025105	10025105	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
10025106	10025106	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	0	1	1	
