Id	Prefab	ScriptId	BgmId	AmbientSound	PositionX	PositionY	PositionZ	RotationY	VictoryShowPosX	VictoryShowPosY	VictoryShowPosZ	VictoryShowRotY
1	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				0	0	0	0	0	0	0	0
2	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				0	0	0	0	0	0	0	0
3	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				0	0	0	0	0	0	0	0
4	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				0	0	0	0	0	0	0	0
5	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				13	2	-13	90	0	0	0	0
6	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				16.6	4	-118.6	-90	0	0	0	0
7	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				0	0	0	0	0	0	0	0
8	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				0	0	0	0	0	0	0	0
9	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab				0	0	0	0	0	0	0	0
10	Assets/Product/Scene/DlcScenePrefab/SceneMHW-StagePrototype1.prefab	10			-48	-46.58132	18.4	35	-48	-46.58132	18.4	35
12	Assets/Product/Scene/DlcScenePrefab/SceneHunt02.prefab	12			13	2	-13	90	-54	5.837	-126	90
13	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	13	196		64	2	13	0	64	2	13	0
14	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	14	196		64	2	13	0	64	2	13	0
15	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	15	197		64	2	13	0	64	2	13	0
16	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	14	196		64	2	13	0	64	2	13	0
8000	Assets/Product/Scene/DlcScenePrefab/SceneMHW-StagePrototype1.prefab	8000			0	0	0	0	0	0	0	0
8002	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	8002			64	2	38	0	64	2	38	0
8003	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab				64	2	38	0	64	2	38	0
9000	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	9000	196		64	2	13	0	61	3	6	0
9001	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	9001			64	2	13	0	61	3	6	0
9002	Assets/Product/Scene/DlcScenePrefab/SceneHunt02.prefab	9002			16.6	4	-118.6	-90	-54	5.837	-126	90
9012	Assets/Product/Scene/DlcScenePrefab/SceneHunt02.prefab	9012			13	2	-13	90	-54	5.837	-126	90
9015	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab	9015			64	2	13	0	64	2	13	0
