Id	NewScheme	DefaultDistance	DefaultOffset	DefaultMinDistance	DefaultMaxDistance	MaxDistance	FocusMinDistance	FocusMaxDistance	DefaultHeight	HeightOffset	MinHeight	MaxHeight	FocusHeight	DeadZoneDefaultAngleY	DeadZoneDefaultAngleX	DefaultResetRatationYCoe	DefaultResetAngleXCoe	MinVerticalAngle	MaxVerticalAngle	FocusMaxAngle	RotationSpeed	DefaultResetAngleTime	DollyInCoefficient	DollyOutCoefficient	HeightUpCoefficient	HeightDownCoefficient	DefaultMovementCoefficient	DefaultRotationCoefficient	FocusMovementCoefficient	HorizontalDragSensitivity	VerticalDragSensitivity	MaxHorizontalDragSpeed	MaxVerticalDragSpeed	HorizontalDragAcceleration	VerticalDragAcceleration	RotationOverrideTime	ScaleSensitivity	MaxScaleSpeed	ScaleAcceleration	DeadZoneRadius	HardZoneRadius	DeadZoneHeight	DefaultFOV	FocusHorizontalCoefficient	FocusVerticalCoefficient	DefaultToFocusDuration	FocusToDefaultDuration	RecenterThreshold	RecenterCoefficient	ExpBase	BufferRadian	EndDragToDefaultDuration	FreaAreaWPer	FreaAreaHPer	GentleAreaWPer	GentleAreaHPer	FreeAreaMoveCoefficient	GentleAreaMoveCoefficient	DeadAreaMoveCoefficient	FocusToSimpleDuration	SimpleToFocusDuration
1	1	4	0	3	5	3	3.5	75	1.5	0	0.1	150	0.5	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	8	0.35	60	0.6	1.6	0.9	1.5	0.99	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
2	1	4	0	3	5	3	4	4	1.5	0	0.1	150	1.1	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	5	10	0.25	10	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
3	1	4	0	3	5	3	6	6	1.5	0	0.1	150	2.5	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
4	1	4	0	3	5	3	7	7	1.5	0	0.1	150	3.3	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
5	1	4	0	3	5	3	5.5	5.5	1.5	0	0.1	150	3.3	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
6	1	4	0	3	0.5	1	0.5	1	1.5	0	0.1	150	0.3	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	6	4	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
7	1	4	0	3	2.75	2	2.25	2.5	1.5	0	0.1	150	0.3	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	6	4	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101402	1	4	0	3	5	3	3	3	1.5	0	0.1	150	0.9	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	5	10	0.25	10	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101403	1	4	0	3	5	3	4	4	1.5	0	0.1	150	1.4	1	10	1.5	1	-20	40	180	3	99999999	3.5	20	40	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101404	1	4	0	3	5	3	3.2	3.2	1.5	0	0.1	150	1.1	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101405	1	4	0	3	5	3	3.6	3.6	1.5	0	0.1	150	1	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	5	10	0.25	5	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101406	1	4	0	3	5	3	2.7	2.7	1.5	0	0.1	150	0.1	1	10	1.5	1	-20	40	180	3	99999999	3.5	25	50	25	10	0.25	15	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.1	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.1	0.1
101407	1	4	0	3	5	3	4.5	4.5	1.5	0	0.1	150	1.55	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	8	16	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101408	1	4	0	3	5	3	2.5	2.5	1.5	0	0	150	0.6	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	3.5	10	0.25	5	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101409	1	4	0	3	5	3	4.5	4.5	1.5	0	0.1	150	1.5	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	8	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101410	1	4	0	3	5	3	2	2	1.5	0	0	150	0.3	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	5	10	0.25	5	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101411	1	4	0	3	5	3	1.5	1.5	1.5	0	0	150	0	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	5	10	0.25	5	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101412	1	4	0	3	5	3	4.7	4.7	1.5	0	0.1	150	1.6	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	8	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101413	1	4	0	3	5	3	4.9	4.9	1.5	0	0.1	150	1.7	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	8	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	10	0.1	60	1	1.5	0.6	1.5	0.7	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
101414	1	4	0	3	5	3	3.5	3.5	1.5	0	0.1	0.5	0.5	1	10	1.5	1	-20	40	180	3	99999999	3.5	8	50	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.1	8	0.35	60	0.6	1.6	0.9	1.5	0.99	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
100702	1	4	0	3	5	5	4	4	3	0	0.1	150	2.25	1	10	1.5	1	-5	10	1	3	0	3.5	8	50	5	10	0.25	10	0.4	0.1	15	5	80	80	0.5	10	5	30	0.9	1	0.1	60	1	1.5	0.6	1.5	0.99	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
100703	1	4	0	3	5	5	4	4	3	0	0.1	150	2.25	1	10	1.5	1	-5	10	1	3	0	3.5	20	40	50	10	0.25	6	0.4	0.1	15	5	80	80	0.5	10	5	30	0.9	1	0.1	60	1	1.5	0.6	1.5	0.99	0.8	1.8	3.14	0.3	0	0	0.4	0.4	0	1	20	0.3	0.3
