Npc	PartId	PartName	RoulettleIndex	RoulettleName	BrokenGOName	RoulettleIcon
8001	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
8001	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
8001	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
8001	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
8001	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800101	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800101	8001001	胴体	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800101	8001003	左手	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800101	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800101	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800102	8001002	身体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800102	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
800102	8001003	頭部	3	Bip001LForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon03.png
800102	8001004	右手	4	Bip001RForearm	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon02.png
800102	8001006	尾巴	5	weibaLbone04	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon05.png
800103	8001002	胴体	1	Bip001Spine	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon04.png
800103	8001001	头	2	Bip001Head	Mb1BengyuehtMd010001Hand04	Assets/Product/Texture/Image/UiFight/UiFightDlcLockingIcon01.png
