NpcId	RouletteUrl	RouletteUrlPc
8001	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800101	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800102	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800103	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800104	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800105	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800111	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800112	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800113	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800114	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800115	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
8002	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800201	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800202	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800203	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800204	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800205	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800211	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800212	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800213	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800214	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
800215	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5.prefab	Assets/Product/Ui/UiFightPrefab/FightDlcFocus5Pc.prefab
