Npc	PartId	AttribId	BreakTimes	DefaultBoneName	Desc
8001	8001001	1	10	Bip001Head	头部
8001	8001002	1	10	Bip001Spine1	身体
8001	8001003	1	10	Bip001LForearm	左手
8001	8001004	1	10	Bip001RForearm	右手
8001	8001005	1	10	Bip001Head	XXX
8001	8001006	1	10	weibaLbone04	尾巴
8002	8001001	1	10	Bip001Head	头部
8002	8001002	1	10	Bip001Spine1	身体
8002	8001003	1	10	Bip001LForearm	左手
8002	8001004	1	10	Bip001RForearm	右手
8002	8001005	1	10	Bip001Head	XXX
8002	8001006	1	10	weibaLbone04	头部
8002	800201	1	10	Bip001Head	XXX
8002	800202	1	10	Bip001Head	白龙的测试挂点
8002	800203	1	10	Bip001Head	对波的站位点
1002	0	1	10	Bip001Head	XXX
1002	100201	1	10	Bip001Head	XXX
8003	100201	1	10	Bip001Head	XXX
8004	8001001	1	10	Bip001Head	头部
8004	8001002	1	10	Bip001Spine1	身体
8004	8001003	1	10	Bip001LForearm	左手
8004	8001004	1	10	Bip001RForearm	頭部
8004	8001005	1	10	Bip001Head	XXX
8004	8001006	1	10	weibaLbone04	尾巴
800101	8001001	1	10	Bip001Head	頭部
800101	8001002	1	10	Bip001Spine1	身体
800101	8001003	1	10	Bip001LForearm	左手
800101	8001004	1	10	Bip001RForearm	右手
800101	8001005	1	10	Bip001Head	XXX
800101	8001006	1	10	weibaLbone04	尾巴
800102	8001001	1	10	Bip001Head	头部
800102	8001002	1	10	Bip001Spine1	身体
800102	8001003	1	10	Bip001LForearm	左手
800102	8001004	1	10	Bip001RForearm	右手
800102	8001005	1	10	Bip001Head	XXX
800102	8001006	1	10	weibaLbone04	尻尾
800103	8001001	1	10	Bip001Head	頭部
800103	8001002	1	10	Bip001Spine1	身体
800103	8001003	1	10	Bip001LForearm	左手
800103	8001004	1	10	Bip001RForearm	右手
800103	8001005	1	10	Bip001Head	XXX
800103	8001006	1	10	weibaLbone04	尾巴
800104	8001001	1	10	Bip001Head	頭部
800104	8001002	1	10	Bip001Spine1	身体
800104	8001003	1	10	Bip001LForearm	左手
800104	8001004	1	10	Bip001RForearm	右手
800104	8001005	1	10	Bip001Head	XXX
800104	8001006	1	10	weibaLbone04	尾巴
800105	8001001	1	10	Bip001Head	头部
800105	8001002	1	10	Bip001Spine1	身体
800105	8001003	1	10	Bip001LForearm	頭部
800105	8001004	1	10	Bip001RForearm	右手
800105	8001005	1	10	Bip001Head	XXX
800105	8001006	1	10	weibaLbone04	尾巴
800111	8001001	1	10	Bip001Head	頭部
800111	8001002	1	10	Bip001Spine1	身体
800111	8001003	1	10	Bip001LForearm	左手
800111	8001004	1	10	Bip001RForearm	右手
800111	8001005	1	10	Bip001Head	XXX
800111	8001006	1	10	weibaLbone04	尾巴
800112	8001001	1	10	Bip001Head	头部
800112	8001002	1	10	Bip001Spine1	身体
800112	8001003	1	10	Bip001LForearm	左手
800112	8001004	1	10	Bip001RForearm	右手
800112	8001005	1	10	Bip001Head	XXX
800112	8001006	1	10	weibaLbone04	尻尾
800113	8001001	1	10	Bip001Head	頭部
800113	8001002	1	10	Bip001Spine1	身体
800113	8001003	1	10	Bip001LForearm	左手
800113	8001004	1	10	Bip001RForearm	右手
800113	8001005	1	10	Bip001Head	XXX
800113	8001006	1	10	weibaLbone04	尾巴
800114	8001001	1	10	Bip001Head	头部
800114	8001002	1	10	Bip001Spine1	身体
800114	8001003	1	10	Bip001LForearm	頭部
800114	8001004	1	10	Bip001RForearm	右手
800114	8001005	1	10	Bip001Head	XXX
800114	8001006	1	10	weibaLbone04	尾巴
800115	8001001	1	10	Bip001Head	头部
800115	8001002	1	10	Bip001Spine1	頭部
800115	8001003	1	10	Bip001LForearm	左手
800115	8001004	1	10	Bip001RForearm	右手
800115	8001005	1	10	Bip001Head	XXX
800115	8001006	1	10	weibaLbone04	尾巴
800201	8001001	1	10	Bip001Head	頭部
800201	8001002	1	10	Bip001Spine1	身体
800201	8001003	1	10	Bip001LForearm	左手
800201	8001004	1	10	Bip001RForearm	右手
800201	8001005	1	10	Bip001Head	XXX
800201	8001006	1	10	weibaLbone04	尾巴
800201	800201	1	10	Bip001Head	XXX
800201	800202	1	10	Bip001Head	白龙的测试挂点
