Id	Name	IconPath	AttrType	AttrValue	EncounterStoryId	InviteStoryId	CommuId	CutDownTime	ContributionBuff
1	Lucia: Lotus	Assets/Product/Texture/Image/Role/RoleHeadluxiya3Q.png	1	6	1	31	2001	30	30
2	Lucia: Dawn	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SQ.png	1	8	2	32	2002	40	40
3	Lucia: Plume	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	1	10	3	33	2003	50	50
4	Lucia: Crimson Abyss	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	1	10	4	34	2004	50	50
5	Lee: Palefire	Assets/Product/Texture/Image/Role/RoleHeadLi3Q.png	3	8	5	35	2005	40	40
6	Lee: Entropy	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	3	10	6	36	2006	50	50
7	Liv: Eclipse	Assets/Product/Texture/Image/Role/RoleHeadLifu3Q.png	4	6	7	37	2007	30	30
8	Liv: Lux	Assets/Product/Texture/Image/Role/RoleHeadLifu3SQ.png	4	8	8	38	2008	40	40
9	Liv: Luminance	Assets/Product/Texture/Image/Role/RoleHeadLifu3SSQ.png	4	10	9	39	2009	50	50
10	Kamui: Bastion	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	1	8	10	40	2010	40	40
11	Kamui: Tenebrion	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SSQ.png	1	10	11	41	2011	50	50
12	Bianca: Zero	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3Q.png	4	8	12	42	2012	40	40
13	Bianca: Veritas	Assets/Product/Texture/Image/Role/RoleHeadBianka3SSQ.png	4	10	13	43	2013	50	50
14	Karenina: Blast	Assets/Product/Texture/Image/Role/RoleHeadKalie3Q.png	1	8	14	44	2014	40	40
15	Karenina: Ember	Assets/Product/Texture/Image/Role/RoleHeadKalie3SSQ.png	1	10	15	45	2015	50	50
16	Nanami: Storm	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3Q.png	3	6	16	46	2016	30	30
17	Nanami: Pulse	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3SSQ.png	3	8	17	47	2017	40	40
18	Watanabe: Nightblade	Assets/Product/Texture/Image/Role/RoleHeadDubian3Q.png	2	8	18	48	2018	40	40
19	Watanabe: Astral	Assets/Product/Texture/Image/Role/RoleHeadDubian3SSQ.png	2	8	19	49	2019	40	40
20	Chrome: Arclight	Assets/Product/Texture/Image/Role/RoleHeadKulomu3Q.png	2	8	20	50	2020	40	40
21	Sophia: Silverfang	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3Q.png	3	8	21	51	2021	40	40
22	Vera: Rozen	Assets/Product/Texture/Image/Role/RoleHeadWeila3Q.png	3	8	22	52	2022	40	40
23	Camu: Crocotta	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	1	10	23	53	2023	50	50
24	Rosetta: Rigor	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	2	10	24	54	2024	50	50
25	Qu: Pavo	Assets/Product/Texture/Image/Role/RoleHeadQu3Q.png	2	10	25	55	2025	50	50
26	Changyu: Qilin	Assets/Product/Texture/Image/Role/RoleHeadChangYu3Q.png	4	8	26	56	2026	40	40
27	Luna Laurel	Assets/Product/Texture/Image/Role/RoleHeadLuna3Q.png	2	10	27	57	2027	50	50
28	Ayla: Brilliance	Assets/Product/Texture/Image/Role/RoleHeadAila3Q.png	3	8	28	58	2028	40	40
29	Selena: Tempest	Assets/Product/Texture/Image/Role/RoleHeadSaiLinNa3Q.png	4	10	29	59	2029	50	50
30	Wanshi: Hypnos	Assets/Product/Texture/Image/Role/RoleHeadWanShi3Q.png	2	8	30	60	2030	40	40
31	Chrome: Glory	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	2	10	61	62	2031	50	50
32	No. 21: XXI	Assets/Product/Texture/Image/Role/RoleHead21Hao3Q.png	3	8	63	64	2032	40	40
33	Vera: Garnet	Assets/Product/Texture/Image/Role/RoleHeadR3Weila3Q.png	3	10	65	66	2033	50	50
34	Roland: Flambeau	Assets/Product/Texture/Image/Role/RoleHeadR2Luolan3Q.png	2	10	67	68	2034	50	50
35	Liv: Empyrea	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	4	10	69	70	2035	50	50
36	Selena: Capriccio	Assets/Product/Texture/Image/Role/RoleHeadR3Sailinna3Q.png	4	10	71	72	2036	50	50
