Id	ImgPath	Password
1	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon01.png	1
2	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon02.png	2
3	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon03.png	3
4	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon04.png	4
5	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon05.png	5
6	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon06.png	6
7	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon01.png	1
8	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon02.png	2
9	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon03.png	3
10	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon04.png	4
11	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon05.png	5
12	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon06.png	6
13	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon01.png	1
14	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon02.png	2
15	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon03.png	3
16	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon04.png	4
17	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon05.png	5
18	Assets/Product/Texture/Image/UiFight/UiFightPasswordIcon06.png	6
19	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number0.png	0
20	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number1.png	1
21	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number2.png	2
22	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number3.png	3
23	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number4.png	4
24	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number5.png	5
25	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number6.png	6
26	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number7.png	7
27	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number8.png	8
28	Assets/Product/Texture/Image/UiFight/UiFightPassword2Number9.png	9
