Id	PhysicsStartTime	StartTime	Lifetime	Speed	TargetType	HitCount	RepeatDamage	DamageInterval	DamageCount	HinderType	HinderCount	RepeatHinder	HinderInterval	HinderDead	DeadExplosion	IsCloseToGround	GroundDistance	TrajectoryType	TrajectoryParams[1]	TrajectoryParams[2]	TrajectoryParams[3]	TrajectoryParams[4]	TrajectoryParams[5]	TrajectoryParams[6]	TrajectoryParams[7]	TrajectoryParams[8]	Magics[1]	Magics[2]	Magics[3]	Magics[4]	Magics[5]	Magics[6]	Magics2Launcher[1]	Magics2Launcher[2]	Magics2Launcher[3]	Magics2Launcher[4]	Magics2Launcher[5]	Magics2Launcher[6]	Magics2Launcher[7]	Magics2Part[1]	ChildDelays[1]	ChildIntervals[1]	ChildCounts[1]	Childs[1]	DeadChilds[1]	Collider	Effect	ExplosionEffect	HinderEffect	HitEffect[1]	HitEffect[2]	HitEffectUseMissileDirection	IsAlwaysShow	IsDecay	ShakeHitType	ShakeIntensityType	ShakeIntensityArgs	ShakeDuration	ShakeFrequency	ShakeDirection	RotShakeIntensityType	RotShakeDuration	RotShakeFrequency	RotShakeXIntensityArgs	RotShakeYIntensityArgs	RotShakeZIntensityArgs
10020101			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002001					1000013	1002170	1002200												10020101			FxTongyongHit01	FxR1LuxiyaAttack01Shouji01					2	1	0.4|20	2	10	-1,0,-1	1	0.2	5	15|5	0|0	0|0
10020104			9999	0.1	1	1	0		-1	2								5	0	0	4	1500	0				1014019																			10020101	FxR3BiankaAttack21Dandao		FxTongyongHit01	FxR3BiankaAttack21Shouji																
10020201			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002002					1000013	1002170	1002206												10020101			FxTongyongHit01	FxR1LuxiyaAttack02Shouji01					2	1	0.4|20	2	10	1,0,-1	1	0.2	5	0|0	15|5	0|0
10020202			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002002						1002170													10020101			FxTongyongHit01	FxR1LuxiyaAttack02Shouji02					2	1	0.4|20	2	10	-1,0,-1						
10020205			9999	44	4	1	0		-1	2				1				5	0	0	4	1500	0				1014019																			10020101	FxR3BiankaAttack21Dandao		FxTongyongHit01	FxR3BiankaAttack21Shouji																
10020301			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002003	1002112				1000013	1002203	1002170												10020101			FxTongyongHit01	FxR1LuxiyaAttack03Shouji01					2	1	0.4|20	2	10	-1,1,0	1	0.2	5	0|0	15|5	0|0
10020303			9999	44	4	1	0		-1	2				1				5	0	0	4	1500	0				1014019																			10020101	FxR3BiankaAttack21Dandao		FxTongyongHit01	FxR3BiankaAttack21Shouji																
10020401			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002004					1000013	1002204	1002172												10020101			FxTongyongHit01	FxR1LuxiyaAttack04Shouji01					2	1	0.4|20	2	10	0,-1,-1	1	0.2	5	0|0	15|5	0|0
10020403			9999	44	4	1	0		-1	2				1				5	0	0	4	1500	0				1014019																			10020101	FxR3BiankaAttack21Dandao		FxTongyongHit01	FxR3BiankaAttack21Shouji																
10020501			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002005					1000013	1002170													10020101			FxTongyongHit01	FxR1LuxiyaAttack05Shouji01					2	1	0.4|20	2	10	1,0,1	1	0.2	5	0|0	15|5	0|0
10020502			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002005	1002113				1000013	1002170													10020101			FxTongyongHit01	FxR1LuxiyaAttack05Shouji02					2	1	0.4|20	2	10	1,0,1	1	0.2	5	0|0	15|5	0|0
10020505			9999	44	4	1	0		-1	2				1				5	0	0	4	1500	0				1014019																			10020101	FxR3BiankaAttack21Dandao		FxTongyongHit01	FxR3BiankaAttack21Shouji																
10020601			0.2		4	-1			-1	2|3	-1	0	0					6	Root								1002006					1000013		1002171												10020301			FxTongyongHit01	FxR1LuxiyaAttack06Shouji01					2	1	0.4|20	2	10	0,1,0	1	0.2	5	0|0	15|5	0|0
10020603			9999	44	4	1	0		-1	2				1				5	0	0	4	1500	0				1014019																			10020101	FxR3BiankaAttack21Dandao		FxTongyongHit01	FxR3BiankaAttack21Shouji																
10020701			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002001																			10020101									2	1	0.4|20	1	10	0,0,1	1	0.2	5	0|0	15|5	0|0
10020801			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001LHand								1002007						1002170	1002207												10020201			FxTongyongHit01	FxR1LuxiyaAttack41Shouji01					2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10020802			0.1		4	-1			-1									6	Bip001RHand								1002007						1002170	1002207												10020202			FxTongyongHit01	FxR1LuxiyaAttack41Shouji02					2	1	0.4|20	1	30	0,0,-2						
10020901			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002008	1002113					1002170	1002208												10020202			FxTongyongHit01	FxR1LuxiyaAttack42Shouji01					2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10020902			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001LHand								1002008	1002113					1002170	1002208												10020201			FxTongyongHit01	FxR1LuxiyaAttack42Shouji02					2	1	0.4|20	1	30	0,0,-2						
10021001			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001LHand								1002009						1002170	1002207												10020201			FxTongyongHit01	FxR1LuxiyaAttack43Shouji01					2	1	0.4|20	1	30	2,0,0	1	0.2	5	0|0	15|5	0|0
10021002			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002009						1002170	1002207												10020202			FxTongyongHit01	FxR1LuxiyaAttack43Shouji02					2	1	0.4|20	1	30	0,0,-2						
10021003			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002009	1002113					1002170	1002209												10020202			FxTongyongHit01	FxR1LuxiyaAttack43Shouji03					2	1	0.4|20	1	30	0,0,2						
10021004			0.1		4	-1			-1	2|3	-1	0	0					6	Bip001LHand								1002009	1002113						1002209												10020201			FxTongyongHit01	FxR1LuxiyaAttack43Shouji03					2	1	0.4|20	1	30	0,0,-2						
10021101			0.2		4	-1			-1	2|3	-1	0	0					6	Bip001RHand								1002010	1002114					1002172													10020202			FxTongyongHit01	FxR1LuxiyaAttack44Shouji01					2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10021102			0.2		4	-1			-1	2|3	-1	0	0					6	Bip001LHand								1002010	1002114					1002172													10020201			FxTongyongHit01	FxR1LuxiyaAttack44Shouji01					2	1	0.4|20	1	30	0,0,2						
10021201			0.1		4	-1			-1	2|3	-1	0	0					8	0								1002007																												2	1	0.4|20	1	30	0,0,2	1	0.2	5	0|0	15|5	0|0
10021202			0.1		4	-1			-1	2|3	-1	0	0					8	0								1002007																												2	1	0.4|20	1	30	0,0,2						
10021203			0.1		4	-1			-1	2|3	-1	0	0					8	0								1002007																												2	1	0.4|20	1	30	0,0,2						
10021204			0.1		4	-1			-1	2|3	-1	0	0					8	0								1002007																												2	1	0.4|20	1	30	0,0,2						
10021304			1.5															6	Bip001Spine																											10020000	FxR1LuxiyaRMfallHit																			
10021501			1.4	50	4	-1	1	0.2	-1									1	0								1002011																			10021501																				
10021502			0.1	50	4	-1			-1									1	0								1002011																			10021501																				
10021504			10															1	0																											10021501	FxR1LuxiyaAttack51																			
10021505			10															1	0																											10021501	FxR1LuxiyaAttack51Jianzhen																			
10021601			1.4	50	4	-1	1	0.2	-1									1	0								1002011																			10021601																				
