Id	Magic	Name	Desc	Delay	Duration	EffectType	AffixId	IsDifferentPart	IsDifferentCaster	Limit	Kind	IsRefreshTime	Cover	Mutex	Effect	EffectJoint	IsAlwaysShow	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove
1000000		Lock Mark - Head			-1				1	1	1000000		1000001|1000002|1000003|1000004|1000005	1000000	FxSuodibiaoji	Bip001Head						
1000001		Lock Mark - Body			-1				1	1	1000001		1000000|1000002|1000003|1000004|1000005	1000001	FxSuodibiaoji	Bip001Spine						
1000002		Lock Mark - Left Forearm			-1				1	1	1000002		1000000|1000001|1000003|1000004|1000005	1000002	FxSuodibiaoji	Bip001LForearm						
1000003		Lock Mark - Right Forearm			-1				1	1	1000003		1000000|1000001|1000002|1000004|1000005	1000003	FxSuodibiaoji	Bip001RForearm						
1000004		Lock Mark - Tail			-1				1	1	1000004		1000000|1000001|1000002|1000003|1000005	1000004	FxSuodibiaoji	weibaLbone04						
1000005		Remove Lock Mark			-1				1	1	1000005		1000000|1000001|1000002|1000003|1000004|1000005	1000005								
1000006	1000999	Crash Group Test			5						1000006											
1000007		Manual Camera Lock Mark			-1				1	1	1000007				FxSuodingbiaojiLoop	HitCase						
1000008		Clear Manual Camera Lock Mark			0				1	1	1000008		1000007									
1000009	1000998	4 Random Orbs Generated Upon Initialization			-1						1000009											
1000010	1000997	Randomly Add Orbs			0					-1	1000010											
1000011	1000996	Basic Attack Resource Management			-1					1	1000011											
1000012	1000995	Basic Attack Adds Orbs			-1					1	1000012											
1000013		the Sound of Tapping button When the Dodge Cannot Be Triggered			1					-1	1000013											
1000014	1000994	Character Collision Off			-1					1	1000014											
1000015		Character Collision On			0					1	1000015		1000014									
1000016	1000993	Spear Attack Combo Strike			-1					1	1000016		1000016									
1000017	1000992	Spear Combo Strike 2 - Enter Loop (Abandoned)			-1					1	1000017		1000017									
1000018	1000991	Spear QTE Enters Logic		0.1	-1					1	1000018			1000018								
1000019	1000990	Spear QTE Camera 1 - Pull Up and Move Camera to the Left			-1					1	1000019|10000180											
1000020	1000989	Spear QTE Camera 2 - Camera Overlook			-1					1	1000020|10000180											
1000021	1000988	Spear Camera 3 - Pull In			-1					1	1000021											
1000022	1000987	Spear Camera 4 - Close Up 1			-1					1	1000022											
1000023	1000986	Spear Camera 5 - Close Up 2			-1					1	1000023											
1000024	1000985	Spear Shot 6 - Restoration 1			-1					1	1000024											
1000025	1000984	Spear Shot 7 -Return to Normal Camera			0					1	1000025									1		
1000026	1000983	Spear Camera - Locking Back to Body			-1					1	1000026											
1000027	1000982	Spear Hits Camera in the Direction of the Joystick			-1					1	1000027		1000027									
1000028	1000981	Spear Camera - Locking Back to Body			-1					1	1000028											
1000030	1000980	Enter Spear QTE Loop State			-1						1000030											
1000031	1000979	Exit Spear QTE Loop State			-1						1000031											
1000032	1000978	Spear QTE in Camera Animation			1.2					-1	1000032		1000033									
1000033		Remove Spear QTE in Camera			0					1	1000033		1000032									
1000034		Spear Camera 1 - Enter Mark			0.05					1	1000034									1		
1000035		Spear Camera 2 - Lift-off Mark			0.05					1	1000035									1		
1000036		Spear Camera 3 - Pre-Drop Mark			0.05					1	1000036									1		
1000037		Spear Camera 4 - Drop Mark			0.05					1	1000037									1		
1000038		Spear Camera 3 - Pre-Drop Mark			0.05					1	1000038									1		
1000039		Spear Camera 3 - Pre-Drop Pull In Mark			0.05					1	1000039									1		
1000040		Spear Camera 4 - Drop Mark			0.05					1	1000040									1		
1000041	1000977	Enter Spear Drop Attack Loop State			-1					1	1000041		1000041									
1000042	1000976	Exit Spear Drop Attack Loop State			-1					1	1000042		1000015									
1000043	1000975	Spear Camera 2.5 - Airborne Wide-angle Zoom 1			1.2					1	1000043											
1000044	1000974	Spear Camera 2.5 - Airborne Wide-angle Zoom 2			0.3					1	1000044											
1000045	1000973	Spear Rocket Plays QTE Loop Animation			-1						1000045											
1000046	1000972	Spear Rocket Plays Insert Loop Animation 1		0.5	-1						1000046											
1000047	1000971	Spear Rocket Plays Insert Loop Animation 2		0.5	-1						1000047											
