Id	Magic	Name	Desc	Delay	Duration	EffectType	AffixId	Limit	Kind	Cover	Mutex	Effect	EffectJoint	TriggerMagic	TriggerInterval	TriggerOnAdd	Icon	DyingRemove
100000	100999	Last Blow Slomo			3				100000									
100001	100998	Last Blow Switching to Camera 1			2.5				100001	3|401|402	3|401|402							
100006	100997	Last Blow Black Screen			0.8				100006									
100007	100996	Last Blow Switching to Camera 2			2.5				100007									
100011	100995	Conceal Self (10s)			10				100011									
100016	100994	Last Blow Switching to Camera 3		1	1.5				100016									
100021	100993	Last Blow Blurring			3				100021			FxBuffZhansha	Root					
100091	100992	Signature Move QTE Invincible State (10s Without Effects)			10				100091|9	9								
100093	100991	Unpullable			-1				100093									
715678	715999	Unsearchable by Bullets			-1				715678							1		
800094		1s Load Bar			1.05				800094|8000943			FxJindutiao1s	Root					
5000001	5000999	Phantom Material 1			-1				5000001			FxTongyongYinshenData02	Root					
5000002	5000998	Stay			-1				5000002									
5000003	5000997	Black Screen			-1				5000003									
5000004	5000996	Screen Vignetting, Use Preloaded Special Effect "FxDianyingPingmu00"			-1			1	5000004									
5000005		Remove Screen Vignette			0				5000005	5000004								
5000006		Remove Black Screen			0				5000006	5000003								
5000007		Combat UI Off			-1				5000007									
5000008		Cancel Combat UI Shutdown			0				5000008	5000007								
5010000	5010999	Local Black and White Screen			-1				5010000									
599013		13th Stage Mark Means 13th Stage			-1				599013									
5990130		13th Stage Mark Jump Starts			-1				5990130									
5990131		13th Stage Mark Jump Ends			0				5990131	5990130								
5990140		Stage 14 False Result Calculation Mark			-1				5990140									
5990141		Delete False Result Calculation Mark			0				5990141	5990140								
