Id	Type	Priority	PrefixRoot	Root	PreLoadRoot
970714	OnNpcWillDie	3	720000000	720000002	
970715	OnFrame	3	720000464		
971101	OnBeforeDamage	3		720000009	
811011	OnFrame	3	720000019	720000021	
811012	OnFrame	3		720000028	
811013	OnFrame	3		720000035	
811014	OnFrame	3		720000041	
811015	OnFrame	3		720000047	
811016	OnFrame	3		720000053	
811017	OnFrame	3		720000059	
811018	OnFrame	3		720000065	
811019	OnFrame	3		720000071	
811020	OnFrame	3		720000077	
811021	OnFrame	3		720000083	
811022	OnFrame	3		720000089	
811023	OnFrame	3		720000095	
811024	OnFrame	3		720000101	
811025	OnFrame	3		720000107	
811026	OnFrame	3		720000113	
811027	OnFrame	3		720000119	
811028	OnFrame	3		720000125	
811029	OnFrame	3		720000131	
811030	OnFrame	3		720000137	
811047	OnFrame	3	720000467	720000469	
811102	OnFrame	3	720000149	720000151	
811101	OnNpcWillDie	3		720000159	
813002	OnFrame	3		720000164	
813003	OnFrame	3		720000174	
813008	OnFrame	3	720000177	720000179	
813009	OnFrame	3		720000205	
813011	OnFrame	3		720000207	
814001	OnFrame	3	720000427	720000211	
814103	OnFrame	3	720000429	720000222	
814021	OnFrame	3	720000234	720000236	
814022	OnFrame	3	720000244	720000246	
814023	OnFrame	3	720000257	720000259	
814024	OnFrame	3	720000267	720000269	
812021	OnFrame	3	720000440	720000442	
813031	OnFrame	3	720000447	720000449	
814112	OnFrame	3	720000454	720000456	
814100	OnFrame	3	720000280	720000307	
814105	OnFrame	3	720000336	720000338	
814106	OnFrame	3	720000345	720000347	
814107	OnFrame	3	720000354	720000356	
814108	OnFrame	3	720000363	720000365	
814109	OnFrame	3	720000372	720000374	
814011	OnFrame	3		720000381	
814012	OnFrame	3		720000388	
814013	OnFrame	3		720000397	
814101	OnFrame	3		720000406	
