Id	Type	Priority	PrefixRoot	Root	PreLoadRoot
100020	OnFrame	3	620000000	620000105	
100026	OnFrame	3	620000918	620001023	
100033	OnFrame	3	620001836	620001839	
100041	OnFrame	3	620001845	620003303	
199944	OnFrame	3	620003319	620003304	
199945	OnFrame	3	620003309	620003314	
100046	OnBeforeDamage	3		620001856	
100051	OnBeforeDamage	3	620001900	620001906	
100052	OnFrame	3	620001939	620001941	
100053	OnSkill	3	620001985	620001987	
100054	OnFrame	3	620001999	620002021	
100055	OnSkill	3	620002037	620002039	
100056	OnBeHit	3	620002073	620002075	
100057	OnNpcWillDie	3	620002081	620002083	
100058	OnSwitchNpc	3	620002088	620002090	
100062	OnFrame	3	620002099	620002103	
100063	OnBeHit	3	620002111	620002113	
100074	OnSkill	3	620002119	620002123	
100086	OnBeforeDamage	3	620002134	620002136	
100089	OnFrame	3	620002145	620002148	
199900	OnFrame	3	620002161	620002163	
199941	OnNpcWillDie	3	620003261	620003263	
199910	OnFrame	3	620002468	620002602	
199911	OnFrame	3	620002604	620002610	
199912	OnFrame	3	620002631	620002638	
199916	OnSkill	3	620002777	620002804	
199917	OnSkill	3	620002816	620002820	
199927	OnFrame	3	620002835	620002858	
199929	OnFrame	3	620002838	620002872	
199931	OnSkill	3	620003138	620003140	
199937	OnFrame	3	620003270	620003273	
199952	OnDodge	3	620003404	620003406	
100201	OnSkill	3	620002186	620002188	
100202	OnSwitchNpc	3	620002210	620002213	
100203	OnFrame	3	620002232		
100219	OnFrame	3	620002267	620002272	
100243	OnBeforeDamage	3	620002292	620002293	
100251	OnBeHit	3	620002324	620002326	
100268	OnFrame	3	620002337	620002342	
100290	OnBeforeDamage	3	620002346	620002348	
100292	OnBeforeDamage	3	620002355	620002357	
100277	OnFrame	3	620003348	620003350	
