Id	Type	Priority	PrefixRoot	Root	PreLoadRoot
20000101	OnFrame	1	360000000	360000028	
20000102	OnFrame	1	360000088	360000116	
20000103	OnFrame	1	360000118	360000146	
20000104	OnFrame	1	360000149	360000177	
20000105	OnFrame	1	360000582	360000600	
20000201	OnFrame	1	360000180	360000205	
20000202	OnFrame	1	360000280	360000282	
20000203	OnFrame	1	360000284	360000286	
20000204	OnFrame	1	360000288	360000290	
20000301	OnFrame	1	360000292	360000313	
20000302	OnFrame	1	360000361	360000363	
20000303	OnFrame	1	360000365	360000367	
20000304	OnFrame	1	360000369	360000371	
20000401	OnFrame	1	360000378	360000405	
20000402	OnFrame	1	360000430	360000432	
20000403	OnFrame	1	360000434	360000436	
20000404	OnFrame	1	360000438	360000440	
20000405	OnFrame	1	360000558	360000580	
20000501	OnFrame	1	360000661	360000683	
20000502	OnFrame	1	360000763	360000785	
20000503	OnFrame	1	360000787	360000809	
20000504	OnFrame	1	360000811	360000833	
20000505	OnFrame	1	360000835	360000857	
