Id	Type	Priority	PrefixRoot	Root	PreLoadRoot
900004	OnAfterDamage	3		630000015	
900011	OnFrame	3	630000042	630000043	
900012	OnFrame	3	630000053	630000054	
900014	OnFrame	3	630000064	630000069	
900015	OnFrame	3	630000090	630000095	
900016	OnFrame	3	630000114	630000117	
900019	OnFrame	3	630000168	630000173	
900020	OnBeHit	3	630000191	630000194	
900022	OnFrame	3	630000199	630000216	
900033	OnFrame	3	630000270	630000273	
900050	OnAfterDamage	3	630000286	630000296	
900051	OnAfterDamage	3	630000307	630000311	
900053	OnFrame	3	630000331	630000332	
980001	OnFrame	3	630000340	630000344	
821080	OnFrame	3	630000350	630000369	
821255	OnAfterDamage	3	630000598	630000601	
821254	OnFrame	3	630000608	630000610	
821252	OnAfterDamage	3		630000616	
821256	OnNpcWillDie	3		630000882	
980003	OnFrame	3	630000906	630000929	
821308	OnFrame	3	630001107	630001154	
821301	OnFrame	3	630001417	630001425	
821305	OnFrame	3	630001512	630001521	
821311	OnFrame	3	630001540	630001550	
821313	OnFrame	3	630001601	630001605	
821316	OnFrame	3	630001616	630001631	
821319	OnNpcWillDie	3	630001699	630001701	
900201	OnFrame	3	630001704	630001707	
900202	OnFrame	3	630001714	630001836	
900203	OnAfterDamage	3	630001929	630001967	
900204	OnFrame	3	630002202	630002207	
900205	OnSkill	3	630002225	630002280	
900206	OnFrame	3	630002465	630002473	
900207	OnFrame	3	630002498	630002512	
900208	OnFrame	3	630002514	630002523	
900209	OnFrame	3	630002551	630002560	
900211	OnSkill	3	630002637	630002642	
900214	OnFrame	3	630002658	630002736	
900062	OnFrame	3	630003041	630003132	
900027	OnFrame	3	630003907	630003910	
821530	OnNpcWillDie	3	630003948	630003950	
900026	OnFrame	3	630003952	630003955	
900063	OnFrame	3		630003961	
900102	OnFrame	3	630003963	630003967	
900066	OnFrame	3	630003988	630003991	
900068	OnFrame	3	630004005	630004009	
900083	OnFrame	3	630004026	630004044	
900085	OnFrame	3	630004146	630004148	
900105	OnFrame	3	630004156	630004160	
900080	OnFrame	3	630004177	630004226	
900081	OnFrame	3	630004391	630004456	
900096	OnFrame	3		630005334	
900107	OnFrame	3	630000027	630000041	
900109	OnFrame	3	630000635	630000646	
