Id	Order	GroupName	CollectionTitle[1]	CollectionContent[1]	CollectNum[1]	IconPath[1]	CgId[1]	CollectionTitle[2]	CollectionContent[2]	CollectNum[2]	IconPath[2]	CgId[2]	CollectionTitle[3]	CollectionContent[3]	CollectNum[3]	IconPath[3]	CgId[3]
1	1	Dual Guns 	Dual Guns Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon031.png	0	Dual Guns Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon032.png	0	Dual Guns Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon033.png	0
2	2	Katana 	Katana Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon021.png	0	Katana Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon022.png	0	Katana Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon023.png	0
3	3	Levi-Gun 	Levi-Gun Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon071.png	0	Levi-Gun Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon072.png	0	Levi-Gun Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon073.png	0
4	4	Bow 	Bow Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon081.png	0	Bow Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon082.png	0	Bow Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon083.png	0
5	5	Saw 	Saw Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon051.png	0	Saw Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon052.png	0	Saw Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon053.png	0
6	6	Greatsword 	Greatsword Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon011.png	0	Greatsword Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon012.png	0	Greatsword Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon013.png	0
7	7	Cannon 	Cannon Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon061.png	0	Cannon Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon062.png	0	Cannon Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon063.png	0
8	8	Dagger 	Dagger Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon041.png	0	Dagger Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon042.png	0	Dagger Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon043.png	0
9	9	Scythe 	Scythe Collector I	Next Rank Requires	2	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon091.png	0	Scythe Collector II	Next Rank Requires	4	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon092.png	0	Scythe Collector III	At Highest Rank	6	Assets/Product/Texture/Image/UiArchiveWeaponAchievement/UiArchiveWeapon093.png	0
10	100	Uniframe: Greatsword		[Camu: Crocotta] Exclusive													
11	10	Spear Shield		[Rosetta: Rigor] Exclusive													
13	101	Uniframe: Glaive		[Qu: Pavo] Exclusive													
14	11	Gauntlets		[Changyu: Qilin] Exclusive													
17	12	Amplifier		[Luna: Laurel] Exclusive													
12	13	Katana & Greatsword		[2B] Exclusive													
15	14	Tactical Lance		[A2] Exclusive													
16	15	Katana		[9S] Exclusive													
18	16	Gun Set		[Wanshi: Hypnos] Exclusive													
19	102	Uniframe: Cello Blade		[Selena: Tempest] Exclusive													
20	17	Gunblade		[Chrome: Glory] Exclusive													
21	18	Co-Bot		[No. 21: XXI] Exclusive													
22	103	Uniframe: Chain Blade		[Roland: Flambeau] Exclusive													
23	19	Banner Spear		[Vera: Garnet] Exclusive													
24	20	Scepter		[Liv: Empyrea] Exclusive													
25	21	Flute Sword		[Selena: Capriccio] Exclusive													
26	104	Uniframe: Dragon Axe		[Pulao: Dragontoll] Exclusive													
27	22	Mega Saw		[Nanami: Starfarer] Exclusive													
28	23	Blast Hammer		[Karenina: Scire] Exclusive													
29	105	Uniframe: Rev Blade		[Noan: Arca] Exclusive													
30	24	Swordstaff		[Bianca: Stigmata] Exclusive													
31	25	Mantis Blades		[Bambinata: Vitrum] Exclusive													
