Id	GroupId	Order	LockIconPath	IconPath	StoryChapterId
16010000	1	1	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3XiaoonMd010010.png	
16020000	1	2	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Xiao2.png	
16030000	2	1	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3He2.png	12001
16040000	2	2	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Ma1.png	12002
16050000	1	3	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet2BeionMd010011.png	
16060000	2	3	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Mao1.png	
16070000	1	4	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet2Yang1.png	
16080000	2	4	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Ying1.png	
16090000	1	4	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet2Ciwei1.png	
16100000	2	5	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Hu1.png	
16110000	2	6	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Tu1.png	
16120000	2	7	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Yu1.png	
16130000	2	8	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Quan1.png	
16140000	2	9	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	Assets/Product/Texture/Image/UiArchivePartnerHead/Pet3Wuzei1.png	
