Id	NpcId	NpcState	EffectNodeName	EffectPath
1	837000	1	Bip001 Spine	Assets/Product/Effect/Prefab/FxMb1AolajiangPrefabA/FxMb1AolajiangAChangzhu.prefab
2	83220	1	Bone009	Assets/Product/Effect/Prefab/FxMb1LuosaitaMd010002/FxMb1LuosaitaMd010002Chibang02GuadianBone010.prefab
3	83220	1	Bone009mirrored	Assets/Product/Effect/Prefab/FxMb1LuosaitaMd010002/FxMb1LuosaitaMd010002Chibang02GuadianBone009mirrored.prefab
4	92860	1	Bone021	Assets/Product/Effect/Prefab/FxMo1BopuerPrefab/FxMo1BopuerEye03.prefab
5	90870	1	EyeCase	Assets/Product/Effect/Prefab/FxMe1YasibeiersiPrefab/FxMe1YasibeiersiEyeRed.prefab
6	84400	1	HitCase	Assets/Product/Effect/Prefab/FxMb1MotherPrefab/FxMb1MotherUi.prefab
7	93070	1	EffectCase1	Assets/Product/Effect/Prefab/FxMe1ShengtangPrefab/FxMe1ShengtangWpREffectCase.prefab
8	93070	1	EffectCase2	Assets/Product/Effect/Prefab/FxMe1ShengtangPrefab/FxMe1ShengtangWpLEffectCase.prefab
9	93030	1	TeXiaoPoint	Assets/Product/Effect/Prefab/FxMo1SemifiniPrefab/FxMo1SemifiniQidaiTeXiaoPoint01.prefab
10	93081	1	BodyEffectCase3	Assets/Product/Effect/Prefab/FxMe1WutailongPrefab/FxMe1WutailongIdile.prefab
11	93081	1	BodyEffectCase4	Assets/Product/Effect/Prefab/FxMe1WutailongPrefab/FxMe1WutailongIdile01.prefab
