Id	NpcId	NpcState	StateText	StandAnime	HideNodeName[1]	HideNodeName[2]	HideNodeName[3]
1	83600	1	Basic Status				
2	83600	2	Burst Status	Assets/Product/Role/Animation/Mb1JiabailieMd000001/Mb1JiabailieMd000001/Layer1/Stand1.anim	Mb1JiabailieMd000001Cloak		
3	83900	1	Basic Status				
4	83900	2	Burst Status		Mb1LunaMd010001Mask	Mb1LunaMd010001Glass	
5	85100	1	Basic Status		Mb1StarknightMd010001Weapon	Mb1StarknightMd010001Weapon01	
6	85100	2	Burst Status		Mb1StarknightMd010001Weapon02		
7	85300	1	Basic Status	Assets/Product/Role/Animation/Mb1MoonguyMd010001/Mb1MoonguyMd010001/BaseLayer/Stand2.anim	Mb1MoonguyMd010001Weapon		
8	85300	2	Burst Status	Assets/Product/Role/Animation/Mb1MoonguyMd010001/Mb1MoonguyMd010001/Layer1/Stand2.anim			
9	85400	1	Basic Status				
10	85400	2	Burst Status	Assets/Product/Role/Animation/Mb1HuoshaMd010001/Mb1HuoshaMd010001/Layer1/Stand2.anim			
11	93311	1	Basic Status				
12	93311	2	Burst Status	Assets/Product/Role/Animation/Me1TwofacerMd010001/Me1TwofacerMd010001/Layer1/Stand2.anim			
13	85550	1	Basic Status		Mb1MaidmasterMd010001Weapon02		
14	93361	1	Basic Status	Assets/Product/Role/Animation/Me1SimmoonguyMd010001/Me1SimmoonguyMd010001/BaseLayer/Stand2.anim	Me1SimmoonguyMd010001globe		
