Id	Name	ModelId
70010	Lee	R2LiangMd010011RPG
70020	Lucia	R1LuxiyaMd010011RPG
70030	Liv	R1LifuMd010011RPG
70040	Bianca	R2BiankaMd010011
70050	Nanami	R2YongyechaoMd010011
70060	Kamui	R2ShenweiMd010011
70070	Karenina	R2KalieninaMd010011
70080	Watanabe	R2DubianMd010011
70120	Lucia: Dawn	R2LuxiyaMd010011
70130	Liv	R2LifuMd010011
70230	Liv	R3LifuMd010011
70110	Lee: Entropy	R3LiangMd010011
70111	Lee: Entropy	R3LiangMd010021
70090	Ayla	R2AilaMd010011
70100	Sophia	R2SufeiyaMd010011
70011	Lee	R2LiangMd010011
70021	Lucia	R1LuxiyaMd010011
70031	Liv	R1LifuMd010011
70041	Bianca	R2BiankaMd010011
70051	Nanami	R2YongyechaoMd010011
70061	Kamui	R2ShenweiMd010011
70071	Karenina	R2KalieninaMd010011
70081	Watanabe	R2DubianMd010011
70121	Lucia: Dawn	R2LuxiyaMd010011
70131	Liv	R2LifuMd010011
70231	Liv	R3LifuMd010011
71020	Chrome	R2KuluomuMd010031
70220	Lucia - Rank 3	R3LuxiyaMd010011
81100	Assault Fort	Mb1TankarmorMd030001
81110	Assault Fort: Destruction	Mb1TankarmorMd030002
81200	Musashi IX	Me1SwordMd002001
81300	Roseblade	Mb1SwordMd030001
81310	Roseblade (Dark)	Mb1SwordMd030001
81400	Sister	Mb1LadyMd10001
81401	Sister	Mb1LadyMd10001
81410	Martyr	Mb1LadybabyMd10001
81420	Harvester	Mb1RobotarmorMd030001
81430	Musashi IX	Me1SwordMd002001
81500	Nozzle	Mb1OrphanMd030001
81600	Roland	Mb1LuolanMd010001
81700	Iron Maiden	Mb1VirginbioMd030001
81710	Iron Maiden Spike	
81800	Vassago	Mb1SandwormMd030001
81900	Unknown Construct α 	Mb1LuxiyaMd000003
82100	Harvester	Mb1RobotarmorMd030001
20100	Energy Zone	
20110	Energy Ball	
82130	Electric Ball Summon	Mb1BaodongchibangMd000001
82140	Electric Ball Rhythm Control	
82150	Riot	Mb1BraveMd010011
82160	Ignite Beetle	Mo1LiebianyuanchongMd000001
83100	Camu	Mb1XiuMd010003
83110	Camu	Mb1XiuerjieMd000001
83200	Rosetta	Mb1LuosaitamaMd000001
83220	Rosetta (Doll)	Mb1LuosaitarenMd000001
83111	Camu	Mb1XiuerjieMd000001
83102	Camu: Blade	
87010	Osiris	Mb1OsirisMd000001
87020	Eye of Judgment	Mb1OsirisyanjingMd000001
87030	Eye of Punishment	Mb1OsirischibangMd000001
87050	Clear Tornado	
87310	Rosetta	Mb1LuosaitamaMd000001
87320	Collapse Bomb	
87330	Rosetta	Mb1LuosaitarenMd000001
87360	Hetero-Core - Mimicry	Mb1CubeMd050001
87370	Hetero-Core - Mimicry	
87380	Hetero-Core - Mimicry	Mb1CubedizuoMd000001
87390	Hetero-Core - Scan	Mb1FangjianbeiMd000001
87400	Hetero-Core - Scan	Mb1FangjianbeiMd000001
87410	Hetero-Core	Mb1CubejiaoMd000001
87420	Heteromer Particle	
87430	Hetero-Core	Mb1CubejiaoMd000001
87440	Heteromer Particle	
83400	Rail Heterozygote	Mb1TrackalienMd010001
83500	Qu	Mb1MelodyMd010001
83520	Huaxu	Mb1MelodyhuaxuMd10001
83600	Gabriel	Mb1JiabailieMd000001
811000	Assault Fort	Mb1TankarmorMd030001
811100	Assault Fort: Destruction	Mb1TankarmorMd030002
811200	Assault Fort	Mb1TankarmorMd030001
811201	Assault Fort: Rime	Mb1TankarmorMd030011
811300	Assault Fort: Destruction	Mb1TankarmorMd030002
812000	Musashi IX	Me1SwordMd002001
813000	Roseblade	Mb1SwordMd030001
813100	Roseblade (Dark)	Mb1SwordMd030001
814000	Sister	Mb1LadyMd10001
814010	Sister	Mb1LadyMd10001
814100	Martyr	Mb1LadybabyMd10001
814200	Harvester	Mb1RobotarmorMd030001
814300	Musashi IX	Me1SwordMd002001
815000	Nozzle	Mb1OrphanMd030001
816000	Roland	Mb1LuolanMd010001
817000	Iron Maiden	Mb1VirginbioMd030001
818000	Vassago	Mb1SandwormMd030001
819000	Unknown Construct α 	R3LuxiyaMd010011
821000	Harvester	Mb1RobotarmorMd030001
201000	Energy Zone	
201100	Energy Ball	
821300	Electric Ball Summon	Mb1BaodongchibangMd000001
821400	Electric Ball Rhythm Control	
821500	Riot	Mb1BraveMd010011
