Id	Content[1]	Time[1]	Content[2]	Time[2]	Content[3]	Time[3]	Content[4]	Time[4]	Content[5]	Time[5]	Content[6]	Time[6]
10101	Speaking of which, where did Commandant go...	2000										
10201	Supplies for protection from the summer heat should be ready now...	2000										
10202	I'm wondering if I can take it home...	2000										
10301	So this is the sea...	2000										
10302	So this is the sea...	2000										
10401	Perfect day for a nap...	2000										
10402	...ZZZ...	2000										
10501	So peaceful...	2000										
10601	Seems to be a lot of delicious food over there...	2000										
10602	It's hard to choose...	2000										
10701	This weather...	2000										
10702	Where did that person go...	2000										
10801	Aside from these, what other evidence is there for summer nights...	2000										
10802	Wandering between the sand and the foam...	2000										
10901	Where did Kamui go again...	2000										
11001	Nothing abnormal...	2000										
11101	...Let the vacation end here.	2000										
