Id	Path
1	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheGift.prefab
2	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheLogo.prefab
3	Assets/Product/Effect/Prefab/FxSushe/FxScene03405SusheYanhua.prefab
4	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua01Burst.prefab
5	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua02Burst.prefab
6	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua03Burst.prefab
7	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua04Burst.prefab
8	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua05Burst.prefab
9	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua06Burst.prefab
10	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua07Burst.prefab
11	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua08Burst.prefab
12	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua09Burst.prefab
13	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua01.prefab
14	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua02.prefab
15	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua03.prefab
16	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua04.prefab
17	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua05.prefab
18	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua06.prefab
19	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua07.prefab
20	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua08.prefab
21	Assets/Product/Effect/Prefab/FxSushe/FxSecne03405SusheYanhua09.prefab
