Key	Comment	Values[1]	Values[2]	Values[3]	Values[4]	Values[5]	Values[6]	Values[7]	Values[8]
HelpKey	Help Key	Escape							
RemainTimeColor	Escape Time Color	#00FF22	#FFF100	#FF3500					
RemainTimeShowColor	60s+: Green. 59-30s: Yellow. 29-0s: Red.	60	30	0					
ChapterSettleCondDesc	Result calculation info displayed on the left	Remaining Time	Hits Taken	Traps Triggered					
ChapterSettleRemainTimeScore	Stage Result Rating	80	75	70	65	60	1		
ChapterSettleRemainTimeGradeImgPath	Image resources for stage result rankings	Assets/Product/Texture/Image/UiSameColorGame/SameColorS.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorA.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorB.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorC.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorD.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorE.png		
ChapterSettleRemainTimeGrade	Stage Result Rankings	S	A	B	C	D	E		
DifficultyName	Difficulty	Standard	Nightmare						
MainBg	Main Interface Background	Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg02.png	Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg03.png	Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg04.png	Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg05.png	Assets/Product/Texture/Image/UiEscape/UiEscapeMainBg06.png			
FightSettleCondDesc	Battle Results Info	Current Area	Current Points						
