ChapterId	TimeId	FunctionOpenId	ChapterName	Bg	Priority	ActivityCondition	OpenCondition[1]	OpenCondition[2]	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]	StageId[7]	PrefabName	ConditionPriority	TabRawImagePath	RImgChapterNamePath	UiFxPath	UiBgPath
1001001			Escape to Somewhere	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner01.png	100		6000		13010120	13010111	13010112	13010113	13010114	13010115	13010116	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel01.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab01.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt01.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel01.png
1001002			Metamorphosis	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner01B.png	100	5001	6102		13011020	13011011	13011012	13011013	13011014	13011015	13011016	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel01a.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab01a.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt01a.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel01a.png
1001003			Treasure	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner01C.png	100	5001	6107		13011620	13011611	13011612	13011613	13011614	13011615	13011616	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel01b.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab01b.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt01b.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel01b.png
1002001			Under a Pale Moon	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner02.png	90		6001		13010220	13010211	13010212	13010213	13010214	13010215	13010216	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel02.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab02.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt02.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel02.png
1002002			Blue Bird	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner24.png	90	5001	6120		13012920	13012911	13012912	13012913	13012914	13012915	13012916	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel24.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab24.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt24.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel24.png
1003001			Devour	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner04.png	80		6002		13010320	13010311	13010312	13010313	13010314	13010315	13010316	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel03.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab03.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt03.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel03.png
1003002			Friendship	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner04B.png	80		6002		13010920	13010911	13010912	13010913	13010914	13010915	13010916	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel03a.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab03a.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt03a.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel03a.png
1004001			421	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner03.png	70		6003		13010420	13010411	13010412	13010413	13010414	13010415	13010416	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel04.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab04.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt04.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel04.png
1005001			Frozen Heart	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner06.png	60		6004		13010520	13010511	13010512	13010513	13010514	13010515	13010516	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel05.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab05.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt05.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel05.png
1006001			Fostered by Blade	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner07.png	50		6005		13010620	13010611	13010612	13010613	13010614	13010615	13010616	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel06.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab06.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt06.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel06.png
1006002			The Land of the Fallen Star	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner07B.png	60	5001	6103		13011120	13011111	13011112	13011113	13011114	13011115	13011116	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel06a.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab06a.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt06a.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel06a.png
1007001			Faith on the Snow	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner05.png	40		6006		13010720	13010711	13010712	13010713	13010714	13010715	13010716	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel07.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab07.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt07.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel07.png
1007002			Lost Verity	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner05B.png	40	5001	6104		13011320	13011311	13011312	13011313	13011314	13011315	13011316	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel07a.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab07a.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt07a.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel07a.png
1008001			Crimson Sunset	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner08.png	110	5001	6008		13010820	13010811	13010812	13010813	13010814	13010815	13010816	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel08.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab08.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt08.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel08.png
1009001			Curtains and Canvases	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner09.png	120	5001	6009		13011220	13011211	13011212	13011213	13011214	13011215	13011216	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel09.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab09.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt09.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel09.png
1010001			Front Sight Focus	Assets/Product/Texture/Image/UiFubenPrequelBanner/PrequelBanner10.png	130	5001	6105		13011420	13011411	13011412	13011413	13011414	13011415	13011416	Assets/Product/Ui/ComponentPrefab/FuBenPrequel/FuBenPrequel10.prefab		Assets/Product/Texture/Image/UiPrequel/PrequelTab10.png	Assets/Product/Texture/Image/UiPrequel/PrequelBt10.png	Assets/Product/Effect/Prefab/FxUi/FxUiFuBenPrequel01b/FxUiSmoke01.prefab	Assets/Product/Texture/Image/UiPrequel/Prequel10.png
