CoverId	CoverName	Priority	ChallengeCondition	ChallengeStage[1]	ChallengeConsumeItem[1]	ChallengeConsumeCount[1]	ChallengeStage[2]	ChallengeConsumeItem[2]	ChallengeConsumeCount[2]	ChallengeStage[3]	ChallengeConsumeItem[3]	ChallengeConsumeCount[3]	ChallengePrefabName	ChapterId[1]	ActiveTimes[1]	ChapterId[2]	ActiveTimes[2]	ChapterId[3]	ActiveTimes[3]	ChallengeFx	CharacterId
1001	Lucia	1		13010101	21	0	13010102	21	0				Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1001001						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1021001
1002	Lucia	2			21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1001002						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1021003
1003	Lucia	3			21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1001003						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1021004
1004	Liv	4		13010201	21	0	13010202	21	0				Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1002001						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1031001
1005	Liv	5			21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1002002						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1031004
1006	Nanami	6		13010301	21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1003001						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1051001
1007	Nanami	7			21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1003002						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1051003
1008	Lee	8		13010401	21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1004001						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1011002
1009	Karenina	9		13010501	21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1005001						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1071002
1010	Watanabe	10		13010601	21	0							Assets/Product/Ui/ComponentPrefab/FuBenChallengePrequel/FuBenChallengePrequel01.prefab	1006001						Assets/Product/Effect/Prefab/FxUi/FxUiFuBenChallengePrequel01/FxUiSmoke01.prefab	1081002
