Id	DamageType	MaxDamage	Ruling	TimeIntervals[0]	TimeIntervals[1]	TimeIntervals[2]	TimeIntervals[3]	TimeIntervals[4]	TimeIntervals[5]	TimeIntervals[6]	TimeIntervals[7]	TimeIntervals[8]	TimeIntervals[9]	TimeIntervals[10]	TimeIntervals[11]	TimeIntervals[12]	TimeIntervals[13]	TimeIntervals[14]	TimeIntervals[15]	TimeIntervals[16]	TimeIntervals[17]	TimeIntervals[18]	TimeIntervals[19]	TimeIntervals[20]	TimeIntervals[21]	TimeIntervals[22]	TimeIntervals[23]	TimeIntervals[24]	TimeIntervals[25]	TimeIntervals[26]	TimeIntervals[27]	TimeIntervals[28]	TimeIntervals[29]	TimeIntervals[30]	TimeIntervals[31]	TimeIntervals[32]	TimeIntervals[33]	TimeIntervals[34]	TimeIntervals[35]	TimeIntervals[36]	TimeIntervals[37]	TimeIntervals[38]	TimeIntervals[39]	TimeIntervals[40]	TimeIntervals[41]	TimeIntervals[42]	TimeIntervals[43]	TimeIntervals[44]	TimeIntervals[45]	TimeIntervals[46]	TimeIntervals[47]	TimeIntervals[48]	TimeIntervals[49]	TimeIntervals[50]	DamageIntervals[0]	DamageIntervals[1]	DamageIntervals[2]	DamageIntervals[3]	DamageIntervals[4]	DamageIntervals[5]	DamageIntervals[6]	DamageIntervals[7]	DamageIntervals[8]	DamageIntervals[9]	DamageIntervals[10]	DamageIntervals[11]	DamageIntervals[12]	DamageIntervals[13]	DamageIntervals[14]	DamageIntervals[15]	DamageIntervals[16]	DamageIntervals[17]	DamageIntervals[18]	DamageIntervals[19]	DamageIntervals[20]	DamageIntervals[21]	DamageIntervals[22]	DamageIntervals[23]	DamageIntervals[24]	DamageIntervals[25]	DamageIntervals[26]	DamageIntervals[27]	DamageIntervals[28]	DamageIntervals[29]	DamageIntervals[30]	DamageIntervals[31]	DamageIntervals[32]	DamageIntervals[33]	DamageIntervals[34]	DamageIntervals[35]	DamageIntervals[36]	DamageIntervals[37]	DamageIntervals[38]	DamageIntervals[39]	DamageIntervals[40]	DamageIntervals[41]	DamageIntervals[42]	DamageIntervals[43]	DamageIntervals[44]	DamageIntervals[45]	DamageIntervals[46]	DamageIntervals[47]	DamageIntervals[48]	DamageIntervals[49]	DamageIntervals[50]
90090001	0	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000111	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000112	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000113	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000211	1	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000212	1	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000213	1	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000311	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000312	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000313	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000411	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000412	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000413	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000511	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000512	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000513	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000611	2	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000612	2	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000613	2	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000711	3	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000712	3	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000713	3	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000811	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000812	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30000813	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001011	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001012	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001013	4	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001211	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001212	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001213	5	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001311	3	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001312	3	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30001313	3	1600000	100000	10	10	10	10	10	10	10	10																																												200000	400000	600000	800000	1000000	1200000	1400000	1600000																																											
30190000	5	92000000	250000	5	5	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000	12000000	14000000	16000000	18000000	20000000	22000000	24000000	26000000	28000000	30000000	32000000	34000000	36000000	38000000	40000000	42000000	44000000	46000000	48000000	50000000	52000000	54000000	56000000	58000000	60000000	62000000	64000000	66000000	68000000	70000000	72000000	74000000	76000000	78000000	80000000	82000000	84000000	86000000	88000000	90000000	92000000
30190010	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190011	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190012	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190013	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190014	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190015	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190020	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190021	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190022	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190023	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190024	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190025	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190030	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190031	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190032	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190033	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190034	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190035	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190040	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190041	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190042	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190043	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190044	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190045	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190050	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190051	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190052	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190053	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190054	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190055	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
30190060	5	10000000	250000	10	10	10	10	10	10	10	10	10	10																																										1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000																																									
