Id	GroupItemId	HasLeave	IsEnd	OptionDesc[1]	OptionDesc[2]	OptionDesc[3]	OptionDesc[4]
1101	1			[Continue]	[Continue]	[Continue]	
1102	5			[Continue]	[Continue]	[Continue]	
1103	9			[Continue]	[Continue]	[Continue]	
1104	13			[Continue]	[Continue]	[Continue]	
1105	17			[Continue]	[Continue]	[Continue]	
1106	21			[Continue]	[Continue]	[Continue]	
1107	25			[Continue]	[Continue]	[Continue]	
1108	29			[Continue]	[Continue]	[Continue]	
1109	33			[Continue]	[Continue]	[Continue]	
1110	37			[Continue]	[Continue]	[Continue]	
1111	41			[Continue]	[Continue]	[Continue]	
1112	45			[Continue]	[Continue]	[Continue]	
1113	49			[Continue]	[Continue]	[Continue]	
1114	53			[Continue]	[Continue]	[Continue]	
1115	57			[Continue]	[Continue]	[Continue]	
1116	61			[Continue]	[Continue]	[Continue]	
1117	65			[Continue]	[Continue]	[Continue]	
1118	69			[Continue]	[Continue]	[Continue]	
1119	73			[Continue]	[Continue]	[Continue]	
1120	77			[Continue]	[Continue]	[Continue]	
1121	81			[Continue]	[Continue]	[Continue]	[Continue]
1122	87			[Continue]	[Continue]	[Continue]	
1123	92			[Continue]	[Continue]	[Continue]	
1124	97			[Continue]	[Continue]	[Continue]	
1125	102			[Continue]	[Continue]	[Continue]	
1126	107			[Continue]	[Continue]	[Continue]	
1127	112			[Continue]	[Continue]	[Continue]	
1128	117			[Continue]	[Continue]	[Continue]	
1129	122			[Continue]	[Continue]	[Continue]	
1130	127			[Continue]	[Continue]	[Continue]	
1131	132			[Continue]	[Continue]	[Continue]	
1132	137			[Continue]	[Continue]	[Continue]	
1133	142			[Continue]	[Continue]	[Continue]	
1134	147			[Continue]	[Continue]		
1135	152			[Continue]	[Continue]		
1136	155			[Continue]	[Continue]		
1137	158			[Continue]	[Continue]		
1138	161			[Continue]	[Continue]	[Continue]	[Continue]
1139	168			[Continue]	[Continue]	[Continue]	[Continue]
1201	1			[Continue]	[Continue]	[Continue]	
1202	5			[Continue]	[Continue]	[Continue]	
1203	9			[Continue]	[Continue]	[Continue]	
1204	13			[Continue]	[Continue]	[Continue]	
1205	17			[Continue]	[Continue]	[Continue]	
1206	21			[Continue]	[Continue]	[Continue]	
1207	25			[Continue]	[Continue]	[Continue]	
1208	29			[Continue]	[Continue]	[Continue]	
1209	33			[Continue]	[Continue]	[Continue]	
1210	37			[Continue]	[Continue]	[Continue]	
1211	41			[Continue]	[Continue]	[Continue]	
1212	45			[Continue]	[Continue]	[Continue]	
1213	49			[Continue]	[Continue]	[Continue]	
1214	53			[Continue]	[Continue]	[Continue]	
1215	57			[Continue]	[Continue]	[Continue]	
1216	61			[Continue]	[Continue]	[Continue]	
1217	65			[Continue]	[Continue]	[Continue]	
1218	69			[Continue]	[Continue]	[Continue]	
1219	73			[Continue]	[Continue]	[Continue]	
1220	77			[Continue]	[Continue]	[Continue]	
1221	81			[Continue]	[Continue]	[Continue]	[Continue]
1222	87			[Continue]	[Continue]	[Continue]	
1223	92			[Continue]	[Continue]	[Continue]	
1224	97			[Continue]	[Continue]	[Continue]	
1225	102			[Continue]	[Continue]	[Continue]	
1226	107			[Continue]	[Continue]	[Continue]	
1227	112			[Continue]	[Continue]	[Continue]	
1228	117			[Continue]	[Continue]	[Continue]	
1229	122			[Continue]	[Continue]	[Continue]	
1230	127			[Continue]	[Continue]	[Continue]	
1231	132			[Continue]	[Continue]	[Continue]	
1232	137			[Continue]	[Continue]	[Continue]	
1233	142			[Continue]	[Continue]	[Continue]	
1234	147			[Continue]	[Continue]		
1235	152			[Continue]	[Continue]		
1236	155			[Continue]	[Continue]		
1237	158			[Continue]	[Continue]		
1238	161			[Continue]	[Continue]	[Continue]	[Continue]
1239	168			[Continue]	[Continue]	[Continue]	[Continue]
1301	1			[Continue]	[Continue]	[Continue]	
1302	5			[Continue]	[Continue]	[Continue]	
1303	9			[Continue]	[Continue]	[Continue]	
1304	13			[Continue]	[Continue]	[Continue]	
1305	17			[Continue]	[Continue]	[Continue]	
1306	21			[Continue]	[Continue]	[Continue]	
1307	25			[Continue]	[Continue]	[Continue]	
1308	29			[Continue]	[Continue]	[Continue]	
1309	33			[Continue]	[Continue]	[Continue]	
1310	37			[Continue]	[Continue]	[Continue]	
1311	41			[Continue]	[Continue]	[Continue]	
1312	45			[Continue]	[Continue]	[Continue]	
1313	49			[Continue]	[Continue]	[Continue]	
1314	53			[Continue]	[Continue]	[Continue]	
1315	57			[Continue]	[Continue]	[Continue]	
1316	61			[Continue]	[Continue]	[Continue]	
1317	65			[Continue]	[Continue]	[Continue]	
1318	69			[Continue]	[Continue]	[Continue]	
1319	73			[Continue]	[Continue]	[Continue]	
1320	77			[Continue]	[Continue]	[Continue]	
1321	81			[Continue]	[Continue]	[Continue]	[Continue]
1322	87			[Continue]	[Continue]	[Continue]	
1323	92			[Continue]	[Continue]	[Continue]	
1324	97			[Continue]	[Continue]	[Continue]	
1325	102			[Continue]	[Continue]	[Continue]	
1326	107			[Continue]	[Continue]	[Continue]	
1327	112			[Continue]	[Continue]	[Continue]	
1328	117			[Continue]	[Continue]	[Continue]	
1329	122			[Continue]	[Continue]	[Continue]	
