Id	Name	Description	Icon	BuffType	Priority
773000	Razor-Sharp I	Basic Attack's Extra DMG Bonus increases by 15%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	1	1
773001	Razor-Sharp II	Basic Attack's Extra DMG Bonus increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21012.png	1	2
773002	Razor-Sharp III	Basic Attack's Extra DMG Bonus increases by 45%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21013.png	1	3
773006	Overclock I	Skill's Extra DMG Bonus increases by 10%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	1	1
773007	Overclock II	Skill's Extra DMG Bonus increases by 20%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21062.png	1	2
773008	Overclock III	Skill's Extra DMG Bonus increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21063.png	1	3
773012	Heat Cutting I	Melee attacks reduce the target's DEF by 10%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png	1	1
773013	Heat Cutting II	Melee attacks reduce the target's DEF by 20%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32112.png	1	2
773014	Heat Cutting III	Melee attacks reduce the target's DEF by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32113.png	1	3
773027	Adaptive Structure	Attacks lower the target's Extra DMG Bonus by 40% for 5s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12241.png	1	1
773034	Metal Fatigue	When dealing DMG, Extra DMG Bonus increases by 30% for 10s. 15s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png	1	1
773041	Solidity	Attacks have a 20% chance to grant a shield equal to 15% of maximum HP for 5s. 8s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	1	1
773048	Energy Spike	Attacks have a 10% chance to stun the target for 1.5s and deal 1000% Physical DMG. 25s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png	1	1
773114	Electromagnetic Wave	Gain 10s Super Armor and 20% Extra DMG Bonus after casting a Signature Move.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32161.png	1	1
773117	Leadership Chain I	After summoning a QTE, unleashes a shockwave within 6m that deals 300% Physical DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	1	1
773118	Leadership Chain II	After summoning a QTE, unleashes a shockwave within 6m that deals 450% Physical DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22032.png	1	2
773119	Leadership Chain III	After summoning a QTE, unleashes a shockwave within 6m that deals 600% Physical DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22033.png	1	3
773129	Chain Optimization I	QTE cooldown decreases by 1s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	1	1
773130	Chain Optimization II	QTE cooldown decreases by 2s.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33002.png	1	2
773131	Chain Optimization III	QTE cooldown decreases by 3s	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33003.png	1	3
773132	All-Out Attack	Triggering a QTE by a 3-Ping will trigger the other two members' QTE. 15s cooldown.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon10.png	1	1
773135	Mobility Up I	Limit of Dodge Gauge increases by 400.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png	1	1
773136	Mobility Up II	Limit of Dodge Gauge increases by 700.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21052.png	1	2
773137	Mobility Up III	Limit of Dodge Gauge increases by 1000.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21053.png	1	3
773138	Processor Adjustment	Gains 1 Signal Orb when entering Matrix.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	1	1
773174	Auxiliary Add-On	For every Orb pinged, increases Extra DMG Bonus by 3% for 5s. Stacks up to 10 times.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon17.png	1	1
773181	Superior Processing I	When entering Matrix, unleashes a shockwave within 12m that deals 600% Physical DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32081.png	1	1
773182	Superior Processing II	When entering Matrix, unleashes a shockwave within 12m that deals 900% Physical DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32082.png	1	2
773183	Superior Processing III	When entering Matrix, unleashes a shockwave within 12m that deals 1200% Physical DMG.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32083.png	1	3
773187	Processing Suppression	Becomes immune to any DMG when in Matrix.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32131.png	1	1
773202	Feedback Chain	Extra DMG Bonus increases by 10%/20%/30% for 5s when Combo is greater than 40/80/120.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon14.png	1	1
773216	Tactic Upgrade	DMG dealt increases by 15%. DMG taken decreases by 15%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	1	1
773219	Desperation	For each Construct defeated, other members' Extra DMG Bonus increases by 30%.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32033.png	1	1
773222	Well-Prepared	All members have full Energy at the start of battle.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	1	1
773223	Battlefield Analysis	After landing a critical hit, increases Extra DMG Bonus by 3% for 5s. Stacks up to 10 times.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon15.png	1	1
7001	Signal Orb I	100% chance to drop 1 random Signal Orb after an enemy is defeated.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22021.png	1	1
7002	Signal Orb II	100% chance to drop 2 random Signal Orbs after an enemy is defeated.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22022.png	1	2
7003	Signal Orb III	100% chance to drop 3 random Signal Orbs after an enemy is defeated.	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22023.png	1	3
